Regulator	Target	MI	pvalue
ARNTL	FAM161B	1.1613603032723674	0.020427743803961174
RFX2	AKT2	1.2175938177342482	0.020427743803961174
ATF4	DTNA	1.1988493129136213	2.682259351056704E-4
KLF10	LRRFIP1	1.1051267888104865	0.020427743803961174
CREBL2	TRADD	1.3862943611198906	0.020427743803961174
VDR	AVPR1B	1.1051267888104865	0.020427743803961174
ZNF776	SEMA6C	1.1613603032723674	0.020427743803961174
NPAS1	FXR2	1.2175938177342482	0.020427743803961174
SOX6	DISC1	1.2175938177342482	0.020427743803961174
ZNF189	GATAD1	1.1613603032723674	0.020427743803961174
MBD3	TERF2IP	1.2175938177342482	0.020427743803961174
ZFHX3	ZNF33A	1.2457105749651887	2.682259351056704E-4
ZNF534	TMTC2	1.3862943611198906	0.020427743803961174
ZNF260	PDE5A	1.3160024680425395	3.1915770137835864E-8
JUN	HACL1	1.3300608466580097	0.020427743803961174
ZNF776	NCOA4	1.1613603032723674	0.020427743803961174
POGK	SCCPDH	1.33006084665801	0.020427743803961174
IRF7	FAF1	1.2175938177342482	0.020427743803961174
ZNF492	PRKDC	1.1754186818878378	3.1915770137835864E-8
SGSM2	CYP2W1	1.2175938177342482	0.020427743803961174
IKZF2	PPIA	1.2457105749651887	2.682259351056704E-4
TTF1	HARS2	1.2925718370167558	2.682259351056704E-4
MAFK	STAMBPL1	1.3862943611198906	0.020427743803961174
BHLHE40	MMP28	1.2457105749651887	2.682259351056704E-4
SP100	CYB5R2	1.3300608466580097	0.020427743803961174
TSC22D1	TRIP10	1.3862943611198906	3.1915770137835864E-8
ZNF721	DOK3	1.273827332196129	0.020427743803961174
RBAK	ZBP1	1.3862943611198906	0.020427743803961174
ZNF512B	WDR5B	1.273827332196129	0.020427743803961174
CC2D1A	KLHL10	1.3511484145812152	3.1915770137835864E-8
MAX	FAHD2A	1.151988050862054	2.682259351056704E-4
CEBPA	INTS5	1.3862943611198906	3.084223968774502E-6
ISL2	GPR141	1.1613603032723674	0.020427743803961174
ZNF513	CD59	1.151988050862054	2.682259351056704E-4
ZNF513	CD36	1.3862943611198906	0.020427743803961174
ZNF264	APOBEC2	1.273827332196129	0.020427743803961174
ZNF500	TIGD2	1.2925718370167558	2.682259351056704E-4
THAP1	MICAL3	1.198849312913621	0.0
KLF5	CCDC17	1.2256271769430884	3.084223968774502E-6
NKRF	PANX1	1.3862943611198906	3.084223968774502E-6
TIGD2	ZNF500	1.2925718370167558	2.682259351056704E-4
EGR1	ZNF516	1.2175938177342482	0.020427743803961174
EGR1	ZNF267	1.2175938177342482	0.020427743803961174
TIGD2	ZNF787	1.2457105749651887	2.682259351056704E-4
ANKZF1	NDUFA7	1.2738273321961289	0.020427743803961174
ZNF768	TEKT5	1.3238126783844677	0.0
VENTX	KRIT1	1.3394330990683232	2.682259351056704E-4
ZNF573	MYO1A	1.1051267888104865	0.020427743803961174
HOXA3	RHBDF1	1.1613603032723674	0.020427743803961174
ZNF678	MRPL9	1.2175938177342482	0.020427743803961174
NFKB1	ZNF48	1.1051267888104865	0.020427743803961174
ZNF771	SNORD1C	1.2175938177342482	0.020427743803961174
PROX2	PRODH	1.3862943611198906	0.020427743803961174
AR	MEIS2	1.2925718370167558	2.682259351056704E-4
NANOG	CCDC24	1.1988493129136213	2.682259351056704E-4
HIF1A	MMACHC	1.1613603032723674	0.020427743803961174
ZNF787	RFWD3	1.265793972987289	3.084223968774502E-6
ZNF135	ZNF595	1.3394330990683232	2.682259351056704E-4
ZNF595	ZNF135	1.3394330990683232	2.682259351056704E-4
ZNF677	C10orf95	1.2175938177342482	0.020427743803961174
TCF20	EID1	1.151988050862054	2.682259351056704E-4
NFXL1	ZC3H12B	1.3862943611198906	0.020427743803961174
ZSCAN12	C7orf25	1.3300608466580097	0.020427743803961174
ZBTB26	CRYZ	1.273827332196129	0.020427743803961174
ZNF808	NUDT17	1.3394330990683232	2.682259351056704E-4
HEYL	ATP6V1G2	1.292571837016756	2.682259351056704E-4
TEF	FAM13A	1.3160024680425395	3.1915770137835864E-8
ZNF443	RETSAT	1.1613603032723674	0.020427743803961174
ZNF460	GNB4	1.273827332196129	0.020427743803961174
HSF1	PRRT1	1.1613603032723674	0.020427743803961174
ZNF250	PCDHA3	1.273827332196129	0.020427743803961174
ZSCAN21	APH1B	1.2175938177342482	0.020427743803961174
GZF1	ACP5	1.2175938177342482	0.020427743803961174
HMG20B	STIM2	1.2925718370167558	2.682259351056704E-4
ZNF287	ATOX1	1.2175938177342482	0.020427743803961174
ARID2	ZYX	1.2175938177342482	0.020427743803961174
NR1D2	ACER2	1.151988050862054	2.682259351056704E-4
SOX6	CA1	1.140272735349162	3.1915770137835864E-8
ZNF461	PPP2R1A	1.3862943611198906	0.020427743803961174
HMG20A	EI24	1.1613603032723674	0.020427743803961174
ZNF225	GRHL3	1.1051267888104865	0.020427743803961174
MBD6	ZFP36L2	1.3862943611198906	2.682259351056704E-4
ZNF513	FTCD	1.3394330990683232	2.682259351056704E-4
FOXP1	SLCO3A1	1.1613603032723674	0.020427743803961174
ZNF155	MADD	1.1613603032723674	0.020427743803961174
MEIS2	AR	1.3300608466580097	0.020427743803961174
NR5A2	TRPM4	1.3862943611198906	0.0
GMEB2	PRRC1	1.2175938177342482	0.020427743803961174
ATF6	PPARD	1.2457105749651887	2.682259351056704E-4
ZNF362	RHEBL1	1.2738273321961289	0.020427743803961174
CDC5L	SV2B	1.2457105749651889	0.0
ZNF578	WDR5B	1.273827332196129	0.020427743803961174
ZNF431	ENSA	1.273827332196129	0.020427743803961174
ZNF75D	UBE2E3	1.3300608466580097	0.020427743803961174
HOXA7	ZNF528	1.2175938177342482	0.020427743803961174
MAFK	NPM2	1.273827332196129	0.020427743803961174
TCFL5	ACE	1.2457105749651887	2.682259351056704E-4
ZNF296	FST	1.2457105749651887	2.682259351056704E-4
HIVEP2	CKS2	1.3862943611198906	0.020427743803961174
EEA1	CYP2S1	1.3862943611198906	0.020427743803961174
POU4F1	KPNA2	1.273827332196129	0.020427743803961174
TRERF1	HNMT	1.1051267888104865	0.020427743803961174
ZNF555	CSAD	1.3300608466580097	0.020427743803961174
ZNF296	RLF	1.151988050862054	2.682259351056704E-4
ZNF101	SLC2A10	1.1051267888104865	0.020427743803961174
CENPB	OTUD7B	1.273827332196129	0.020427743803961174
THRB	SNX25	1.2457105749651884	2.682259351056704E-4
ZNF200	CHRNG	1.2175938177342482	0.020427743803961174
ZNF267	STRADA	1.1613603032723674	0.020427743803961174
ZNF658	ERMN	1.3862943611198906	3.084223968774502E-6
ZNF791	WFDC1	1.3394330990683232	2.682259351056704E-4
ZNF385A	DYNC1H1	1.1613603032723674	0.020427743803961174
ZNF497	LMOD1	1.1988493129136213	2.682259351056704E-4
ZNF10	CUL1	1.33006084665801	0.020427743803961174
ZNF598	ROMO1	1.2457105749651887	2.682259351056704E-4
ZBTB4	SGK2	1.1613603032723674	0.020427743803961174
ZNF626	ZNF585B	1.151988050862054	2.682259351056704E-4
CASZ1	DGAT2	1.1988493129136213	2.682259351056704E-4
ZNF174	CPNE8	1.1051267888104865	0.020427743803961174
ZNF205	ZBED3	1.273827332196129	0.020427743803961174
IRF1	FUT7	1.273827332196129	0.020427743803961174
ZNF189	ASMT	1.1988493129136215	0.0
ZNF780B	CRNKL1	1.2175938177342482	0.020427743803961174
ZNF684	DDHD2	1.185460380898888	3.084223968774502E-6
ZNF703	RNF141	1.273827332196129	0.020427743803961174
MNT	COQ9	1.2925718370167558	2.682259351056704E-4
ZNF197	CDKN2AIPNL	1.2175938177342482	0.020427743803961174
ZNF93	GMEB1	1.3862943611198906	0.020427743803961174
ZNF512B	ZNF101	1.34612756507569	3.084223968774502E-6
ATF6B	CCNE2	1.33006084665801	0.020427743803961174
OVOL1	KCNK17	1.273827332196129	0.020427743803961174
ZNF502	TINAGL1	1.3300608466580097	0.020427743803961174
AHDC1	MTCP1	1.2073695423775428	0.0
ZNF354B	NOTCH3	1.3862943611198906	0.020427743803961174
ZNF281	DHRS12	1.3300608466580097	0.020427743803961174
CREB3	CRYZ	1.33006084665801	0.020427743803961174
NAIF1	DCBLD1	1.3300608466580097	0.020427743803961174
ZSCAN20	DOCK3	1.33006084665801	0.020427743803961174
ZNF189	TCEAL8	1.292571837016756	2.682259351056704E-4
RFX7	VPS33B	1.1613603032723674	0.020427743803961174
RARB	GOT1	1.33006084665801	0.020427743803961174
ZNF660	CCDC74A	1.151988050862054	2.682259351056704E-4
ZNF397	EML3	1.1988493129136213	2.682259351056704E-4
ZNF721	NCF2	1.1613603032723674	0.020427743803961174
ZNF718	NAA20	1.1613603032723674	0.020427743803961174
ZNF512B	ZNF513	1.1613603032723674	0.020427743803961174
TEAD2	SHC1	1.3059607690314896	3.084223968774502E-6
ZNF484	ILDR1	1.33006084665801	0.020427743803961174
RXRB	PLCXD2	1.273827332196129	0.020427743803961174
FOXH1	DNAJC18	1.2925718370167558	2.682259351056704E-4
ZBED2	PTS	1.33006084665801	0.020427743803961174
ZSCAN23	NPAS1	1.3394330990683232	2.682259351056704E-4
