Time (minutes)	K562  WT	K562  WT	K562  WT	K562 IDH1	K562 IDH1	K562 IDH1	K562 IDH2	K562 IDH2	K562 IDH2																		
1,499786	109,49753	107,890048	109,266308	141,676306	134,273076	115,102556	116,812316	124,887412	159,2022																		
9,946831	111,657944	105,438546	106,581276	137,419358	130,745203	114,199134	118,442836	122,420599	154,314372																		
18,44573	110,733337	102,332501	104,682435	132,739519	127,420444	110,650033	118,588713	120,266503	151,279739																		
27,042264	146,941459	144,154484	121,260733	171,557258	162,9026	145,837025	171,618954	157,609582	158,222777																		
35,512461	153,463964	141,538096	127,548534	166,836942	166,399855	151,411783	169,739286	160,99064	149,402395																		
44,015713	143,082664	133,623739	122,320077	156,184454	159,060394	143,464891	166,69144	151,020266	138,820016																		
52,593543	121,134635	120,047121	106,292177	125,756145	133,606082	114,025605	145,48359	138,763196	63,264848																		
61,100542	120,1279	121,941191	109,393732	126,400441	132,383517	120,310965	146,418151	141,615841	63,243931																		
69,583436	116,803943	117,097986	107,221123	126,303025	131,684094	115,655808	145,235793	139,251398	51,263097																		
78,166951	75,193342	65,082747	128,697635	144,770663	133,516701	140,052435	129,817697	107,781781	95,265759																		
86,646922	76,048424	66,330912	126,579572	146,018622	136,959288	137,810205	131,289734	110,937259	92,19799																		
95,147333	71,145883	66,602988	118,803758	141,921661	133,016159	130,900831	128,612816	108,11092	80,143282																		
