Time (minutes)	M13 WT	M13 WT	M13 WT	M13 IDH1	M13 IDH1	M13 IDH1	M13 IDH2	M13 IDH2	M13 IDH2																		
1,499786	55,379812	80,170459	71,408156	100,479892	118,8315	92,348939	91,744838	103,046869	92,001752																		
9,946831	54,187291	79,96093	70,328106	96,513362	117,745989	83,81285	88,355966	100,090874	90,612894																		
18,44573	53,287109	79,548405	69,886407	93,399277	114,962619	79,870151	86,962025	98,670855	88,607358																		
27,042264	118,986046	129,254123	83,562209	136,691583	157,259491	78,219086	147,3787	111,203294	111,554202																		
35,512461	114,236038	121,836652	79,01998	131,927633	150,711063	68,51687	142,789743	103,846865	110,532632																		
44,015713	112,121453	116,30292	74,825911	132,543808	152,466101	66,586753	138,539012	102,039065	106,826122																		
52,593543	134,353875	120,005049	63,925022	160,349561	163,51994	50,12215	163,73779	91,764869	81,072602																		
61,100542	132,257028	117,833435	63,257812	163,150412	162,885568	50,999414	161,751551	91,505561	82,595786																		
69,583436	134,105269	117,852013	62,736907	164,185605	163,451943	50,301354	161,891818	91,33628	80,33577																		
78,166951	65,594165	72,744843	54,110127	107,6123	71,697189	68,983015	65,316032	87,096246	61,461234																		
86,646922	62,857061	73,125567	52,56322	104,956901	68,450101	67,897227	64,116403	86,802017	60,231302																		
95,147333	63,392515	73,654477	52,807565	105,628637	67,954794	68,176899	63,908161	86,070688	59,941255																		
