Time (minutes)	K562 WT	K562 WT	K562 WT	K562 IDH1	K562 IDH1	K562 IDH1	K562 IDH2	K562 IDH2	K562 IDH2																		
1,499786	638,154547	741,002709	1102,361145	1222,536105	882,05605	583,579068	496,69882	524,763544	1137,157387																		
9,946831	637,241663	731,080295	1072,838881	1209,056725	870,149163	583,629282	516,977279	528,930565	1123,046343																		
18,44573	626,459108	730,967292	1055,638239	1199,097967	870,491698	578,583461	537,870551	531,013678	1103,568228																		
27,042264	200,843782	211,441456	103,728255	616,4129	206,227521	135,893397	177,079493	181,17679	121,808367																		
35,512461	206,576583	208,19819	145,127486	409,159228	220,846816	162,356746	195,715216	199,388019	146,118719																		
44,015713	219,819957	221,785224	152,009233	400,776602	229,41053	170,275921	214,200542	210,389733	149,900641																		
52,593543	1496,305026	1558,886607	604,444086	1097,130964	1049,230225	705,93327	1561,909169	1393,744797	263,123294																		
61,100542	1398,095579	1433,756109	521,746821	1034,782655	1033,017827	659,378666	1440,104851	1338,467223	244,899138																		
69,583436	1406,502516	1425,409548	447,134121	1088,262841	968,814451	593,37902	1397,645084	1275,243334	204,47872																		
78,166951	31,723809	26,295409	58,457384	85,443754	95,535692	99,391772	35,940507	34,642089	50,808498																		
86,646922	84,610774	64,833454	68,143249	129,082085	106,222951	104,823932	86,132302	74,893271	51,892013																		
95,147333	89,688422	66,181456	64,584847	126,452503	99,505845	96,335094	88,158466	76,356489	48,838374																		
