Time (minutes)	M13 WT	M13 WT	M13 WT	M13 IDH1	M13 IDH1	M13 IDH1	M13 IDH2	M13 IDH2	M13 IDH2																		
1,499786	287,143025	442,200735	405,432875	295,189323	451,892868	353,536507	267,253042	293,462833	303,039503																		
9,946831	283,728424	431,151332	402,426563	292,673106	478,354561	333,200362	258,932163	284,605591	298,53517																		
18,44573	282,214618	432,948334	401,134203	290,251864	454,791663	316,381836	257,803022	282,438728	296,783715																		
27,042264	68,354931	87,728721	68,618371	72,657448	156,018535	50,292854	71,80965	63,667276	66,750239																		
35,512461	84,541977	100,09282	75,831865	76,637963	163,681877	56,066682	78,060439	66,856151	70,408042																		
44,015713	93,286452	107,952619	82,493729	77,58648	168,016299	56,322309	79,947206	65,504333	71,164541																		
52,593543	994,739687	622,536527	233,432634	1315,712143	1415,17873	113,583016	1140,351718	255,310448	289,515864																		
61,100542	865,898903	530,004612	213,025367	1211,655217	1251,419977	115,953421	977,682857	230,430607	256,799246																		
69,583436	858,445918	524,462436	220,290338	1087,947219	1231,268165	130,003277	824,61087	211,928125	238,447464																		
78,166951	12,060483	41,841637	42,840144	5,087039	57,255132	22,975974	-5,284885	66,748324	24,266856																		
86,646922	32,842642	51,82044	44,209371	37,767239	100,829491	28,847582	20,154411	40,16086	30,204411																		
95,147333	31,669278	49,981364	39,499554	32,459801	104,797991	27,782146	20,721791	31,298556	30,339096																		
