"name"	"mIDH2_NR"	"mIDH1_NR"	"distance"
"1"	"(10Z)-heptadecenoic"	0.555609324284716	0.326794405980727	0.0147217298999439
"2"	"(11Z,14Z)-eicosadienoic"	0.559133418212597	0.334032037929605	0.0125192255993571
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.559281694041696	0.334347749749325	0.012415366171188
"4"	"(13Z)-eicosenoic"	0.563726696619695	0.338098762189711	0.0150152501130311
"5"	"(13Z)-octadecenoic"	0.561099728917189	0.339009522959591	0.0103511507600299
"6"	"(13Z,16Z)-docosadienoic"	0.557472409050788	0.333811908020832	0.0103661516929529
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	-0.45232305444912
"8"	"(1R,2S)-naphthalene"	0.660363468845098	0.481906222444383	0.00927972937855753
"9"	"(1S,2R)-naphthalene"	0	0	-0.45232305444912
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.584580771209715	0.370852667074442	0.0120570685252965
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.587474017906392	0.379916254630019	0.00712727159332199
"12"	"(5-L-glutamyl)-L-amino"	0.570573877684203	0.332244358876217	0.0306527157955522
"13"	"(6Z,9Z)-octadecadienoic"	0.573429321049829	0.35134839320675	0.0156284597378547
"14"	"(7Z)-octadecenoic"	0.607223274156352	0.404149298948661	0.0111114167742762
"15"	"(7Z)-tetradecenoic"	0.556096042141307	0.332604338197458	0.00960720665550169
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.544138844644085	0.314712951490671	0.0104144812624273
"17"	"(9E)-tetradecenoic"	0.571698589687974	0.351347792115497	0.0131562398685483
"18"	"(Glc)3"	0	0	-0.45232305444912
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	-0.45232305444912
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.545662368740301	0.314692341618383	0.0126118601019121
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.574710255597845	0.361855189194953	0.00695182749964107
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.45232305444912
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.45232305444912
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.45232305444912
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.45232305444912
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.45232305444912
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.45232305444912
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	-0.45232305444912
"29"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	-0.45232305444912
"30"	"1,1-dichloroethylene"	0	0	-0.45232305444912
"31"	"1,2-Diacyl-Sn-Glycerol"	0.544138844644085	0.314712951490671	0.0104144812624273
"32"	"1,2-diacylglycerol-LD-PC"	0.57350790076245	0.361325433079975	0.00576369237827634
"33"	"1,2-diacylglycerol-LD-PE"	0	0	-0.45232305444912
"34"	"1,2-diacylglycerol-LD-PI"	0.468965663109601	0.200805337871432	0.0169167383558831
"35"	"1,2-diacylglycerol-LD-PS"	0	0	-0.45232305444912
"36"	"1,2-diacylglycerol-LD-SM"	0	0	-0.45232305444912
"37"	"1,2-diacylglycerol-LD-TAG"	0.561873823514206	0.336529711418988	0.0139369671880168
"38"	"1,2-diacylglycerol-VLDL"	0.559253090661976	0.334037881125153	0.0126843670798539
"39"	"1,2-diacylglycerol-bile-PC"	0	0	-0.45232305444912
"40"	"1,2-diacylglycerol-chylomicron"	0.56188261709811	0.336737550223526	0.0137416924122322
"41"	"1-Acyl"	0.544138844644085	0.314712951490671	0.0104144812624273
"42"	"1-Acylglycerone"	0	0	-0.45232305444912
"43"	"1-Alkyl-2-Acetyl-Sn-Glycerol"	0.534666925865785	0.287580082269335	0.0240141356776311
"44"	"1-Alkyl-Sn-Glycerol"	0	0	-0.45232305444912
"45"	"1-Arachidonoyl"	0.544138844644085	0.314712951490671	0.0104144812624273
"46"	"1-Didecanoylglycerophosphoethanolamine"	0.480861081750923	0.21944017102067	0.0152777493908979
"47"	"1-Dihomo-Linolenoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"48"	"1-Dihomo-Linolenoylglycerophosphoethanolamine"	0.480861081750923	0.21944017102067	0.0152777493908979
"49"	"1-Docosahexenoylglyceroethanolamine"	0.480861081750923	0.21944017102067	0.0152777493908979
"50"	"1-Docosahexenoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"51"	"1-Docosapentenoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"52"	"1-Docosatetraenoyglycerophosphoethanolamine"	0.495250709698095	0.240634382618447	0.0146430390459774
"53"	"1-Docosatetraenoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"54"	"1-Eicosadienoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"55"	"1-Eicosapentenoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"56"	"1-Eicosatetraenoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"57"	"1-Eicosatrienoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"58"	"1-Eicosatrienoylglycerophosphoethanolamine"	0.480861081750923	0.21944017102067	0.0152777493908979
"59"	"1-Eicosenoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"60"	"1-Gamma-Linolenoyl-Cholesterol,"	0.554331511287326	0.32420549674062	0.0154849353750044
"61"	"1-Heptadecanoylglycerophosphoethanolamine"	0.480861081750923	0.21944017102067	0.0152777493908979
"62"	"1-Hexadecenoylglycerophosphoethanolamine"	0.480861081750923	0.21944017102067	0.0152777493908979
"63"	"1-Lignocericylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"64"	"1-Linoleoyl-Cholesterol,"	0.554331511287326	0.32420549674062	0.0154849353750044
"65"	"1-Linoleoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"66"	"1-Linoleoylglycerophosphoethanolamine"	0.480861081750923	0.21944017102067	0.0152777493908979
"67"	"1-Myristoylglycerophosphoethanolamine"	0.480861081750923	0.21944017102067	0.0152777493908979
"68"	"1-Nonadecanoylglycerophosphocholine,"	0.480815941341031	0.219298414215127	0.0153550108309515
"69"	"1-Octadeca-Trienoylglycerophosphocholine,"	0.480815941341031	0.219298414215127	0.0153550108309515
"70"	"1-Oleoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
"71"	"1-Oleoylglycerophosphoethanolamine"	0.480861081750923	0.21944017102067	0.0152777493908979
"72"	"1-Palmitoleoylglycerophosphocholine"	0.480815941341031	0.219298414215127	0.0153550108309515
