ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	size	nes	pval	pval.fdr
A1BG	0.307570927816622	1.77591789028418	-0.832733483622915	0.409822761545083	0.763166998167293	-4.92489135773268	0	0	1	1
A1CF	0.328691293043834	-7.25694689531594	-1.17589217004683	0.246425227024941	0.720642419425352	-4.69293745817228	0	0	1	1
A2BP1	-0.422044639778042	-7.23663600639919	1.03911138857082	0.304846172398131	0.720642419425352	-4.79427085192471	0	0	1	1
A2LD1	-0.374275946852979	-3.02960911356424	0.76012151381399	0.451533765438028	0.788109308769982	-4.96431158375627	0	0	1	1
A2M	-1.04345511584414	-2.475764106602	1.79538312369751	0.0799706514865008	0.636267416370586	-4.09736372724512	0	0	1	1
A2ML1	-0.00485759206750735	3.93737357384431	0.0111571053997572	0.991152250634673	0.997033738660116	-5.16339040380209	0	0	1	1
A4GALT	-0.591227267118937	-0.805362423037101	0.496068527467697	0.622496728334878	0.872805496657668	-5.07817458506963	0	0	1	1
A4GNT	-0.337088399292096	-5.81371284518828	0.497086512115604	0.621784952705657	0.872676893914818	-5.077825693347	0	0	1	1
AAA1	-0.0844680285564028	-7.58172952151102	0.963969375461621	0.340716328984662	0.720642419425352	-4.84497416878825	0	0	1	1
AAAS	-0.167336245549398	6.47552653394134	1.06857620355548	0.291515902353397	0.720642419425352	-4.7734207864247	0	0	1	1
AACS	-0.313942290048919	-7.49217859019687	1.56252926931033	0.125854849041825	0.654689998138389	-4.34624213720103	0	0	1	1
AACSL	0.213491985831999	3.63834702197194	-1.10253304586368	0.276663948380574	0.720642419425352	-4.74872190534807	0	0	1	1
AADAC	-0.0313524887613497	-7.54934199724575	0.284160750265905	0.777718316491167	0.934880648274602	-5.13538327445786	0	0	1	1
AADACL2	0.0425378605499835	-7.19759668951585	-0.141642850103728	0.888056265964941	0.969957940760004	-5.156457404667	0	0	1	1
AADACL3	-0.207053651726473	-7.31777262275174	0.801522572977149	0.42745313494541	0.775226920208582	-4.94225793366465	0	0	1	1
AADACL4	-0.310854505163807	-7.49338357942033	1.68837754423028	0.0989369379777762	0.641161352302963	-4.21527974699304	0	0	1	1
AADAT	-0.272872939868167	-0.279540967177722	0.291482195527491	0.772153161562916	0.932603524111083	-5.13392120800459	0	0	1	1
AAGAB	0.00861398486609755	5.01779225024163	-0.0853991485505622	0.932360003688579	0.982056505887858	-5.16089721859444	0	0	1	1
AAK1	0.383143607012927	6.47023302056336	-1.82350881962762	0.0755269184881656	0.628737074687197	-4.06539902290524	0	0	1	1
AAMP	-0.254912860132155	5.77039982943444	1.48963271167729	0.143978718938644	0.661574088074024	-4.41815647792958	0	0	1	1
AANAT	-0.131426599017493	-2.33339146272483	0.286488417827399	0.775947718737902	0.934438499414453	-5.13492245859681	0	0	1	1
AARS	-0.239509853657861	4.41517448034335	1.27529342220742	0.209389004772939	0.71675950116534	-4.61214011279368	0	0	1	1
AARS2	-0.16824333326788	7.56995589634573	0.910427300583573	0.367922176544529	0.737975458033765	-4.87891594900326	0	0	1	1
AARSD1	-0.338811613054606	5.11187826946647	1.68955215065905	0.0987100848962315	0.641161352302963	-4.21401764659907	0	0	1	1
AASDH	-0.00352088850440468	3.5592447584597	0.0258062366837854	0.979537164918256	0.995652444341094	-5.16320205896993	0	0	1	1
AASDHPPT	-0.104774603949938	4.5289122241733	0.622896605506501	0.536804228105239	0.835131169908453	-5.02931112530833	0	0	1	1
AASS	1.5799192670912	2.77326133410482	-2.06555066398413	0.0452347625743176	0.604009918993655	-3.77437110133809	0	0	1	1
AATF	0.155536763082353	6.25117604807074	-1.25334973807751	0.217183413232427	0.720642419425352	-4.6304863725276	67	0.808698685775778	0.418688484312046	0.797806998526071
AATK	-0.484669081913043	2.12277397997656	1.12400664530864	0.267552421165037	0.720642419425352	-4.73273467930115	0	0	1	1
ABAT	0.37303810916065	3.87737512008436	-2.10493941692635	0.0414724799226855	0.594531247679247	-3.72441544841363	0	0	1	1
ABCA1	-0.618542490715416	-5.97359294084016	1.15095118510861	0.256424812491082	0.720642419425352	-4.71227318457727	79	-0.657263635911381	0.51101141415187	0.836220659870159
ABCA10	-0.830437363635317	6.30508987931958	1.82897427710677	0.0746880919502377	0.628397394505427	-4.05914142885978	0	0	1	1
ABCA11P	0.210964336161885	-0.259855457345855	-0.540996812110313	0.591439080642021	0.860287260353952	-5.06210735594933	0	0	1	1
ABCA12	0.536465855570484	1.00447688193113	-1.6360883056674	0.109480774568994	0.649997993997655	-4.27072490955482	0	0	1	1
ABCA13	0.0993859674349655	-1.81170721758761	-0.138494262174382	0.890528234661763	0.971117817308677	-5.15676401582327	0	0	1	1
ABCA17P	0.532779002532983	5.26741116610471	-0.622187815397745	0.537265547879873	0.835131169908453	-5.02961429643738	0	0	1	1
ABCA2	-0.246372817602722	7.71305425690844	1.08082018672462	0.286097798307709	0.720642419425352	-4.76459747559461	0	0	1	1
ABCA3	0.126395238162118	4.46797933787958	-0.408363404655791	0.685133230252916	0.898316669176562	-5.10558358611591	0	0	1	1
ABCA4	-1.27800957932415	-3.5050950841723	1.9800407584193	0.0544417913917047	0.612057643266396	-3.88037393805189	0	0	1	1
ABCA5	-0.29666404936351	3.15222206818161	0.464277543249482	0.644906399296768	0.882719878660005	-5.08871563529708	0	0	1	1
ABCA6	-0.133802881734419	-0.30158961979115	0.182302467126079	0.85624433963575	0.960117390560324	-5.15187980148649	0	0	1	1
ABCA7	0.0502282308141844	6.98346455309452	-0.268295103431953	0.789818353084273	0.940258040896274	-5.13842460192181	0	0	1	1
ABCA8	0.484191096366799	-4.56537866467367	-0.468294013458545	0.642056052152592	0.881516314709101	-5.08742184025786	0	0	1	1
ABCA9	0.250724179486951	-0.535110363844076	-0.36291625780699	0.718532968813136	0.911474845782007	-5.1177177116059	0	0	1	1
ABCB1	-0.761222717642928	-4.17506197606261	1.10176403376689	0.27699427110541	0.720642419425352	-4.74928916146657	0	0	1	1
ABCB10	-0.241937189122267	5.8657662426717	0.565993261399523	0.574485302968943	0.852206595994875	-5.05257675701032	0	0	1	1
ABCB11	-0.340680748932729	6.1113585022356	1.15215130147757	0.255937052178889	0.720642419425352	-4.7113514774959	0	0	1	1
ABCB4	-0.24525327177216	1.43844245779717	0.563671937531048	0.576049647868708	0.8531185460809	-5.053479594059	0	0	1	1
ABCB5	-0.418625426184054	-3.96812591691055	0.429859421970009	0.669550220988762	0.893023872353305	-5.09935144681837	0	0	1	1
ABCB6	-0.422455404938078	3.74232220258873	0.908665220770296	0.368840772616604	0.738919787668649	-4.88000180090909	0	0	1	1
ABCB7	-0.237041823643371	6.07485975886804	1.65149778545283	0.106281804613128	0.6471268400074	-4.25453625083257	0	0	1	1
