Mixture,B,CTL,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,Monocyte,NK,Plasma,ProMono-like,T,cDC,cDC-like,P-value,Correlation,RMSE
TUH06_163_S74,0,0.017536893581864,0,0.0358295020759998,0.865734125790805,0,0.0074277233139801,0,0,0,0.0296302057826102,0,0,0.0438415494547409,0,0.126370359633805,0.992215705357997
TUH93_164_S75,0.00149115826803592,0,0.113204119866505,0,0.72412265115096,0,0.0561383404473046,0,0,0,0,0,0.102987929786474,0.0020558004807203,0,0.466986159299267,0.91862725853018
TUH31_165_S76,0,0.00505884828878982,0.116577191404616,0.108578994990649,0.725437345777398,0,0.0194620446931577,0,0,0,0,0,0.0248855748453901,0,0,0.244289821386791,0.976862315233885
TUH88_166_S77,0,0,0,0.0613441056187249,0.800341514182868,0,0.0795309584454881,0,2.98128013375853e-05,0,0,0,0,0.0587536089515815,0,0.184394650516495,0.98307415470243
TUH67_167_S78,0,0.0153214302781482,0,0,0.97350580828731,0,0,0,0,0,0.011172761434542,0,0,0,0.02,0.0402320996030108,1.00131619116633
TUH86_168_S79,0,0.00348295793813326,0.000100487041944065,0,0.981371221621788,0,0.0124817153037623,0,0,0,0.00256361809437235,0,0,0,0,0.213999139503011,0.982761260094174
TUH76_169_S80,0.0289792198830434,0.0196369965376193,0,0.0150251736975353,0.755830715321599,0,0,0.00595757846944654,0,0,0.02465426905066,0.136583901021673,0.0133321460184236,0,0,0.219814767801822,0.979546242494548
TUH97_170_S81,0,0.00883178944335852,0,0.1036995870563,0.864897939537723,0,0,0,0,0,0.0225706839626187,0,0,0,0,0.27035198179782,0.974155137196604
TUH128_171_S82,0.0848685970230944,0.0345626185215389,0.0886746342532481,0,0.579337959061763,0,0.0539317720439427,0,0.00294019193877966,0,0,0.155684227157633,0,0,0,0.209740248417672,0.978931814843985
TUH142_172_S83,0.0169898910511688,0,0,0,0.149773540936583,0,0.345200685387674,0,0,0,0.0744431513767689,0,0.413592731247806,0,0,0.923629184197921,0.42138781594267
TUH179_173_S84,0,0,0.191854037801507,0.0788497396273634,0.55377649450114,0,0.106276259918377,0,0,0,0,0,0.0692434681516123,0,0,0.516401367497583,0.883141032125457
TUH53_174_S85,0.00702904832001792,3.97164105217938e-05,0.0488203963368958,0,0.085900558121146,0,0.306722392175735,0,0,0,0,0.010340194143062,0.186075900240609,0.355071794252013,0,0.798944645755059,0.601670184767627
TUH81_175_S86,0.0152538254585323,0,0.244602539467532,0,0.410938327452973,0,0.0228116544546727,0.0818109414070359,0,0,0,0.0259744432838302,0.0835386549812142,0.11506961349421,0,0.638293329261374,0.83912031711424
TUH99_176_S87,0.00578177836627402,0,0.126413138629526,0.0969033246006124,0.636373917982961,0,0,0.087448082202568,0,0,0.00898072451160634,0.00762190692035642,0.0304771267860959,0,0,0.204631281236132,0.978974481760699
TUH110_177_S88,0,0,0,0.181064600527436,0.518590799616184,0.0959793307428183,0,0.00237080447116261,0.00917155369802553,9.27399993663536e-05,0.0468423138172657,0,0,0.145887857127741,0,0.251321263848698,0.969442123558253
TUH162_178_S89,0,0,0.303568192265854,0,0.536897268779351,0.0266044778634208,0.123454630746795,0,0,0,0,0,0.00947543034457994,0,0,0.11452655523536,1.01336421481699
TUH109_180_S91,0.000559434318093376,0,0.169980614960123,0,0.164637598035788,0,0.252766637898465,0,0.000945116612560305,0,0,0,0.180997306901283,0.230113291273688,0,0.809281161416925,0.598863082419093
TUH163_181_S92,0.0116901890100464,0.00247528317155366,0.233941055821862,0,0.151229040271479,0,0.0514265291455975,0.527890912660799,0,0,0,0.0213469899186621,0,0,0,0.344106760357556,1.15722698466621
TUH167_182_S93,0.00247260632673531,0,0.0642714024360939,0.210731315968067,0.529412250897083,0,0.0483047735499442,0,0.00278090097802269,0,0,0.0125359953852312,0.129490754458823,0,0,0.307893235795184,0.956323449177371
TUH180_183_S94,0.042719212158207,0,0.0765305965648215,0,0.65042104543899,0,0.0872263139462061,0,0.00108276333394076,0,0,0.0137097979461426,0.0530723541985775,0.0752379164131142,0,0.476450409346562,0.905405496617934
TUH105_184_S95,0,0.00154574109768735,0.542628591996963,0.105158473042191,0.0322340136786841,0,0,0.22095355109517,0,0.00244831414511031,0.0799877212450691,0,0,0.0150435936991255,0,0.544104612734485,0.84244980774726
