Mixture,B,cancer,CD4,CD8,M0,M1,M2,Mono,Neu,NK,P-value,Correlation,RMSE
TUH06_163_S74,0.225602598035425,0.664827060302015,0.0866368190444587,0,0,0,0,0.00467226926401164,0.0137153010242806,0.00454595232980935,0.01,0.243562844794942,0.983879196141564
TUH93_164_S75,0.315393588368272,0.348162405404947,0.0387145963903316,0.00446755912838428,0,0,0,0.287097649982025,0.00594517772642985,0.000219022999610568,0.01,0.258006778574302,0.977992717187354
TUH31_165_S76,0.12227732244671,0.525256719484507,0.143512045494373,0.00151431129028465,0,0.00290348988777686,0,0.197058353086713,0,0.00747775830963574,0.01,0.178714749878534,0.987890080194304
TUH88_166_S77,0.183909491831342,0.475014543719456,0.0897530815292693,0.00119992043913289,0,0,0,0.250122962480799,0,0,0.01,0.195202269998218,0.985983741958962
TUH67_167_S78,0.155324578847346,0.678724910949282,0.153216957512494,0,0,0,0,0.00901074255681093,0.0037228101340677,0,0.01,0.248647790783671,0.983408443325609
TUH86_168_S79,0.243110238253764,0.597426770721632,0.127318261299135,0,0,0,0.000401935370400948,0.0280143611256028,0.00156368778099307,0.00216474544847242,0.01,0.211594038180018,0.986249508557238
TUH76_169_S80,0.231127538677995,0.221127185449871,0.509137891368491,0,0,0,9.04527832866426e-05,0.0370240632549329,0.00149286846542316,0,0.01,0.271580690856222,0.973098400623007
TUH97_170_S81,0.237610533063925,0.635303080084525,0.0698859789542545,0.0025071899636704,0,0,0,0.051382020592536,0,0.0033111973410894,0.02,0.130530515794201,0.993088889440862
TUH128_171_S82,0.527107223225928,0.035443511232038,0.36771849949023,0.044920542418116,0,0.00061203704428914,0.000319800546619124,0.0178044478211882,0.00607393822159181,0,0.01,0.373821593386476,0.955562180410824
TUH142_172_S83,0.0933992074106799,0.334086415017345,0,0,0,0,0,0.572241914409603,0,0.000272463162372311,0.02,0.103958121705436,0.995248799017994
TUH179_173_S84,0.427974903881182,0.334607289163174,0.00422900005960737,0,0,0,5.48483608837368e-05,0.233133958535153,0,0,0.01,0.298222873959677,0.974393625147408
TUH53_174_S85,0.0353598251393306,0.0726630970637208,0.00135185272729442,0,0,0.0014791676123765,0,0.888235361665474,0,0.000910695791803458,0.01,0.31888729405175,0.954998568339968
TUH81_175_S86,0.1273734148223,0.276800362870884,0.0595736239067376,0,0,0.00016812756358949,0,0.535688001886907,0,0.000396468949582113,0.01,0.260289187265934,0.973243446726458
TUH99_176_S87,0.389721118449553,0.370939956452273,0.0504851220948504,0.0031861182744404,0,0.00382151844096056,0,0.173816852721798,0.00802931356612476,0,0.01,0.260444308658363,0.979162803977691
TUH110_177_S88,0.153423902926225,0.641162632453627,0.092793978149906,0.0347839883052359,0,0,0.00076945770181218,0.0369542934790273,0.0162115238599646,0.0239002231242014,0.02,0.140298272636355,0.991710768886096
TUH162_178_S89,0.194147855022918,0.615313987477571,0.117915725553612,0.0106149441880851,0,0,0.00222309513038762,0.0536484205635194,0.00613597206390644,0,0.01,0.288581418656672,0.979721970367559
TUH109_180_S91,0.0568537080794447,0.156874329444684,0,0,0,0,0,0.783302893758417,0,0.0029690687174545,0.01,0.285784117637979,0.964033707635542
TUH163_181_S92,0.0389919108317203,0.20715691812567,0.0150481904980572,0,0,0.0162704160254475,0,0.493332471228944,0.229200093290162,0,0.02,0.149774754283605,0.989320109803042
TUH167_182_S93,0.207515231259493,0.567935623608583,0.133519579288684,0,0.00278893061496405,0,0,0.0407521403393112,0.041440147063811,0.00604834782515442,0.01,0.183376092804583,0.987744922322246
