Mixture	B	cancer	CD4	CD8	M0	M1	M2	Mono	Neu	NK	P-value	Correlation	RMSE
IDHwt_1	0.291884171083191	0	0.225526448650047	0.0164442925945121	0.177008388932614	0	0	0.289136698739636	0	0	0.64	-0.00472329670182341	1.01685756346339
IDHwt_2	0.24711689050286	0	0	0.224298647918537	0.00837688898594504	0	0.0699780004657312	0.321729396977883	0.128500175149044	0	0.58	-0.00359334916613826	1.03637141606604
IDHwt_3	0.254958732932106	0	0.00172402504570134	0.113321827318544	0.0706593355358359	0.00423278720970084	0.116972367707292	0.229914034014051	0.208216890236769	0	0.61	-0.00387072881201075	1.07351648904558
IDHwt_4	0.209003136490374	0.183270067031285	0.177369784037536	0.169592259123923	0	0.0543672944242099	0.00684771950755374	0.197386938236173	0.00216280114894566	0	0.19	0.00579483797662805	1.00964890426927
IDHwt_5	0	0.267188707924279	0.0186642105900442	0.00354258573761535	0.239889451866461	0	0.0311598947419442	0.288046504566453	0.105245222775634	0.0462634217975697	0.88	-0.00943014439329386	1.0300534991917
IDHwt_6	0.486044837453778	0	0.145555845420178	0.00289838832885224	0	0	0	0.153549778328413	0.211951150468779	0	0.64	-0.00492779287590213	1.01655830073534
IDHwt_7	0.57851436383183	0	0	0.0944450880606618	0	0	0.0596187362218801	0.1074857661649	0.092662850292905	0.0672731954278229	0.58	-0.00372040110265928	1.02823030382772
IDHwt_8	0	0.156224454844789	0.228001294737811	0	0	0.061014879107706	0.0204916912376561	0.507631851137431	0.00120223742871594	0.0254335915058918	0.67	-0.00561982963447458	1.01549180406374
IDHwt_9	0.260171024277831	0.0697870388019831	0.137519212573956	0.147475273443277	0.0674515772127164	0	0.0487087601639747	0.187827778227566	0.0667413571713296	0.0143179781273665	0.65	-0.00539883818767532	1.02394616625437
IDHwt_10	0.594551614398482	0.00938375573652127	0	0	0.0690907549091038	0	0.0245937717326742	0.142207249428072	0.0892833945898359	0.0708894592053108	0.24	0.00273146661256856	1.01520912620039
IDHwt_11	0.348147594669756	0	0	0.222409620229714	0	0.0806723868565931	0.104479802631156	0	0.15469414096748	0.0895964546453018	0.3	-0.000131206166746352	1.06467955007266
IDHwt_12	0.230743802158203	0.0107620865528084	0.13741463108848	0.13571037603333	0	0.00190223977427373	0.023805713379785	0.205498128878381	0.222825237347384	0.0313377847873556	0.64	-0.00465027059501965	1.02321420445212
IDHwt_13	0	0.53706620312843	0	0.101208819901192	0	0	0.0809618024884044	0.280763174481974	0	0	0.64	-0.0050261314457427	1.03206833110393
IDHwt_14	0.264254438475418	0.21035672818143	0	0.140498577029563	0	0	0.171117391169659	0.106921759746885	0.106851105397044	0	0.39	-0.00210500188355559	1.12024292988102
IDHwt_15	0	0	0.162539974238715	0	0	0	0	0.803976792317383	0	0.0334832334439024	0.7	-0.00631515506483292	1.02094384566108
IDHwt_16	0.303902942468154	0	0.184565440375228	0.0649169558443047	0	0.0473441891311478	0.100374531265161	0.298895940916004	0	0	0.46	-0.00266040638715282	1.05149879400053
IDHwt_17	0.0532560999729278	0.0247482940288199	0.204158721016405	0	0	0.0668758773880499	0.0556888014602782	0.548254956544877	0	0.0470172495886419	0.77	-0.00731940938805811	1.02991629445393
IDHwt_18	0	0.381276886822057	0	0.105303522156763	0	0.0912577062014418	0.0724531685852021	0.279425869611088	0.0549927520595931	0.0152900945638555	0.61	-0.00388332802632635	1.03318238675217
IDHwt_19	0.234641082016781	0.136886327901031	0	0.178662283789862	0.0761048501377616	0	0.0903548321071425	0.120152979007397	0.160064373845007	0.00313327119501748	0.58	-0.00363582530209838	1.0484289160146
IDHwt_20	0.240881143479304	0	0.0798849195632886	0.194860612018627	0.0731191820405371	0	0.0299518666336543	0.216124681317712	0.165177594946877	0	0.62	-0.0039804000048738	1.02279441993055
IDHwt_21	0.567177961801815	0.066676240325426	0.111369547139412	0	0	0.0967111360168838	0.017578146463429	0	0.140486968253034	0	0.5	-0.00294140537782162	1.01562623518968
IDHwt_22	0.114190573168758	0	0	0.0996079370201534	0.0173880300582575	0.00292399663233242	0.0487620416415709	0.268279655003835	0.358499171206736	0.0903485952683566	0.73	-0.00682966183540446	1.04104543321368
IDHwt_23	0.398290932917565	0.364811914070637	0	0	0	0	0.201737166237582	0.0068683706735609	0.0282916161006546	0	0.37	-0.00177784361174327	1.15691495245844
IDHwt_24	0.510890647954568	0	0.191655318600108	0.163756023752037	0	0	0.0562328458489328	0.0623935243286742	0.0150716395156791	0	0.51	-0.00303858483098326	1.02443913543279
IDHwt_25	0.315092446606691	0.0394334291837435	0	0.191601540285694	0.0785979745346279	0	0.0552255553667034	0.32004905402254	0	0	0.64	-0.00481392347379046	1.02638203037817
IDHwt_26	0.254434023967728	0	0.27903175184851	0	0	0	0	0.466534224183762	0	0	0.67	-0.00571168667457198	1.01332534156383
IDHwt_27	0.354087308582609	0.207660656765508	0.103921926829786	0	0	0.0459395061257907	0.0350296184166422	0.238710459035853	0	0.0146505242438104	0.45	-0.00263848337072694	1.01281117483218
