	mean.x	mean.y	mean.diff	pvalue	logFC
MAR00001	1.07658273	1.08315457	-0.006571832	0.664503374	-0.00877994767256381
MAR00002	1.09962953	1.10684794	-0.007218412	0.660493791	-0.00943948134857857
MAR00003	0.40111848	0.40167704	-0.0005585645	0.956372301	-0.00200756444697594
MAR00004	0.74338396	0.74401154	-0.0006275844	0.95356966	-0.00121743894947925
MAR00005	0.74338396	0.74401154	-0.0006275844	0.95356966	-0.00121743894947925
MAR00006	0.67968406	0.68392103	-0.004236971	0.740027753	-0.00896546269011702
MAR00007	1.09961282	1.10683111	-0.00721829	0.660493989	-0.00943946791154912
MAR00008	0.38824624	0.39319667	-0.004950435	0.693526495	-0.0182791506908071
MAR00009	0.73192317	0.73646022	-0.004537047	0.723436806	-0.00891538328509983
MAR00010	0.73192317	0.73646022	-0.004537047	0.723436806	-0.00891538328509983
MAR00011	1.48404676	1.48772563	-0.003678873	0.765736361	-0.00357193588187439
MAR00012	1.35825981	1.36149595	-0.003236145	0.765707267	-0.00343322396929709
MAR00013	0.88248537	0.87806311	0.004422256	0.638579845	0.00724772542434579
MAR00014	0.52467985	0.52166072	0.003019135	0.692372791	0.00832557981921292
MAR00016	1.17480177	1.17785119	-0.003049419	0.743600811	-0.00373993585122579
MAR00018	1.46780813	1.46399177	0.00381636	0.716213847	0.00375594989006697
MAR00019	2.06067406	2.08441452	-0.02374045	0.194505939	-0.0165258800905265
MAR00020	2.06067406	2.08441452	-0.02374045	0.194505939	-0.0165258800905265
MAR00025	5.11228569	5.13397568	-0.02168998	0.211181571	-0.00610800107889952
MAR00030	5.11228569	5.13397568	-0.02168998	0.211181571	-0.00610800107889952
MAR00031	4.90269387	4.92861002	-0.02591614	0.117883037	-0.00760615033520276
MAR00032	4.90269387	4.92861002	-0.02591614	0.117883037	-0.00760615033520276
MAR00035	6.33789581	6.33053098	0.007364829	0.191039291	0.00167743084301251
MAR00036	4.63237349	4.62750062	0.004872869	0.460796648	0.00151839343587495
MAR00037	4.86731829	4.86371034	0.003607953	0.535499705	0.0010698091659589
MAR00038	2.04335899	2.02398897	0.01937003	0.371404103	0.0137412600718467
MAR00039	3.05134188	3.04017295	0.01116893	0.189060262	0.00529043380158035
MAR00040	0.71539777	0.7076619	0.007735875	0.502399174	0.0156853735058758
MAR00041	2.91207774	2.90733347	0.004744276	0.65228606	0.00235231231167887
MAR00045	2.48843026	2.444039	0.04439126	0.361060707	0.025968648340717
MAR00047	0.68087626	0.67317564	0.007700625	0.510334937	0.0164096606065383
MAR00048	0.68087626	0.67317564	0.007700625	0.510334937	0.0164096606065383
MAR00050	2.18776472	2.1789926	0.00877212	0.68335979	0.00579629693991092
MAR00052	4.67198037	4.66192848	0.0100519	0.395235317	0.0031073407066267
MAR00053	3.00663051	2.93321207	0.07341843	0.307418299	0.035666202416695
MAR00054	4.0846795	4.08062774	0.004051768	0.603227459	0.00143177822140334
MAR00056	0.97284741	0.95886376	0.01398365	0.191133063	0.0208876929725025
MAR00057	2.59294298	2.60167514	-0.008732164	0.829178109	-0.00485034915115313
MAR00058	1.41186916	1.40553502	0.006334148	0.520683089	0.00648699808679865
MAR00059	4.55218331	4.54842692	0.003756394	0.560877678	0.00119098069150334
MAR00060	3.85724151	3.83270404	0.02453747	0.71811381	0.00920688090646862
MAR00061	3.02380973	2.97750567	0.04630406	0.246386849	0.0222631069841617
MAR00063	4.27755067	4.28149138	-0.003940708	0.4868083	-0.00132847651479977
MAR00064	3.89113641	3.87589035	0.01524605	0.787608289	0.00566380008327338
MAR00065	1.44664013	1.44119989	0.005440247	0.619321598	0.00543563112877909
MAR00066	0.28016601	0.27543515	0.004730858	0.582475023	0.02456925473807
MAR00067	1.68202312	1.69093369	-0.008910572	0.060275468	-0.00762254946034767
