	mean.x	mean.y	mean.diff	pvalue	logFC
MAR00001	1.05661129	1.07658273	-0.01997144	0.1855784	-0.0270144572358537
MAR00002	1.07774969	1.09962953	-0.02187985	0.1839552	-0.0289954077911946
MAR00003	0.38121686	0.40111848	-0.01990161	0.07457201	-0.0734165079033996
MAR00004	0.72451445	0.74338396	-0.01886951	0.09794689	-0.0370930957520906
MAR00005	0.72451445	0.74338396	-0.01886951	0.09794689	-0.0370930957520906
MAR00006	0.66070601	0.67968406	-0.01897805	0.1712923	-0.0408558210171618
MAR00007	1.0777333	1.09961282	-0.02187952	0.1839547	-0.0289954245062869
MAR00008	0.36793899	0.38824624	-0.02030725	0.1175676	-0.0775053879260656
MAR00009	0.71266321	0.73192317	-0.01925996	0.1380788	-0.0384717670453248
MAR00010	0.71266321	0.73192317	-0.01925996	0.1380788	-0.0384717670453248
MAR00011	1.46603967	1.48404676	-0.01800709	0.1376232	-0.0176124074359623
MAR00012	1.3424761	1.35825981	-0.0157837	0.1389752	-0.0168630626292415
MAR00013	0.86546954	0.88248537	-0.01701583	0.094471	-0.0280893161585397
MAR00014	0.51201903	0.52467985	-0.01266082	0.1168526	-0.0352399539749753
MAR00016	1.16188771	1.17480177	-0.01291406	0.1778539	-0.0159466973858589
MAR00018	1.4531821	1.46780813	-0.01462603	0.2254133	-0.0144478931039249
MAR00019	2.06154135	2.06067406	0.0008672825	0.7755472	0.00060706919751911
MAR00020	2.06154135	2.06067406	0.0008672825	0.7755472	0.00060706919751911
MAR00025	5.15605354	5.11228569	0.04376785	0.001399394	0.0122987838901172
MAR00030	5.15605354	5.11228569	0.04376785	0.001399394	0.0122987838901172
MAR00031	4.91138267	4.90269387	0.008688791	0.6254742	0.0025545535324399
MAR00032	4.91138267	4.90269387	0.008688791	0.6254742	0.0025545535324399
MAR00035	6.32612622	6.33789581	-0.01176959	0.05445544	-0.00268160209683491
MAR00036	4.61697969	4.63237349	-0.0153938	0.04596139	-0.00480219081132821
MAR00037	4.85636714	4.86731829	-0.01095115	0.0752991	-0.00324962723047445
MAR00038	2.03378799	2.04335899	-0.009571006	0.5711978	-0.00677339309466153
MAR00039	3.02679788	3.05134188	-0.024544	0.01332842	-0.0116514923798888
MAR00040	0.69516448	0.71539777	-0.02023329	0.1671798	-0.0413912529000314
MAR00041	2.89292415	2.91207774	-0.01915359	0.1514098	-0.00952037229581798
MAR00045	2.50437911	2.48843026	0.01594885	0.64866	0.00921701725834168
MAR00047	0.66053703	0.68087626	-0.02033923	0.1736796	-0.04375318999134
MAR00048	0.66053703	0.68087626	-0.02033923	0.1736796	-0.04375318999134
MAR00050	2.17783245	2.18776472	-0.009932275	0.5559719	-0.00656462831518479
MAR00052	4.65596103	4.67198037	-0.01601934	0.1528498	-0.00495522947790614
MAR00053	2.95879044	3.00663051	-0.04784006	0.3902524	-0.0231400640416977
MAR00054	4.06899191	4.0846795	-0.0156876	0.09473044	-0.00555147125385566
MAR00056	0.96695629	0.97284741	-0.005891114	0.5330637	-0.0087628616637238
MAR00057	2.54759126	2.59294298	-0.04535172	0.2642488	-0.0254566533736061
MAR00058	1.39206881	1.41186916	-0.01980036	0.1400964	-0.0203758727185528
MAR00059	4.54428629	4.55218331	-0.007897022	0.2237491	-0.00250492662647611
MAR00060	3.76016414	3.85724151	-0.09707737	0.1666117	-0.0367738386582064
MAR00061	3.00877672	3.02380973	-0.01503301	0.6972941	-0.00719031349160621
MAR00063	4.27022655	4.27755067	-0.007324114	0.379485	-0.00247233261158517
MAR00064	3.82320923	3.89113641	-0.06792717	0.2919561	-0.025407401516861
MAR00065	1.4276403	1.44664013	-0.01899984	0.1448994	-0.0190735458463893
MAR00066	0.26454846	0.28016601	-0.01561755	0.09173093	-0.0827499177896845
MAR00067	1.69073767	1.68202312	0.008714556	0.08621789	0.00745529661279013
MAR00069	4.67556934	4.68365139	-0.008082045	0.3445294	-0.00249164683467935
MAR00072	7.12112318	7.12845	-0.007326825	0.09636942	-0.00148360483187688
MAR00073	0.51429895	0.5310345	-0.01673555	0.0772417	-0.0461983841412708
MAR00074	0.51429895	0.5310345	-0.01673555	0.0772417	-0.0461983841412708
MAR00075	3.99599012	3.99989924	-0.003909115	0.6055854	-0.00141064195204434
MAR00076	3.82320923	3.89113641	-0.06792717	0.2919561	-0.025407401516861
MAR00077	1.32840323	1.34229961	-0.01389638	0.1873445	-0.015013590537714
MAR00078	2.65256104	2.66460741	-0.01204636	0.2488622	-0.00653703871064383
MAR00079	2.42514064	2.43279488	-0.007654239	0.809174	-0.0045462699874986
MAR00080	0.39031105	0.40508937	-0.01477832	0.1281278	-0.0536159204439919
MAR00081	1.06389069	1.08372435	-0.01983366	0.09325735	-0.0266479195920378
MAR00082	1.05333684	1.07440459	-0.02106776	0.08767345	-0.0285705127078096
MAR00083	4.71851666	4.72964666	-0.01113001	0.1081362	-0.00339901051427299
MAR00084	4.49696817	4.5065727	-0.009604531	0.1279046	-0.00307799192720705
MAR00085	4.36961662	4.37861559	-0.008998967	0.1695524	-0.00296809084616791
MAR00086	0.51429895	0.5310345	-0.01673555	0.0772417	-0.0461983841412708
