x
ACSS3
ACSS2
ACSS1
AK2
AK6
AK1
AK7
AK3
AK5
AK9
AK4
AK8
TAF9
FH
CPT1A
CPT1C
CPT1B
CRAT
SLC20A1
SLC20A2
AQP8
PLIN3
FITM1
PLIN2
PLIN1
PLIN4
BSCL2
CIDEA
FITM2
PRKACA
PRKACB
PRKACG
FABP4
PPP1CA
PPP1CC
PPP1CB
RHAG
RHBG
