x
ASPA
ACY3
NAT8L
CTH
SLC5A9
SLC5A2
SLC5A12
SLC5A10
SLC5A11
SLC38A5
SLC38A2
SLC6A14
SLC6A9
SLC6A5
SLCO1B3
SLCO1B1
SLC51A
SLC51B
SLC10A1
SLC10A2
SLCO2B1
