	mean.x	mean.y	mean.diff	pvalue	logFC
MAR00105	3.82320923	3.83382043	-0.01061119	0.8647353	-0.0039986094079968
MAR00106	3.82320923	3.83382043	-0.01061119	0.8647353	-0.0039986094079968
MAR00107	3.82320923	3.83382043	-0.01061119	0.8647353	-0.0039986094079968
MAR00108	3.34186126	3.34143975	0.0004215079	0.8370203	0.000181979050945395
MAR00109	2.91111887	2.90065186	0.01046701	0.7708591	0.00519659857500506
MAR00110	3.82320923	3.83382043	-0.01061119	0.8647353	-0.0039986094079968
MAR00111	3.82320923	3.83382043	-0.01061119	0.8647353	-0.0039986094079968
MAR00112	3.075407	3.0801079	-0.004700897	0.81284	-0.00220354155463975
MAR00113	3.886026	3.90441433	-0.01838833	0.04326213	-0.00681060393113789
MAR00114	3.88485915	3.90325621	-0.01839706	0.04346567	-0.006815871457705
MAR00115	4.00765557	4.02639633	-0.01874076	0.03848659	-0.0067306636528208
MAR00116	3.98386314	4.00172136	-0.01785823	0.04308827	-0.00645262933035478
MAR00117	4.00765557	4.02639633	-0.01874076	0.03848659	-0.0067306636528208
MAR00118	4.00653633	4.02528046	-0.01874413	0.03869498	-0.00673374734439461
MAR00119	1.36038264	1.38079474	-0.02041209	0.05180517	-0.021486372959139
MAR00120	1.86244793	1.85842463	0.004023299	0.2688556	0.00311991186288088
MAR00121	4.79153191	4.74082757	0.05070434	0.01672865	0.015348055208675
MAR00122	1.86244793	1.85842463	0.004023299	0.2688556	0.00311991186288088
MAR00123	2.50832238	2.55868158	-0.0503592	0.1311099	-0.0286778384079308
MAR00124	2.70295981	2.73166688	-0.02870707	0.07594506	-0.0152415005081926
MAR00125	2.76340917	2.76050411	0.002905054	0.9295868	0.00151744454680294
MAR00126	2.68816143	2.73282217	-0.04466074	0.2487408	-0.0237718062464701
MAR00127	4.26995045	4.27618167	-0.006231212	0.4586981	-0.00210381764745129
MAR00128	3.82320923	3.83382043	-0.01061119	0.8647353	-0.0039986094079968
MAR00129	0.74459024	0.76478808	-0.02019784	0.1012359	-0.0386133319855378
MAR00131	2.89656159	2.91618594	-0.01962435	0.1015523	-0.00974136923944426
MAR00132	2.89656159	2.91618594	-0.01962435	0.1015523	-0.00974136923944426
MAR00133	2.89656159	2.91618594	-0.01962435	0.1015523	-0.00974136923944426
MAR00134	2.89656159	2.91618594	-0.01962435	0.1015523	-0.00974136923944426
MAR00135	0.66053703	0.68408266	-0.02354563	0.1026987	-0.0505312194545463
MAR00136	8.38177143	8.39360225	-0.01183082	0.08668636	-0.0020349195790238
MAR00137	3.21423405	3.3296907	-0.1154567	0.1242832	-0.050913184230986
MAR00138	2.63336803	2.63674588	-0.003377852	0.6726113	-0.00184937486908583
MAR00139	5.49775097	5.50663904	-0.008888075	0.1863626	-0.00233048397753065
MAR00141	2.03122166	2.03091139	0.000310269	0.9249263	0.00022038913334326
MAR00142	0.3379412	0.36014109	-0.02219989	0.01542181	-0.0917899650601611
MAR00143	3.82320923	3.83382043	-0.01061119	0.8647353	-0.0039986094079968
MAR00144	4.86991265	4.88610411	-0.01619146	0.1420811	-0.00478870856178642
MAR00145	0.42321168	0.44596196	-0.02275028	0.01695096	-0.0755412111080443
MAR00146	4.48244318	4.50109561	-0.01865243	0.03719871	-0.00599091461835401
MAR00147	4.26023938	4.28167251	-0.02143312	0.112452	-0.00723995650001493
MAR00148	5.05517779	5.07177378	-0.01659599	0.05428901	-0.00472856490727356
MAR00149	4.41732758	4.44426773	-0.02694015	0.003558381	-0.00877190600205268
MAR00150	0.73701554	0.7562163	-0.01920076	0.04156402	-0.0371039075700571
MAR00151	4.39078865	4.40816508	-0.01737644	0.0517314	-0.00569815974667453
MAR00152	3.63072872	3.6606245	-0.02989578	0.003817958	-0.0118306530886715
MAR00153	0.66797398	0.6889436	-0.02096963	0.03687193	-0.0445939766949602
MAR00154	1.46080951	1.48008804	-0.01927854	0.07226993	-0.0189149316222523
MAR00155	3.89367356	3.98851931	-0.09484575	0.02161824	-0.0347213269434537
MAR00156	8.00428778	8.01724174	-0.01295396	0.0134178	-0.00233293805076083
MAR00157	3.09457756	3.09747984	-0.002902273	0.7620728	-0.00135241164589074
MAR00158	3.36913553	3.37904513	-0.009909598	0.7981774	-0.00423715421210395
MAR00159	3.36913553	3.37904513	-0.009909598	0.7981774	-0.00423715421210395
MAR00160	3.85701751	3.86852041	-0.0115029	0.7926712	-0.00429618991487769
MAR00161	3.36913553	3.37904513	-0.009909598	0.7981774	-0.00423715421210395
MAR00162	2.86980417	2.87138322	-0.001579045	0.905405	-0.000793594602303449
MAR00163	2.86980417	2.87138322	-0.001579045	0.905405	-0.000793594602303449
MAR00164	0.79841629	0.83651197	-0.03809568	0.03383236	-0.0672450284145303
MAR00165	7.60978745	7.61517511	-0.005387658	0.2759837	-0.00102105350444182
MAR00166	0.79841629	0.83651197	-0.03809568	0.03383236	-0.0672450284145303
MAR00167	0.4855194	0.50345541	-0.01793601	0.1613851	-0.0523350645237999
MAR00168	0.61151182	0.63399919	-0.02248738	0.01737712	-0.0521006120903768
MAR00169	0.48500862	0.5029387	-0.01793007	0.1613971	-0.0523721814479792
MAR00170	0.83708644	0.87650503	-0.03941859	0.0424087	-0.0663857628158402
MAR00171	7.72706184	7.74359703	-0.0165352	0.01330299	-0.00308393403245821
MAR00172	0.83708644	0.87650503	-0.03941859	0.0424087	-0.0663857628158402
MAR00173	0.4947056	0.51550329	-0.02079768	0.1091236	-0.0594114043645452
MAR00174	8.02820085	8.03813637	-0.009935519	0.2149412	-0.00178434288582386
MAR00175	2.86980417	2.87138322	-0.001579045	0.905405	-0.000793594602303449
MAR00176	0.78940296	0.82874774	-0.03934478	0.04857182	-0.0701711021222791
MAR00177	3.25446674	3.28575628	-0.03128955	0.002762141	-0.0138043025317072
MAR00178	0.74078096	0.78134949	-0.04056853	0.0488287	-0.0769209780839746
MAR00179	0.447047	0.46832728	-0.02128028	0.1021555	-0.0670905610720164
MAR00180	8.00428778	8.01724174	-0.01295396	0.0134178	-0.00233293805076083
MAR00181	1.11741643	1.14042813	-0.0230117	0.03008067	-0.0294085922817159
MAR00182	0.87436381	0.88404047	-0.009676656	0.4245485	-0.0158787265045776
MAR00183	0.66679244	0.71100786	-0.04421541	0.03349842	-0.0926277611959378
MAR00184	7.72706183	7.74359703	-0.01653521	0.01330298	-0.00308393589952634
MAR00185	0.66679244	0.71100786	-0.04421541	0.03349842	-0.0926277611959378
MAR00186	4.6071847	4.62282216	-0.01563746	0.2119532	-0.00488842704477229
MAR00187	1.43968371	1.46707167	-0.02738795	0.01344818	-0.0271874569685084
MAR00188	0.66874693	0.69008833	-0.02134139	0.03589035	-0.0453206724725507
MAR00189	0.66795844	0.68928966	-0.02133122	0.03586385	-0.0453520318671876
MAR00190	1.43907258	1.46640763	-0.02733505	0.01351786	-0.027146841015886
MAR00191	1.32863352	1.35145335	-0.02281982	0.03012216	-0.0245684955770421
MAR00192	0.66773126	0.68906905	-0.02133779	0.03589384	-0.0453809773455473
MAR00193	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00194	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00195	1.33015759	1.3530074	-0.02284981	0.02977346	-0.0245725511732196
MAR00196	0.6655559	0.68699571	-0.02143981	0.03786047	-0.0457412469504642
MAR00197	0.66812388	0.68945333	-0.02132945	0.03589516	-0.0453372727314894
