	mean.x	mean.y	mean.diff	pvalue	logFC
MAR00001	1.09604913	1.08315457	0.01289457	0.385878508	0.0170733326854191
MAR00002	1.1203623	1.10684794	0.01351436	0.40277608	0.0175083062154772
MAR00003	0.40897154	0.40167704	0.007294501	0.487894337	0.0259644518870769
MAR00004	0.74814581	0.74401154	0.004134269	0.724122944	0.00799447335642709
MAR00005	0.74814581	0.74401154	0.004134269	0.724122944	0.00799447335642709
MAR00006	0.69346434	0.68392103	0.009543317	0.437763692	0.0199919450715065
MAR00007	1.12034523	1.10683111	0.01351412	0.402776689	0.0175082617767118
MAR00008	0.40227167	0.39319667	0.009075003	0.467683116	0.032919036197433
MAR00009	0.74221079	0.73646022	0.005750577	0.668620341	0.011221374587345
MAR00010	0.74221079	0.73646022	0.005750577	0.668620341	0.011221374587345
MAR00011	1.49699046	1.48772563	0.009264828	0.454638583	0.00895654181017924
MAR00012	1.36958185	1.36149595	0.008085902	0.458701301	0.00854279721862793
MAR00013	0.88645757	0.87806311	0.008394454	0.358179873	0.0137269427511672
MAR00014	0.52706449	0.52166072	0.005403773	0.484452024	0.0148676909896181
MAR00016	1.18531429	1.17785119	0.007463098	0.413443423	0.00911236495796156
MAR00018	1.47518088	1.46399177	0.01118911	0.238240979	0.010984418687214
MAR00019	2.06500011	2.08441452	-0.0194144	0.290689303	-0.0135003512136217
MAR00020	2.06500011	2.08441452	-0.0194144	0.290689303	-0.0135003512136217
MAR00025	5.12926069	5.13397568	-0.004714988	0.787523555	-0.0013255649434859
MAR00030	5.12926069	5.13397568	-0.004714988	0.787523555	-0.0013255649434859
MAR00031	4.88267713	4.92861002	-0.04593289	0.010750802	-0.0135084491467389
MAR00032	4.88267713	4.92861002	-0.04593289	0.010750802	-0.0135084491467389
MAR00035	6.33418229	6.33053098	0.003651318	0.478721555	0.000831874652571586
MAR00036	4.6348474	4.62750062	0.007346774	0.277038396	0.00228865623974089
MAR00037	4.87059978	4.86371034	0.006889446	0.25124092	0.00204212983961701
MAR00038	2.01933267	2.02398897	-0.004656299	0.877044447	-0.00332282439371056
MAR00039	3.04616777	3.04017295	0.005994814	0.495722623	0.00284200319362764
MAR00040	0.71868759	0.7076619	0.01102569	0.312817246	0.0223045266713795
MAR00041	2.9124898	2.90733347	0.005156337	0.552104448	0.00255643971357026
MAR00045	2.52827245	2.444039	0.08423345	0.066373719	0.0488846319252874
MAR00047	0.68408266	0.67317564	0.01090702	0.31995594	0.0231876900697443
MAR00048	0.68408266	0.67317564	0.01090702	0.31995594	0.0231876900697443
MAR00050	2.22763209	2.1789926	0.04863949	0.028758217	0.031849683564545
MAR00052	4.67932609	4.66192848	0.01739761	0.106627615	0.00537389801407196
MAR00053	3.1187974	2.93321207	0.1855853	0.015441384	0.0885084558240849
MAR00054	4.08667067	4.08062774	0.006042929	0.378621599	0.00213488140059925
MAR00056	0.98211779	0.95886376	0.02325403	0.034152545	0.0345702193936261
MAR00057	2.56415719	2.60167514	-0.03751795	0.108281048	-0.0209561242640317
MAR00058	1.41718064	1.40553502	0.01164563	0.125088031	0.0119042621161933
MAR00059	4.55441241	4.54842692	0.005985496	0.32698647	0.00189726252914163
MAR00060	3.79229938	3.83270404	-0.04040467	0.534495177	-0.0152897369353474
MAR00061	2.99748961	2.97750567	0.01998394	0.576969164	0.00965049754461768
MAR00063	4.27671453	4.28149138	-0.004776849	0.41636965	-0.00161051009854507
MAR00064	3.83382043	3.87589035	-0.04206993	0.448837124	-0.0157449920255907
MAR00065	1.45072605	1.44119989	0.009526159	0.338330706	0.00950466490836674
MAR00066	0.2842385	0.27543515	0.008803351	0.306745972	0.0453892977797462
MAR00067	1.69058888	1.69093369	-0.0003448065	0.928033708	-0.000294219937010973
MAR00069	4.69178411	4.68360193	0.008182181	0.269337475	0.00251816692267744
MAR00072	7.13205455	7.12197027	0.01008429	0.064013262	0.0020413242375956
MAR00073	0.53569111	0.520394	0.01529712	0.143153968	0.0417970259034227
MAR00074	0.53569111	0.520394	0.01529712	0.143153968	0.0417970259034227
MAR00075	4.00406989	4.00434218	-0.0002722896	0.957751764	-9.81047002579536e-05
MAR00076	3.83382043	3.87589035	-0.04206993	0.448837124	-0.0157449920255907
MAR00077	1.34910963	1.33893154	0.01017809	0.197454778	0.010925390807154
MAR00078	2.67350975	2.66853532	0.004974426	0.379628961	0.00268683153080702
MAR00079	2.46639353	2.38684654	0.07954699	0.081921675	0.0472971972805931
MAR00080	0.40885553	0.40033297	0.008522553	0.325594336	0.0303907178962941
MAR00081	1.08619142	1.07693684	0.00925458	0.338943482	0.01234473089924
MAR00082	1.0760596	1.06695272	0.009106886	0.348529982	0.0122617397768653
MAR00083	4.73672828	4.72542249	0.01130579	0.102807687	0.00344759142500702
MAR00084	4.51340016	4.50371788	0.009682276	0.109998574	0.00309823663104088
MAR00085	4.38524994	4.37562363	0.00962631	0.118129666	0.00317042248747195
MAR00086	0.53569111	0.520394	0.01529712	0.143153968	0.0417970259034227
MAR00087	1.40352268	1.39541676	0.008105921	0.391941851	0.00835631033188479
MAR00089	4.5399508	4.52944832	0.01050248	0.139128489	0.00334132005558846
MAR00090	0.86947941	0.87016606	-0.0006866491	0.914068053	-0.00113888331657693
MAR00091	0.53569111	0.520394	0.01529712	0.143153968	0.0417970259034227
MAR00092	0.53569111	0.520394	0.01529712	0.143153968	0.0417970259034227
MAR00094	1.28913703	1.27617276	0.01296427	0.228394454	0.0145819794088903
MAR00095	3.05279341	3.07814356	-0.02535015	0.093697066	-0.0119305562241945
MAR00096	0.87108809	0.85107008	0.02001801	0.085374006	0.0335406875424064
MAR00097	2.16732229	2.14091074	0.02641155	0.18313285	0.0176890568835243
MAR00099	8.14740432	8.142932	0.004472328	0.030531212	0.000792149888206994
MAR00100	7.7708637	7.76818347	0.002680232	0.226659551	0.000497682325754583
MAR00101	2.75048755	2.75048755	0	NA	0
MAR00102	3.83382043	3.87589035	-0.04206993	0.448837124	-0.0157449920255907
MAR00103	0.57993481	0.57196943	0.007965381	0.390727994	0.0199526957102147
MAR00104	0.42296206	0.41916742	0.003794643	0.638603217	0.0130016713392748
MAR00105	3.83382043	3.87589035	-0.04206993	0.448837124	-0.0157449920255907
MAR00106	3.83382043	3.87589035	-0.04206993	0.448837124	-0.0157449920255907
MAR00107	3.83382043	3.87589035	-0.04206993	0.448837124	-0.0157449920255907
MAR00108	3.34143975	3.34514551	-0.003705753	0.045952826	-0.00159910684279185
MAR00109	2.90065186	2.94577668	-0.04512482	0.217579089	-0.0222709116847628
MAR00110	3.83382043	3.87589035	-0.04206993	0.448837124	-0.0157449920255907
MAR00111	3.83382043	3.87589035	-0.04206993	0.448837124	-0.0157449920255907
MAR00112	3.0801079	3.09270486	-0.01259697	0.41858317	-0.00588827092510974
MAR00113	3.90441433	3.89890208	0.005512246	0.423950122	0.00203823519233713
MAR00114	3.90325621	3.89774311	0.005513103	0.423542711	0.00203915499228243
MAR00115	4.02639633	4.02007749	0.006318842	0.373782588	0.00226587725506447
MAR00116	4.00172136	3.99583882	0.005882546	0.394525229	0.0021223254655974
MAR00117	4.02639633	4.02007749	0.006318842	0.373782588	0.00226587725506447
MAR00118	4.02528046	4.01896657	0.006313896	0.373831019	0.00226472897421381
MAR00119	1.38079474	1.3719346	0.008860139	0.311944229	0.00928716383097133
MAR00120	1.85842463	1.86246888	-0.004044251	0.372160271	-0.00313614012388556
MAR00121	4.74082757	4.78326565	-0.04243808	0.091772483	-0.0128569956960539
MAR00122	1.85842463	1.86246888	-0.004044251	0.372160271	-0.00313614012388556
MAR00123	2.55868158	2.56863868	-0.009957093	0.805031444	-0.00560334682496797
MAR00124	2.73166688	2.72553858	0.006128298	0.651701486	0.00324021948609963
MAR00125	2.76050411	2.75321893	0.007285183	0.810712345	0.00381241462364985
MAR00126	2.73282217	2.73770572	-0.004883554	0.909380025	-0.00257579355417046
MAR00127	4.27618167	4.28106325	-0.004881584	0.406719873	-0.00164600454643899
MAR00128	3.83382043	3.87589035	-0.04206993	0.448837124	-0.0157449920255907
MAR00129	0.76478808	0.75565043	0.009137648	0.331045753	0.0173410512461141
MAR00131	2.91618594	2.91103537	0.00515057	0.554026026	0.00255034203663022
MAR00132	2.91618594	2.91103537	0.00515057	0.554026026	0.00255034203663022
MAR00133	2.91618594	2.91103537	0.00515057	0.554026026	0.00255034203663022
MAR00134	2.91618594	2.91103537	0.00515057	0.554026026	0.00255034203663022
MAR00135	0.68408266	0.67317564	0.01090702	0.31995594	0.0231876900697443
MAR00136	8.39360225	8.38186846	0.01173379	0.174930846	0.0020182185879818
MAR00137	3.3296907	3.19328126	0.1364094	0.098278954	0.0603485402183239
MAR00138	2.63674588	2.64102262	-0.004276732	0.542544721	-0.00233812185572811
MAR00139	5.50663904	5.50572992	0.000909125	0.863332896	0.00023820177535195
MAR00141	2.03091139	2.03255316	-0.001641773	0.664537331	-0.0011657901955432
MAR00142	0.36014109	0.35237238	0.007768706	0.356049472	0.0314613660752753
MAR00143	3.83382043	3.87589035	-0.04206993	0.448837124	-0.0157449920255907
MAR00144	4.88610411	4.88411415	0.001989967	0.810755261	0.000587685021330448
MAR00145	0.44596196	0.43827635	0.007685611	0.367410521	0.025079824166135
MAR00146	4.50109561	4.49989129	0.001204322	0.869932457	0.000386061333343899
MAR00147	4.28167251	4.28063296	0.001039549	0.916879551	0.000350315377646864
MAR00148	5.07177378	5.0632782	0.008495572	0.350000822	0.00241864255463401
MAR00149	4.44426773	4.43368333	0.0105844	0.231467895	0.00343999837854264
MAR00150	0.7562163	0.74918207	0.007034224	0.414614512	0.0134825741798481
MAR00151	4.40816508	4.40616481	0.002000278	0.765233215	0.00065479275112024
MAR00152	3.6606245	3.64980943	0.01081507	0.30136191	0.00426865474422969
MAR00153	0.6889436	0.68090149	0.008042117	0.371764004	0.0169397920972899
MAR00154	1.48008804	1.47293085	0.007157188	0.416922031	0.00699329271019322
MAR00155	3.98851931	3.91550663	0.07301267	0.080095298	0.026654271728733
MAR00156	8.01724174	8.01811315	-0.0008714165	0.848876471	-0.000156800880983754
MAR00157	3.09747984	3.10774453	-0.01026469	0.200990003	-0.00477302027575545
MAR00158	3.37904513	3.41642682	-0.03738169	0.279405394	-0.0158726055172131
MAR00159	3.37904513	3.41642682	-0.03738169	0.279405394	-0.0158726055172131
MAR00160	3.86852041	3.90687866	-0.03835824	0.333520116	-0.0142345635243542
MAR00161	3.37904513	3.41642682	-0.03738169	0.279405394	-0.0158726055172131
MAR00162	2.87138322	2.8638502	0.007533019	0.617039724	0.00378985685524668
MAR00163	2.87138322	2.8638502	0.007533019	0.617039724	0.00378985685524668
MAR00164	0.83651197	0.80665105	0.02986092	0.088588044	0.0524414730035705
MAR00165	7.61517511	7.61569177	-0.0005166612	0.909750566	-9.787792460976e-05
MAR00166	0.83651197	0.80665105	0.02986092	0.088588044	0.0524414730035705
MAR00167	0.50345541	0.50080469	0.002650721	0.785037408	0.00761593431747265
MAR00168	0.63399919	0.6260217	0.007977489	0.337715085	0.0182683305263079
MAR00169	0.5029387	0.50029004	0.00264866	0.785135014	0.00761783902917811
MAR00170	0.87650503	0.84395601	0.03254902	0.088145826	0.054594567727037
MAR00171	7.74359703	7.74193526	0.00166177	0.775915567	0.000309634477188641
MAR00172	0.87650503	0.84395601	0.03254902	0.088145826	0.054594567727037
MAR00173	0.51550329	0.51246592	0.003037369	0.749132893	0.00852556933809825
MAR00174	8.03813637	8.04094087	-0.0028045	0.73188263	-0.000503267472729944
MAR00175	2.87138322	2.8638502	0.007533019	0.617039724	0.00378985685524668
MAR00176	0.82874774	0.79347971	0.03526803	0.083907659	0.0627396984887705
MAR00177	3.28575628	3.27466911	0.01108717	0.257013314	0.00487633635135913
MAR00178	0.78134949	0.7447478	0.03660169	0.081635064	0.0692160394077812
MAR00179	0.46832728	0.46694515	0.00138213	0.883696176	0.00426398444865549
MAR00180	8.01724174	8.01811315	-0.0008714165	0.848876471	-0.000156800880983754
MAR00181	1.14042813	1.13488269	0.005545446	0.573444371	0.00703235316966829
MAR00182	0.88404047	0.88503129	-0.0009908166	0.92523562	-0.0016160466547509
MAR00183	0.71100786	0.6723416	0.03866626	0.065843605	0.0806710918890612
MAR00184	7.74359703	7.74193528	0.001661759	0.775917033	0.000309630750226218
