"name"	"mIDH2_R"	"mIDH1_R"	"distance"
"1"	"(10Z)-heptadecenoic"	0.317501244577106	0.721180795902937	0.00394748213228358
"2"	"(11Z,14Z)-eicosadienoic"	0.32486033504302	0.720892511096034	0.00704593452387758
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.325558568013769	0.72060900594647	0.00759606931606471
"4"	"(13Z)-eicosenoic"	0.325982753613736	0.72325380661798	0.00511324961604009
"5"	"(13Z)-octadecenoic"	0.328096329850079	0.722607327596697	0.00656682612507087
"6"	"(13Z,16Z)-docosadienoic"	0.326149172798379	0.720959001964441	0.00747160367154953
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	0.603886161262482
"8"	"(1R,2S)-naphthalene"	0.474677681227534	0.783914850678471	0.0012333618035465
"9"	"(1S,2R)-naphthalene"	0	0	0.603886161262482
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.34179064180328	0.727984450494848	0.00641906026822414
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.353208920451888	0.731019979322676	0.00774375457937115
"12"	"(5-L-glutamyl)-L-amino"	0.343169213026853	0.725577660933452	0.00935227577636155
"13"	"(6Z,9Z)-octadecadienoic"	0.340703416797559	0.728998713613257	0.00498962567142491
"14"	"(7Z)-octadecenoic"	0.392542756666162	0.75110248778959	0.00268140003268091
"15"	"(7Z)-tetradecenoic"	0.318345411556973	0.721418363158001	0.00403227138226336
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.296960388253474	0.703520817434728	0.0137636585885695
"17"	"(9E)-tetradecenoic"	0.340702088872506	0.729001183846302	0.00498664835235418
"18"	"(Glc)3"	0	0	0.603886161262482
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	0.603886161262482
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.292080813326537	0.70796272424146	0.00745842052503909
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.352124070410406	0.728912601516505	0.00943686781916009
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.603886161262482
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.603886161262482
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.603886161262482
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.603886161262482
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.603886161262482
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.603886161262482
