"name"	"mIDH2_R"	"mIDH1_R"	"distance"
"1"	"(10Z)-heptadecenoic"	0.317501244577106	0.721180795902937	0.3584
"2"	"(11Z,14Z)-eicosadienoic"	0.32486033504302	0.720892511096034	0.3525
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.325558568013769	0.72060900594647	0.3518
"4"	"(13Z)-eicosenoic"	0.325982753613736	0.72325380661798	0.3532
"5"	"(13Z)-octadecenoic"	0.328096329850079	0.722607327596697	0.3511
"6"	"(13Z,16Z)-docosadienoic"	0.326149172798379	0.720959001964441	0.3516
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	0.1495
"8"	"(1R,2S)-naphthalene"	0.474677681227534	0.783914850678471	0.2761
"9"	"(1S,2R)-naphthalene"	0	0	0.1495
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.34179064180328	0.727984450494848	0.3439
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.353208920451888	0.731019979322676	0.337
"12"	"(5-L-glutamyl)-L-amino"	0.343169213026853	0.725577660933452	0.3413
"13"	"(6Z,9Z)-octadecadienoic"	0.340703416797559	0.728998713613257	0.3454
"14"	"(7Z)-octadecenoic"	0.392542756666162	0.75110248778959	0.3191
"15"	"(7Z)-tetradecenoic"	0.318345411556973	0.721418363158001	0.3579
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.296960388253474	0.703520817434728	0.3632
"17"	"(9E)-tetradecenoic"	0.340702088872506	0.729001183846302	0.3454
"18"	"(Glc)3"	0	0	0.1495
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	0.1495
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.292080813326537	0.70796272424146	0.3698
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.352124070410406	0.728912601516505	0.3365
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.1495
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.1495
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.1495
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.1495
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.1495
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.1495
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	0.1495
"29"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.1495
"30"	"1,1-dichloroethylene"	0	0	0.1495
"31"	"1,2-Diacyl-Sn-Glycerol"	0.296960388253474	0.703520817434728	0.3632
"32"	"1,2-diacylglycerol-LD-PC"	0.348265656857756	0.72879288097299	0.3394
"33"	"1,2-diacylglycerol-LD-PE"	0	0	0.1495
"34"	"1,2-diacylglycerol-LD-PI"	0.180550491974181	0.656122998663753	0.4236
"35"	"1,2-diacylglycerol-LD-PS"	0	0	0.1495
"36"	"1,2-diacylglycerol-LD-SM"	0	0	0.1495
"37"	"1,2-diacylglycerol-LD-TAG"	0.327104322530264	0.722256225571402	0.3517
"38"	"1,2-diacylglycerol-VLDL"	0.329792710981022	0.718776753648659	0.3474
"39"	"1,2-diacylglycerol-bile-PC"	0	0	0.1495
"40"	"1,2-diacylglycerol-chylomicron"	0.330071805035191	0.721530943063607	0.3489
"41"	"1-Acyl"	0.296960388253474	0.703520817434728	0.3632
"42"	"1-Acylglycerone"	0	0	0.1495
"43"	"1-Alkyl-2-Acetyl-Sn-Glycerol"	0.274541322655082	0.699537513110377	0.3781
"44"	"1-Alkyl-Sn-Glycerol"	0	0	0.1495
"45"	"1-Arachidonoyl"	0.296960388253474	0.703520817434728	0.3632
"46"	"1-Didecanoylglycerophosphoethanolamine"	0.198670693297014	0.662095381054143	0.4133
"47"	"1-Dihomo-Linolenoylglycerophosphocholine"	0.198830030744024	0.662069175285735	0.4132
"48"	"1-Dihomo-Linolenoylglycerophosphoethanolamine"	0.198670693297014	0.662095381054143	0.4133
"49"	"1-Docosahexenoylglyceroethanolamine"	0.198670693297014	0.662095381054143	0.4133
"50"	"1-Docosahexenoylglycerophosphocholine"	0.198830030744024	0.662069175285735	0.4132
"51"	"1-Docosapentenoylglycerophosphocholine"	0.198830030744024	0.662069175285735	0.4132
"52"	"1-Docosatetraenoyglycerophosphoethanolamine"	0.221254660295357	0.672696123231939	0.4025
"53"	"1-Docosatetraenoylglycerophosphocholine"	0.198830030744024	0.662069175285735	0.4132
"54"	"1-Eicosadienoylglycerophosphocholine"	0.198830030744024	0.662069175285735	0.4132
"55"	"1-Eicosapentenoylglycerophosphocholine"	0.198830030744024	0.662069175285735	0.4132
"56"	"1-Eicosatetraenoylglycerophosphocholine"	0.198830030744024	0.662069175285735	0.4132
"57"	"1-Eicosatrienoylglycerophosphocholine"	0.198830030744024	0.662069175285735	0.4132
"58"	"1-Eicosatrienoylglycerophosphoethanolamine"	0.198670693297014	0.662095381054143	0.4133
"59"	"1-Eicosenoylglycerophosphocholine"	0.198830030744024	0.662069175285735	0.4132
