A	B	scaled_weight
ethanol[c]	MAR03905	1
NAD+[c]	MAR03905	1
ethanol[c]	MAR03907	1
NADP+[c]	MAR03907	1
acetate[c]	MAR04097	0.728965631348521
ATP[c]	MAR04097	0.728965631348521
CoA[c]	MAR04097	0.728965631348521
acetate[m]	MAR04099	0.689781447198181
ATP[m]	MAR04099	0.689781447198181
CoA[m]	MAR04099	0.689781447198181
acetyl adenylate[c]	MAR04108	0.726974480388002
CoA[c]	MAR04108	0.726974480388002
acetate[c]	MAR04133	0.726974480388002
ATP[c]	MAR04133	0.726974480388002
H+[c]	MAR04133	0.726974480388002
CoA[m]	MAR04137	0.801490344949753
NAD+[m]	MAR04137	0.801490344949753
pyruvate[m]	MAR04137	0.801490344949753
H+[x]	MAR04281	1
NADH[x]	MAR04281	1
pyruvate[x]	MAR04281	1
MAR04281	L-lactate[x]	0.981489579282828
MAR04281	NAD+[x]	0.981489579282828
H+[c]	MAR04388	0.980783857673122
NADH[c]	MAR04388	0.980783857673122
pyruvate[c]	MAR04388	0.980783857673122
MAR04388	L-lactate[c]	0.983610860128249
MAR04388	NAD+[c]	0.983610860128249
acetaldehyde[c]	MAR04283	0.760227633181074
H2O[c]	MAR04283	0.760227633181074
NADP+[c]	MAR04283	0.760227633181074
acetaldehyde[m]	MAR08357	0.79566188661948
H2O[m]	MAR08357	0.79566188661948
NAD+[m]	MAR08357	0.79566188661948
ATP[c]	MAR04379	0.691414698785072
fructose-6-phosphate[c]	MAR04379	0.691414698785072
fructose-6-phosphate[c]	MAR04301	0.691443327937075
UTP[c]	MAR04301	0.691443327937075
DHAP[c]	MAR04355	0.691443327937075
erythrose-4-phosphate[c]	MAR04355	0.691443327937075
ADP[c]	MAR04358	0.427140228060341
H+[c]	MAR04358	0.427140228060341
PEP[c]	MAR04358	0.427140228060341
H2O[c]	MAR04360	0.668415291744024
methylglyoxal[c]	MAR04360	0.668415291744024
NADP+[c]	MAR04360	0.668415291744024
2-phospho-D-glycerate[c]	MAR04363	0.774389832549009
MAR04363	H2O[c]	0.759744262011743
MAR04363	PEP[c]	0.759744262011743
2-phospho-D-glycerate[c]	MAR04365	0.731103529894507
MAR04365	3-phospho-D-glycerate[c]	0.773889959499632
1,3-bisphospho-D-glycerate[c]	MAR04368	0.771976652608555
ADP[c]	MAR04368	0.771976652608555
MAR04368	3-phospho-D-glycerate[c]	0.73930440610589
MAR04368	ATP[c]	0.73930440610589
1,3-bisphospho-D-glycerate[c]	MAR04370	0.785739878152885
H2O[c]	MAR04370	0.785739878152885
1,3-bisphospho-D-glycerate[c]	MAR04371	0.792983218025806
2,3-bisphospho-D-glycerate[c]	MAR04372	0.792983218025809
H2O[c]	MAR04372	0.792983218025809
1,3-bisphospho-D-glycerate[c]	MAR04373	0.713550109848369
H+[c]	MAR04373	0.713550109848369
NADH[c]	MAR04373	0.713550109848369
MAR04373	GAP[c]	0.771976652608554
MAR04373	NAD+[c]	0.771976652608554
MAR04373	Pi[c]	0.771976652608554
DHAP[c]	MAR04375	0.637866092295824
GAP[c]	MAR04375	0.637866092295824
MAR04375	fructose-1,6-bisphosphate[c]	0.691443327937075
fructose-1,6-bisphosphate[c]	MAR04377	0.665701995422068
H2O[c]	MAR04377	0.665701995422068
fructose-6-phosphate[c]	MAR04381	0.691488233296336
MAR04381	glucose-6-phosphate[c]	0.888354276712429
DHAP[c]	MAR04391	0.668452106204239
MAR04391	GAP[c]	0.697750374640068
ATP[c]	MAR04394	0.775945999925241
glucose[c]	MAR04394	0.775945999925241
glucose-1-phosphate[c]	MAR04396	0.873019048974147
MAR04396	glucose-6-phosphate[c]	0.691251908269235
glucose-6-phosphate[r]	MAR04521	0.763083701973285
H2O[r]	MAR04521	0.763083701973285
H+[m]	MAR06410	0.8083953325865
lipoamide[m]	MAR06410	0.8083953325865
pyruvate[m]	MAR06410	0.8083953325865
CoA[m]	MAR06412	0.8083953325865
S-acetyldihydrolipoamide[m]	MAR06412	0.8083953325865
beta-D-glucose[c]	MAR07745	0.275590957045153
MAR07745	glucose[c]	0.275590957045153
ADP[c]	MAR07747	0.77032223118738
glucose[c]	MAR07747	0.77032223118738
ethanol[x]	MAR08360	1
H2O2[x]	MAR08360	1
carbamoyl-phosphate[r]	MAR08652	0.275590957045153
glucose[r]	MAR08652	0.275590957045153
ethanol[c]	MAR08757	1
H+[c]	MAR08757	1
NADPH[c]	MAR08757	1
O2[c]	MAR08757	1
H2O[e]	MAR03989	0.986534392193493
maltose[e]	MAR03989	0.986534392193493
H2O[c]	MAR04122	0.742728488344599
NAD+[c]	MAR04122	0.742728488344599
UDP-glucose[c]	MAR04122	0.742728488344599
H2O[e]	MAR04837	1
trehalose[e]	MAR04837	1
glycogenin[c]	MAR05395	0.714463207428475
UDP-glucose[c]	MAR05395	0.714463207428475
glycogenin G8[c]	MAR05396	0.714463207428475
UDP-glucose[c]	MAR05396	0.714463207428475
UDP-glucose[c]	MAR09727	0.791254930382664
glycogenin G11[c]	MAR05397	0.714463207428475
glycogenin G4G7[c]	MAR05398	0.714463207428475
Pi[c]	MAR05398	0.714463207428475
glycogenin G4G4[c]	MAR05399	0.713075546841362
glycogenin G7G1[c]	MAR05400	0.713075546841362
H2O[c]	MAR05400	0.713075546841362
glycogenin G7[c]	MAR05401	0.7130756035035
Pi[c]	MAR05401	0.7130756035035
H2O[c]	MAR08568	1
maltodecaose[c]	MAR08568	1
H2O[e]	MAR08569	1
maltodecaose[e]	MAR08569	1
H2O[c]	MAR08570	1
maltononaose[c]	MAR08570	1
H2O[e]	MAR08571	1
maltononaose[e]	MAR08571	1
H2O[c]	MAR08572	1
maltoheptaose[c]	MAR08572	1
H2O[e]	MAR08573	1
maltoheptaose[e]	MAR08573	1
H2O[c]	MAR08574	1
maltohexaose[c]	MAR08574	1
H2O[e]	MAR08575	1
maltohexaose[e]	MAR08575	1
H2O[c]	MAR08576	1
maltopentaose[c]	MAR08576	1
H2O[e]	MAR08577	1
maltopentaose[e]	MAR08577	1
H2O[c]	MAR08578	1
maltotetraose[c]	MAR08578	1
H2O[e]	MAR08579	1
maltotetraose[e]	MAR08579	1
H2O[e]	MAR08581	1
maltotriose[e]	MAR08581	1
H2O[c]	MAR08591	1
maltotriose[c]	MAR08591	1
H2O[l]	MAR08592	1
maltotriose[l]	MAR08592	1
H2O[c]	MAR08580	1
maltotriose[c]	MAR08580	1
H2O[c]	MAR08582	1
maltose[c]	MAR08582	1
H2O[c]	MAR08587	1
maltose[c]	MAR08587	1
H2O[l]	MAR08589	1
maltose[l]	MAR08589	1
H2O[e]	MAR08583	1
starch structure 1[e]	MAR08583	1
H2O[e]	MAR08584	1
starch structure 2[e]	MAR08584	1
1,3-bisphospho-D-glycerate[c]	MAR08585	0.739052178225065
glucose-1-phosphate[c]	MAR08585	0.739052178225065
glucose-1-phosphate[c]	MAR03944	0.868162658036386
H+[c]	MAR03944	0.868162658036386
UTP[c]	MAR03944	0.868162658036386
UDP-galactose[c]	MAR04128	0.960583148763437
MAR04128	UDP-glucose[c]	0.69288425174509
ATP[c]	MAR04130	0.722125080472395
galactose[c]	MAR04130	0.722125080472395
glucose-1-phosphate[c]	MAR04131	0.828308593902934
UDP-galactose[c]	MAR04131	0.828308593902934
MAR04131	alpha-D-galactose-1-phosphate[c]	0.721901208086912
MAR04131	UDP-glucose[c]	0.721901208086912
galactose-1-phosphate[c]	MAR04132	0.721901208086922
UDP-glucose[c]	MAR04132	0.721901208086922
H2O[e]	MAR04303	1
sucrose[e]	MAR04303	1
ATP[c]	MAR04414	0.721901208086922
galactose[c]	MAR04414	0.721901208086922
H2O[e]	MAR04415	0.626696636829028
lactose[e]	MAR04415	0.626696636829028
galactosylglycerol[e]	MAR04416	1
H2O[e]	MAR04416	1
CDP[c]	MAR04774	0.790506910202834
H+[c]	MAR04774	0.790506910202834
tagatose-1,6-bisphosphate[c]	MAR04774	0.790506910202834
MAR04774	CTP[c]	0.790506910202834
MAR04774	D-tagatose-6-phosphate[c]	0.790506910202834
D-tagatose-6-phosphate[c]	MAR04775	0.790506910202834
ITP[c]	MAR04775	0.790506910202834
MAR04775	H+[c]	0.790506910202834
MAR04775	IDP[c]	0.790506910202834
MAR04775	tagatose-1,6-bisphosphate[c]	0.790506910202834
lactose[e]	MAR04831	0.984345952643235
NAD+[e]	MAR04831	0.984345952643235
MAR04831	3-ketolactose[e]	0.275590957045153
MAR04831	H+[e]	0.275590957045153
MAR04831	NADH[e]	0.275590957045153
3-keto-beta-D-galactose[e]	MAR04832	1
glucose[e]	MAR04832	1
MAR04832	3-ketolactose[e]	0.976146820369761
MAR04832	H2O[e]	0.976146820369761
glucose[g]	MAR07674	0.626428697843544
UDP-galactose[g]	MAR07674	0.626428697843544
ATP[c]	MAR08761	1
D-tagatose[c]	MAR08761	1
D-tagatose-6-phosphate[c]	MAR08762	1
MAR08762	DHAP[c]	0.275590957045153
MAR08762	glyceraldehyde[c]	0.275590957045153
H2O[l]	MAR08764	0.608326387499939
lactose[l]	MAR08764	0.608326387499939
galactose[c]	MAR08766	0.745353142742867
H+[c]	MAR08766	0.745353142742867
NADPH[c]	MAR08766	0.745353142742867
MAR08766	galactitol[c]	1
MAR08766	NADP+[c]	1
alpha-D-galactose-1-phosphate[c]	MAR08767	0.826547863604183
H+[c]	MAR08767	0.826547863604183
UTP[c]	MAR08767	0.826547863604183
ATP[c]	MAR00454	0.651087038271691
glyceraldehyde[c]	MAR00454	0.651087038271691
ATP[c]	MAR04297	0.79177041992747
fructose-6-phosphate[c]	MAR04297	0.79177041992747
ATP[c]	MAR04310	0.275590957045153
fructose[c]	MAR04310	0.275590957045153
D-glucitol[c]	MAR04315	0.659999813892288
NAD+[c]	MAR04315	0.659999813892288
MAR04315	fructose[c]	0.813670314606724
MAR04315	H+[c]	0.813670314606724
MAR04315	NADH[c]	0.813670314606724
D-glucitol[c]	MAR04316	0.882046234339654
NADP+[c]	MAR04316	0.882046234339654
MAR04316	glucose[c]	0.882046234339654
MAR04316	H+[c]	0.882046234339654
MAR04316	NADPH[c]	0.882046234339654
ATP[c]	MAR04317	0.275590957045153
D-glucitol[c]	MAR04317	0.275590957045153
ATP[c]	MAR04318	0.275590957045153
fructose[c]	MAR04318	0.275590957045153
ATP[c]	MAR04319	0.664029838069212
fructose[c]	MAR04319	0.664029838069212
ATP[c]	MAR04320	0.275590957045153
mannose-1-phosphate[c]	MAR04320	0.275590957045153
DHAP[c]	MAR04356	0.275590957045153
glyceraldehyde[c]	MAR04356	0.275590957045153
fructose-6-phosphate[c]	MAR04383	0.760105636647053
MAR04383	mannose-6-phosphate[c]	1
mannose-6-phosphate[c]	MAR04385	0.637664530089104
GDP[c]	MAR04386	0.63779240058792
H+[c]	MAR04386	0.63779240058792
mannose-1-phosphate[c]	MAR04386	0.63779240058792
GTP[c]	MAR04387	0.615285045632109
H+[c]	MAR04387	0.615285045632109
mannose-1-phosphate[c]	MAR04387	0.615285045632109
GDP-mannose[c]	MAR04399	0.766339282172307
GDP-4-dehydro-6-deoxy-D-mannose[c]	MAR04400	0.766624446041225
H+[c]	MAR04400	0.766624446041225
NADH[c]	MAR04400	0.766624446041225
GDP-L-fucose[c]	MAR04401	0.275590957045153
PPi[c]	MAR04401	0.275590957045153
MAR04401	GTP[c]	0.275590957045153
MAR04401	H+[c]	0.275590957045153
