nodeLabel	flow_class_1	flow_class_2	distance
ASB6	0.151704762108477	0.509130434965547	0.2517
EFCAB6	0.130765063781457	0.468519796837474	0.2381
TIGD6	0.123805512050413	0.453828222371445	0.2328
RARA	0.175719218093047	0.499243243590726	0.2277
SOD2	0.148102345620509	0.468963592480594	0.2261
IL21	0.171067770170189	0.484143602847996	0.2204
TGS1	0.152785245903941	0.452945566012824	0.2115
DCK	0.0974295280412993	0.393705539299266	0.2094
HDGF	0.200866991480891	0.497994785996835	0.2089
AKAP5	0.217220196313966	0.514292839040322	0.2087
HEY1	0.193956679024529	0.486734232928113	0.2059
UGGT1	0.0584756255594125	0.348245681998104	0.2052
KLF16	0.118325796990115	0.405813331387101	0.203
DOK3	0.0892838451240083	0.373410725209555	0.2009
RPH3AL	0.130995031005626	0.415633240252016	0.2009
FOXJ3	0.147052563719717	0.430104567383756	0.1996
FGFR4	0.156285655262041	0.438619347257597	0.199
GRK1	0.153718669211941	0.435047965258555	0.1983
OPN4	0.164989481138111	0.445865871101412	0.1979
WSB2	0.119939783153199	0.399051754230067	0.1971
BRMS1	0.0911974482723047	0.367246763183612	0.1952
RAP2C	0.121629780759169	0.396403029205843	0.194
MICB	0.117960070495091	0.391545901387041	0.1932
PRKCD	0.20421707385239	0.478925304585086	0.1931
PTCH2	0.137942813249891	0.410129192890219	0.192
SAFB2	0.171166964167348	0.440061870708831	0.1894
SLC45A4	0.123800220734767	0.391545901387041	0.1891
WNK2	0.170607297879465	0.436459105502649	0.1873
PLEKHG4	0.191553444205216	0.457299124030205	0.187
GTF2IRD2	0.153119656363606	0.418215897859602	0.1869
ELF5	0.245569619391724	0.51157241852488	0.1866
CD226	0.117846618007825	0.381664710346381	0.1864
ILK	0.0719046532402306	0.333341583331693	0.1852
RSF1	0.195416223772677	0.457570298298756	0.1844
ACOT12	0.150391753404402	0.410112801980955	0.1832
LTB4R	0.139913769441407	0.397218691067807	0.1816
GLI1	0.155723863133983	0.409274279190615	0.1788
CASP8AP2	0.167763513504179	0.420513313870381	0.1781
KCNH1	0.107558879316893	0.359380578845734	0.1781
BLOC1S1	0.109074421867549	0.360812093886925	0.178
TFEB	0.258434604453352	0.5119823061377	0.1777
CLN3	0.179128111454353	0.430167793395043	0.1768
DCUN1D1	0.0606965903846158	0.309333383678057	0.1763
RABEP2	0.10768587912749	0.356219418602971	0.1757
HEXB	0.0890397905691524	0.336992506413771	0.1755
SORCS3	0.143334425830035	0.391545901387041	0.1752
MRPL54	0.131019508804252	0.376551304581256	0.1734
TMEM203	0.145872188003393	0.391545901387041	0.1734
ZNF468	0.238682978389859	0.485020225808759	0.1729
CDK8	0.219138710030055	0.46510065968792	0.1728
OR4C45	0.151985945711054	0.396226970237157	0.1723
G6PD	0.105612418193739	0.347393131598214	0.171
MRPS36	0.130969116228087	0.373093801166532	0.171
NPDC1	0.149300759871598	0.391545901387041	0.1709
RIPK2	0.193579061453204	0.434732093444224	0.1697
ZBTB3	0.176245670271098	0.416681133402008	0.1694
CXCL16	0.215542531111826	0.456422772578575	0.1693
ID2	0.28091014152578	0.521860574179905	0.1687
MED19	0.161848216952368	0.400824333618778	0.1685
CNKSR1	0.171454588935146	0.408903143875011	0.1673
MAP1A	0.194826139916369	0.432639376389696	0.1673
NEUROG1	0.202128551117268	0.439675140872654	0.1671
EWSR1	0.262682313757165	0.499104712828747	0.1657
ABCD1	0.149072766520841	0.383517154454345	0.1654
OR8J3	0.172109670837769	0.406853509906494	0.1654
GPR155	0.157206466233943	0.391545901387041	0.1653
PDPK1	0.177575804005541	0.411767283285791	0.165
RBM33	0.153127319224453	0.386555992137962	0.1647
ARFIP2	0.175102908770971	0.408787921016666	0.1646
OAZ1	0.20243012637799	0.436393026976247	0.1646
ZNF354B	0.137762336933812	0.370715118351489	0.1645
RGN	0.164444469369545	0.395590395687559	0.163
CTSB	0.189302633035406	0.419315734357551	0.1619
STK19	0.129917560646075	0.35884863794144	0.1618
PTPRO	0.217272346632795	0.447202199001871	0.1616
LMO7	0.141635345707391	0.369841403377349	0.1611
VCPIP1	0.151789044046785	0.37964189885498	0.1608
GSC2	0.173474404327499	0.401513228386767	0.1607
TRIM54	0.218076919329874	0.446426064244989	0.1605
GPR37L1	0.265145211326197	0.493966942469408	0.1603
ASB14	0.155785955121437	0.38223448730494	0.1598
IFFO2	0.144644400362963	0.370788964372782	0.1597
DISP1	0.19351741526713	0.420192790845075	0.1595
ATG7	0.125962137937829	0.351175213847385	0.1592
CRISP2	0.209788901966683	0.435047965258555	0.1584
SIDT1	0.168380403821505	0.391545901387041	0.1573
FAM151B	0.118272266272842	0.339383726969748	0.1564
OR51T1	0.192744512287642	0.414440480405388	0.156
GNA11	0.149374213663508	0.369744110170302	0.1556
GPR89A	0.128567152680063	0.348396212642656	0.1554
RASA1	0.262679721199419	0.483871474136082	0.155
FMN2	0.133586843900966	0.352828429161681	0.1549
CC2D1A	0.160381875026053	0.379683523078633	0.1547
OR4D11	0.130442068420226	0.349075337665329	0.1545
RXFP3	0.243771687206862	0.463722006477557	0.1543
CUEDC1	0.104834996327127	0.322513886447233	0.1541
OR10A7	0.207514887802696	0.425940251681696	0.1536
