"name"	"Cluster_R"	"R"	"distance"
"1"	"(10Z)-heptadecenoic"	0	0.254005347121224	0.1964
"2"	"(11Z,14Z)-eicosadienoic"	0	0.261588276319858	0.2016
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0	0.260749212499664	0.201
"4"	"(13Z)-eicosenoic"	0	0.26612892516415	0.2047
"5"	"(13Z)-octadecenoic"	0	0.266213935905628	0.2048
"6"	"(13Z,16Z)-docosadienoic"	0	0.260461843611529	0.2008
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	0.021
"8"	"(1R,2S)-naphthalene"	0	0.426539460922466	0.3155
"9"	"(1S,2R)-naphthalene"	0	0	0.021
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0	0.293051277440657	0.2233
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0	0.308792091400112	0.2342
"12"	"(5-L-glutamyl)-L-amino"	0	0.273696786955131	0.21
"13"	"(6Z,9Z)-octadecadienoic"	0	0.281152325283741	0.2151
"14"	"(7Z)-octadecenoic"	0	0.343498012488769	0.2582
"15"	"(7Z)-tetradecenoic"	0	0.26128755639428	0.2014
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0	0.221221243047402	0.1737
"17"	"(9E)-tetradecenoic"	0	0.280707267264844	0.2148
"18"	"(Glc)3"	0	0	0.021
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	0.021
"20"	"(S)-3-Hydroxyoctadecanoyl"	0	0.253152989828026	0.1958
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0	0.285675736357699	0.2182
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.021
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.021
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.021
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.021
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.021
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.021
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	0.021
"29"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.021
"30"	"0.0001"	0	0.0370493369425227	0.0466
"31"	"0.0002"	0	0	0.021
"32"	"0.0003"	0	0	0.021
"33"	"0.0004"	0	0.161284470207021	0.1323
"34"	"0.0005"	0	0.0370493369425227	0.0466
"35"	"0.00057356"	0	0	0.021
"36"	"0.0006"	0	0	0.021
"37"	"0.0007"	0	0	0.021
"38"	"0.0008"	0	0	0.021
"39"	"0.0009"	0	0	0.021
"40"	"0.0009274"	0	0	0.021
"41"	"0.001"	0	0	0.021
"42"	"0.0011"	0	0.0370493369425227	0.0466
"43"	"0.0012"	0	0	0.021
"44"	"0.0012056"	0	0	0.021
"45"	"0.0012642"	0	0	0.021
"46"	"0.0013"	0	0	0.021
"47"	"0.0014"	0	0.161284470207021	0.1323
"48"	"0.0015"	0	0	0.021
"49"	"0.0016"	0	0	0.021
"50"	"0.0017"	0	0	0.021
"51"	"0.0018"	0	0	0.021
"52"	"0.0018548"	0	0	0.021
