"name"	"mIDH2_NR"	"mIDH2_R"	"distance"
"1"	"(10Z)-heptadecenoic"	0.706649793524064	0.317501244577106	-0.1422
"2"	"(11Z,14Z)-eicosadienoic"	0.708980059746871	0.32486033504302	-0.1403
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.709077887946072	0.325558568013769	-0.14
"4"	"(13Z)-eicosenoic"	0.712017126442685	0.325982753613736	-0.1422
"5"	"(13Z)-octadecenoic"	0.710280214697311	0.328096329850079	-0.1396
"6"	"(13Z,16Z)-docosadienoic"	0.707881757671809	0.326149172798379	-0.1386
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	0.285
"8"	"(1R,2S)-naphthalene"	0.7759191233066	0.474677681227534	-0.1167
"9"	"(1S,2R)-naphthalene"	0	0	0.285
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.723842904826283	0.34179064180328	-0.1438
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.726015756173915	0.353208920451888	-0.1395
"12"	"(5-L-glutamyl)-L-amino"	0.71654502804631	0.343169213026853	-0.1369
"13"	"(6Z,9Z)-octadecadienoic"	0.718433221026253	0.340703416797559	-0.1398
"14"	"(7Z)-octadecenoic"	0.740277786414012	0.392542756666162	-0.1305
"15"	"(7Z)-tetradecenoic"	0.706971393826173	0.318345411556973	-0.142
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.699064664028471	0.296960388253474	-0.1468
"17"	"(9E)-tetradecenoic"	0.717288708090615	0.340702088872506	-0.1388
"18"	"(Glc)3"	0	0	0.285
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	0.285
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.699004991654108	0.292080813326537	-0.1494
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.719280079541573	0.352124070410406	-0.1344
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.285
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.285
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.285
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.285
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.285
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.285
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	0.285
"29"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.285
"30"	"1,1-dichloroethylene"	0	0	0.285
"31"	"1,2-Diacyl-Sn-Glycerol"	0.699064664028471	0.296960388253474	-0.1468
"32"	"1,2-diacylglycerol-LD-PC"	0.718485147128327	0.348265656857756	-0.1358
"33"	"1,2-diacylglycerol-LD-PE"	0	0	0.285
"34"	"1,2-diacylglycerol-LD-PI"	0.649355692860778	0.180550491974181	-0.1671
"35"	"1,2-diacylglycerol-LD-PS"	0	0	0.285
"36"	"1,2-diacylglycerol-LD-SM"	0	0	0.285
"37"	"1,2-diacylglycerol-LD-TAG"	0.710792108083596	0.327104322530264	-0.1406
"38"	"1,2-diacylglycerol-VLDL"	0.709059244376515	0.329792710981022	-0.1377
"39"	"1,2-diacylglycerol-bile-PC"	0	0	0.285
"40"	"1,2-diacylglycerol-chylomicron"	0.710797860252213	0.330071805035191	-0.139
"41"	"1-Acyl"	0.699064664028471	0.296960388253474	-0.1468
"42"	"1-Acylglycerone"	0	0	0.285
"43"	"1-Alkyl-2-Acetyl-Sn-Glycerol"	0.691268019535564	0.274541322655082	-0.1522
"44"	"1-Alkyl-Sn-Glycerol"	0	0	0.285
"45"	"1-Arachidonoyl"	0.699064664028471	0.296960388253474	-0.1468
"46"	"1-Didecanoylglycerophosphoethanolamine"	0.657221688996285	0.198670693297014	-0.164
"47"	"1-Dihomo-Linolenoylglycerophosphocholine"	0.657191906634176	0.198830030744024	-0.1639
"48"	"1-Dihomo-Linolenoylglycerophosphoethanolamine"	0.657221688996285	0.198670693297014	-0.164
"49"	"1-Docosahexenoylglyceroethanolamine"	0.657221688996285	0.198670693297014	-0.164
"50"	"1-Docosahexenoylglycerophosphocholine"	0.657191906634176	0.198830030744024	-0.1639
"51"	"1-Docosapentenoylglycerophosphocholine"	0.657191906634176	0.198830030744024	-0.1639
"52"	"1-Docosatetraenoyglycerophosphoethanolamine"	0.666736973671253	0.221254660295357	-0.16
"53"	"1-Docosatetraenoylglycerophosphocholine"	0.657191906634176	0.198830030744024	-0.1639
"54"	"1-Eicosadienoylglycerophosphocholine"	0.657191906634176	0.198830030744024	-0.1639
"55"	"1-Eicosapentenoylglycerophosphocholine"	0.657191906634176	0.198830030744024	-0.1639
"56"	"1-Eicosatetraenoylglycerophosphocholine"	0.657191906634176	0.198830030744024	-0.1639
"57"	"1-Eicosatrienoylglycerophosphocholine"	0.657191906634176	0.198830030744024	-0.1639
"58"	"1-Eicosatrienoylglycerophosphoethanolamine"	0.657221688996285	0.198670693297014	-0.164
"59"	"1-Eicosenoylglycerophosphocholine"	0.657191906634176	0.198830030744024	-0.1639
"60"	"1-Gamma-Linolenoyl-Cholesterol,"	0.705804661091039	0.311216532337749	-0.1449
"61"	"1-Heptadecanoylglycerophosphoethanolamine"	0.657221688996285	0.198670693297014	-0.164
"62"	"1-Hexadecenoylglycerophosphoethanolamine"	0.657221688996285	0.198670693297014	-0.164
"63"	"1-Lignocericylglycerophosphocholine"	0.657191906634176	0.198830030744024	-0.1639
"64"	"1-Linoleoyl-Cholesterol,"	0.705804661091039	0.311216532337749	-0.1449
"65"	"1-Linoleoylglycerophosphocholine"	0.657191906634176	0.198830030744024	-0.1639
"66"	"1-Linoleoylglycerophosphoethanolamine"	0.657221688996285	0.198670693297014	-0.164
