""	"Sample"	"Pheno_IDH"
"0_1_S1"	"0_1_S1"	"wtIDH"
"0_2_S2"	"0_2_S2"	"wtIDH"
"0_3_S3"	"0_3_S3"	"wtIDH"
"0_4_S4"	"0_4_S4"	"wtIDH"
"0_5_S5"	"0_5_S5"	"wtIDH"
"0_6_S6"	"0_6_S6"	"mIDH2"
"0_7_S7"	"0_7_S7"	"mIDH1_mIDH2"
"0_8_S8"	"0_8_S8"	"wtIDH"
"155_S66"	"155_S66"	"wtIDH"
"156_S67"	"156_S67"	"wtIDH"
"157_S68"	"157_S68"	"NA"
"158_S69"	"158_S69"	"wtIDH"
"159_S70"	"159_S70"	"wtIDH"
"160_S71"	"160_S71"	"wtIDH"
"161_S72"	"161_S72"	"NA"
"162_S73"	"162_S73"	"wtIDH"
"163_S74"	"163_S74"	"wtIDH"
"164_S75"	"164_S75"	"mIDH2"
"165_S76"	"165_S76"	"wtIDH"
"166_S77"	"166_S77"	"wtIDH"
"167_S78"	"167_S78"	"wtIDH"
"168_S79"	"168_S79"	"mIDH2"
"169_S80"	"169_S80"	"wtIDH"
"170_S81"	"170_S81"	"wtIDH"
"171_S82"	"171_S82"	"wtIDH"
"172_S83"	"172_S83"	"wtIDH"
"173_S84"	"173_S84"	"wtIDH"
"174_S85"	"174_S85"	"wtIDH"
"175_S86"	"175_S86"	"wtIDH"
"176_S87"	"176_S87"	"mIDH2"
"177_S88"	"177_S88"	"mIDH1"
"178_S89"	"178_S89"	"mIDH1"
"180_S91"	"180_S91"	"wtIDH"
"181_S92"	"181_S92"	"wtIDH"
"182_S93"	"182_S93"	"mIDH2"
"183_S94"	"183_S94"	"wtIDH"
"184_S95"	"184_S95"	"wtIDH"
"185_S96"	"185_S96"	"wtIDH"
"186_S97"	"186_S97"	"mIDH1"
"187_S98"	"187_S98"	"wtIDH"
"188_S99"	"188_S99"	"mIDH2"
"189_S100"	"189_S100"	"wtIDH"
"190_S101"	"190_S101"	"wtIDH"
"191_S102"	"191_S102"	"wtIDH"
"192_S103"	"192_S103"	"wtIDH"
"193_S104"	"193_S104"	"wtIDH"
"194_S105"	"194_S105"	"wtIDH"
"195_S106"	"195_S106"	"wtIDH"
"196_S107"	"196_S107"	"wtIDH"
"197_S108"	"197_S108"	"wtIDH"
"198_S109"	"198_S109"	"wtIDH"
"199_S110"	"199_S110"	"wtIDH"
"200_S111"	"200_S111"	"wtIDH"
"201_S112"	"201_S112"	"wtIDH"
"202_S113"	"202_S113"	"wtIDH"
"203_S114"	"203_S114"	"wtIDH"
"204_S115"	"204_S115"	"wtIDH"
"205_S116"	"205_S116"	"mIDH2"
"325_S1"	"325_S1"	"wtIDH"
"973_S2"	"973_S2"	"wtIDH"
"IM06_S3"	"IM06_S3"	"wtIDH"
"IM07_S4"	"IM07_S4"	"wtIDH"
"IM08_S5"	"IM08_S5"	"wtIDH"
"IM10_S6"	"IM10_S6"	"wtIDH"
"IM11_S7"	"IM11_S7"	"wtIDH"
"IM13_S8"	"IM13_S8"	"wtIDH"
"IM16_S9"	"IM16_S9"	"wtIDH"
"IM17_S10"	"IM17_S10"	"wtIDH"
"IM19_S11"	"IM19_S11"	"wtIDH"
"IM21_S13"	"IM21_S13"	"wtIDH"
"IM22_S14"	"IM22_S14"	"wtIDH"
"IM23_S15"	"IM23_S15"	"wtIDH"
"IM28_S16"	"IM28_S16"	"wtIDH"
"IM30_S17"	"IM30_S17"	"wtIDH"
"IM31_S18"	"IM31_S18"	"wtIDH"
"IM32_S19"	"IM32_S19"	"wtIDH"
"IM33_S20"	"IM33_S20"	"wtIDH"
"IM35_S21"	"IM35_S21"	"wtIDH"
"IM40_S22"	"IM40_S22"	"wtIDH"
"IM42_S23"	"IM42_S23"	"mIDH1"
"IM48_S24"	"IM48_S24"	"wtIDH"
"IM57_S25"	"IM57_S25"	"wtIDH"
"IM59_S26"	"IM59_S26"	"mIDH1"
"IM69_S27"	"IM69_S27"	"wtIDH"
"IM73_S28"	"IM73_S28"	"wtIDH"
"IM76_S29"	"IM76_S29"	"wtIDH"
"IM90_S30"	"IM90_S30"	"mIDH2"
"Ps10_S31"	"Ps10_S31"	"wtIDH"
"Ps11_S32"	"Ps11_S32"	"wtIDH"
"Ps2_S33"	"Ps2_S33"	"wtIDH"
"Ps4_S34"	"Ps4_S34"	"wtIDH"
"Ps5_S35"	"Ps5_S35"	"wtIDH"
"Ps6_S36"	"Ps6_S36"	"wtIDH"
"Ps7_S37"	"Ps7_S37"	"wtIDH"
"29_S29"	"29_S29"	"wtIDH"
"28_S28"	"28_S28"	"wtIDH"
"34_S34"	"34_S34"	"mIDH1"
"33_S33"	"33_S33"	"mIDH1_mIDH2"
"31_S31"	"31_S31"	"wtIDH"
"30_S30"	"30_S30"	"wtIDH"
"32_S32"	"32_S32"	"wtIDH"
"34cont_S35"	"34cont_S35"	"mIDH1"
