node	layer	module	flow	log_flow	nodeLabel	DNA_methylation_logFC	DNA_methylation_P.Value	GRN_size	GRN_nes	GRN_pval	GRN_pval.fdr	fPPI_IDH2_vs_IDH1_diff	fPPI_IDH2_vs_IDH1_p.val	Metabolism_pvalue	Metabolism_mean.diff
22636	5	96	0.000228136	8.38556861561194	H+[c]	0	1	0	0	1	NA	NA	NA	NA	NA
22637	5	1280	7.41934e-05	9.50883536053418	H+[e]	0	1	0	0	1	NA	NA	NA	NA	NA
31901	5	740	7.01887e-05	9.56432322855032	MAR12372	0	1	0	0	1	NA	NA	NA	0.0490555358	0.0085767153
22669	5	96	6.27104e-05	9.67698325486168	H2O[c]	0	1	0	0	1	NA	NA	NA	NA	NA
18310	5	96	5.09998e-05	9.88368884681626	ATP[c]	0	1	0	0	1	NA	NA	NA	NA	NA
30191	5	740	5.06897e-05	9.88978782382462	MAR07641	0	1	0	0	1	NA	NA	NA	0.0140114977	0.0025047325
31259	5	457	4.87128e-05	9.92956872873489	MAR10379	0	1	0	0	1	NA	NA	NA	0.0452103147	0.0029745685
20437	5	56	4.56813e-05	9.99382153417733	dADP[m]	0	1	0	0	1	NA	NA	NA	NA	NA
20626	5	56	4.51728e-05	10.0050154221738	dGDP[m]	0	1	0	0	1	NA	NA	NA	NA	NA
31975	5	755	4.28644e-05	10.0574689133653	MAR12542	0	1	0	0	1	NA	NA	NA	0.0267700703	0.005363431
20625	5	56	4.03448e-05	10.1180480439199	dGDP[c]	0	1	0	0	1	NA	NA	NA	NA	NA
20925	5	56	4.02478e-05	10.1204552139786	dTDP[m]	0	1	0	0	1	NA	NA	NA	NA	NA
20487	5	56	4.01182e-05	10.1236804612808	dCDP[m]	0	1	0	0	1	NA	NA	NA	NA	NA
17588	5	96	4.0087e-05	10.1244584657387	ADP[c]	0	1	0	0	1	NA	NA	NA	NA	NA
32008	5	96	3.92598e-05	10.1453094633724	MAR12754	0	1	0	0	1	NA	NA	NA	0.0384379932	0.0114183461
25769	5	370	3.87869e-05	10.1574279972105	MAR01581	0	1	0	0	1	NA	NA	NA	0.0118003057	0.0080951872
22640	5	370	3.83668e-05	10.1683180556717	H+[r]	0	1	0	0	1	NA	NA	NA	NA	NA
31936	5	96	3.77693e-05	10.1840139546391	MAR12441	0	1	0	0	1	NA	NA	NA	0.0471933476	0.011463975
31971	5	755	3.75263e-05	10.1904685374739	MAR12538	0	1	0	0	1	NA	NA	NA	0.0267700703	0.005363431
25213	5	358	3.74186e-05	10.1933426509663	MAR00763	0	1	0	0	1	NA	NA	NA	0.0003677855	0.0041235715
28530	5	370	3.69058e-05	10.2071418376977	MAR05427	0	1	0	0	1	NA	NA	NA	0.0311021315	0.016427287
32865	5	96	3.67422e-05	10.2115845997305	NADP+[c]	0	1	0	0	1	NA	NA	NA	NA	NA
32868	5	96	3.67422e-05	10.2115845997305	NADPH[c]	0	1	0	0	1	NA	NA	NA	NA	NA
24729	5	445	3.66974e-05	10.2128046501	MAR00156	0	1	0	0	1	NA	NA	NA	0.040934886	0.0085055556
29311	5	457	3.61673e-05	10.2273551622845	MAR06380	0	1	0	0	1	NA	NA	NA	0.0374080107	0.0275369894
20941	5	56	3.57891e-05	10.2378671801915	dUDP[c]	0	1	0	0	1	NA	NA	NA	NA	NA
20942	5	56	3.57891e-05	10.2378671801915	dUDP[m]	0	1	0	0	1	NA	NA	NA	NA	NA
20924	5	56	3.57618e-05	10.2386302733553	dTDP[c]	0	1	0	0	1	NA	NA	NA	NA	NA
20486	5	56	3.56909e-05	10.2406148036325	dCDP[c]	0	1	0	0	1	NA	NA	NA	NA	NA
20436	5	56	3.56123e-05	10.2428194741616	dADP[c]	0	1	0	0	1	NA	NA	NA	NA	NA
27974	5	96	3.54628e-05	10.2470262982246	MAR04531	0	1	0	0	1	NA	NA	NA	0.0220364184	0.0164924059
