node	layer	module	flow	log_flow	nodeLabel	DNA_methylation_logFC	DNA_methylation_P.Value	GRN_size	GRN_nes	GRN_pval	GRN_pval.fdr	fPPI_IDH2_vs_IDH1_diff	fPPI_IDH2_vs_IDH1_p.val	Metabolism_pvalue	Metabolism_mean.diff
7546	3	173	0	Inf	frag_376219	0	1	0	0	1	NA	NA	NA	NA	NA
7547	3	173	0	Inf	frag_376220	0	1	0	0	1	NA	NA	NA	NA	NA
7548	3	173	0	Inf	frag_376227	0	1	0	0	1	NA	NA	NA	NA	NA
7549	3	173	0	Inf	frag_376228	0	1	0	0	1	NA	NA	NA	NA	NA
7550	3	173	0	Inf	frag_376229	0	1	0	0	1	NA	NA	NA	NA	NA
7551	3	173	0	Inf	frag_376230	0	1	0	0	1	NA	NA	NA	NA	NA
7552	3	173	0	Inf	frag_376231	0	1	0	0	1	NA	NA	NA	NA	NA
7553	3	173	0	Inf	frag_376232	0	1	0	0	1	NA	NA	NA	NA	NA
7554	3	173	0	Inf	frag_376233	0	1	0	0	1	NA	NA	NA	NA	NA
7555	3	173	0	Inf	frag_376234	0	1	0	0	1	NA	NA	NA	NA	NA
7556	3	173	0	Inf	frag_376235	0	1	0	0	1	NA	NA	NA	NA	NA
7557	3	173	0	Inf	frag_376236	0	1	0	0	1	NA	NA	NA	NA	NA
7558	3	173	0	Inf	frag_376237	0	1	0	0	1	NA	NA	NA	NA	NA
7559	3	173	0	Inf	frag_376238	0	1	0	0	1	NA	NA	NA	NA	NA
7560	3	173	0	Inf	frag_376240	0	1	0	0	1	NA	NA	NA	NA	NA
7561	3	173	0	Inf	frag_376242	0	1	0	0	1	NA	NA	NA	NA	NA
7562	3	173	0	Inf	frag_376244	0	1	0	0	1	NA	NA	NA	NA	NA
7563	3	173	0	Inf	frag_376247	0	1	0	0	1	NA	NA	NA	NA	NA
7564	3	173	0	Inf	frag_376248	0	1	0	0	1	NA	NA	NA	NA	NA
7565	3	173	0	Inf	frag_376249	0	1	0	0	1	NA	NA	NA	NA	NA
7566	3	173	0	Inf	frag_376437	0.117748362931233	0.000211421249931416	0	0	1	NA	NA	NA	NA	NA
7567	3	1493	0	Inf	frag_3765	0	1	0	0	1	NA	NA	NA	NA	NA
7568	3	1493	0	Inf	frag_3767	0	1	0	0	1	NA	NA	NA	NA	NA
7569	3	217	0	Inf	frag_376766	0.138573074638287	0.00410205981380948	0	0	1	NA	NA	NA	NA	NA
7570	3	217	0	Inf	frag_376842	0	1	0	0	1	NA	NA	NA	NA	NA
7571	3	1493	0	Inf	frag_3769	0	1	0	0	1	NA	NA	NA	NA	NA
7572	3	217	0	Inf	frag_376938	0	1	0	0	1	NA	NA	NA	NA	NA
7573	3	217	0	Inf	frag_376988	0	1	0	0	1	NA	NA	NA	NA	NA
7574	3	217	0	Inf	frag_376993	0	1	0	0	1	NA	NA	NA	NA	NA
7575	3	217	0	Inf	frag_376994	0	1	0	0	1	NA	NA	NA	NA	NA
7576	3	217	0	Inf	frag_376995	0	1	0	0	1	NA	NA	NA	NA	NA
7577	3	217	0	Inf	frag_376996	0	1	0	0	1	NA	NA	NA	NA	NA
7578	3	217	0	Inf	frag_376997	0	1	0	0	1	NA	NA	NA	NA	NA
7579	3	217	0	Inf	frag_376998	0	1	0	0	1	NA	NA	NA	NA	NA
7580	3	217	0	Inf	frag_376999	0	1	0	0	1	NA	NA	NA	NA	NA
7581	3	217	0	Inf	frag_377000	0	1	0	0	1	NA	NA	NA	NA	NA
7582	3	217	0	Inf	frag_377001	0	1	0	0	1	NA	NA	NA	NA	NA
7583	3	217	0	Inf	frag_377002	0	1	0	0	1	NA	NA	NA	NA	NA
7584	3	217	0	Inf	frag_377003	0	1	0	0	1	NA	NA	NA	NA	NA
7585	3	217	0	Inf	frag_377004	0	1	0	0	1	NA	NA	NA	NA	NA
7586	3	217	0	Inf	frag_377005	0	1	0	0	1	NA	NA	NA	NA	NA
7587	3	217	0	Inf	frag_377006	0	1	0	0	1	NA	NA	NA	NA	NA
7588	3	217	0	Inf	frag_377007	0	1	0	0	1	NA	NA	NA	NA	NA
7589	3	217	0	Inf	frag_377008	0	1	0	0	1	NA	NA	NA	NA	NA
7590	3	217	0	Inf	frag_377009	0	1	0	0	1	NA	NA	NA	NA	NA
7591	3	217	0	Inf	frag_377011	0	1	0	0	1	NA	NA	NA	NA	NA
7592	3	217	0	Inf	frag_377012	0	1	0	0	1	NA	NA	NA	NA	NA
7593	3	217	0	Inf	frag_377013	0	1	0	0	1	NA	NA	NA	NA	NA
7594	3	217	0	Inf	frag_377014	0	1	0	0	1	NA	NA	NA	NA	NA
7595	3	217	0	Inf	frag_377015	0	1	0	0	1	NA	NA	NA	NA	NA
7596	3	217	0	Inf	frag_377016	0	1	0	0	1	NA	NA	NA	NA	NA
7597	3	217	0	Inf	frag_377017	0	1	0	0	1	NA	NA	NA	NA	NA
7598	3	217	0	Inf	frag_377018	0	1	0	0	1	NA	NA	NA	NA	NA
7599	3	217	0	Inf	frag_377019	0	1	0	0	1	NA	NA	NA	NA	NA
7600	3	217	0	Inf	frag_377020	0	1	0	0	1	NA	NA	NA	NA	NA
7601	3	217	0	Inf	frag_377021	0	1	0	0	1	NA	NA	NA	NA	NA
7602	3	217	0	Inf	frag_377022	0	1	0	0	1	NA	NA	NA	NA	NA
7603	3	217	0	Inf	frag_377024	0	1	0	0	1	NA	NA	NA	NA	NA
7604	3	217	0	Inf	frag_377025	0	1	0	0	1	NA	NA	NA	NA	NA
7605	3	217	0	Inf	frag_377026	0	1	0	0	1	NA	NA	NA	NA	NA
7606	3	217	0	Inf	frag_377027	0	1	0	0	1	NA	NA	NA	NA	NA
7607	3	217	0	Inf	frag_377028	0	1	0	0	1	NA	NA	NA	NA	NA
7608	3	217	0	Inf	frag_377029	0	1	0	0	1	NA	NA	NA	NA	NA
7609	3	217	0	Inf	frag_377030	0	1	0	0	1	NA	NA	NA	NA	NA
7610	3	217	0	Inf	frag_377031	0	1	0	0	1	NA	NA	NA	NA	NA
7611	3	217	0	Inf	frag_377032	0	1	0	0	1	NA	NA	NA	NA	NA
7612	3	217	0	Inf	frag_377033	0	1	0	0	1	NA	NA	NA	NA	NA
7613	3	217	0	Inf	frag_377034	0	1	0	0	1	NA	NA	NA	NA	NA
7614	3	217	0	Inf	frag_377035	0	1	0	0	1	NA	NA	NA	NA	NA
7615	3	217	0	Inf	frag_377036	0	1	0	0	1	NA	NA	NA	NA	NA
7616	3	1527	0	Inf	frag_377371	-0.129045511781696	0.037696158310339	0	0	1	NA	NA	NA	NA	NA
7617	3	1527	0	Inf	frag_377671	0.1136756202946	0.018749277783931	0	0	1	NA	NA	NA	NA	NA
7618	3	2341	0	Inf	frag_377696	0	1	0	0	1	NA	NA	NA	NA	NA
7619	3	63	0	Inf	frag_377731	0	1	0	0	1	NA	NA	NA	NA	NA
7620	3	63	0	Inf	frag_377739	0	1	0	0	1	NA	NA	NA	NA	NA
7621	3	63	0	Inf	frag_377741	0	1	0	0	1	NA	NA	NA	NA	NA
7622	3	2341	0	Inf	frag_377786	0.115200363110662	0.0457501097038795	0	0	1	NA	NA	NA	NA	NA
7623	3	2342	0	Inf	frag_377933	0.109350796583762	0.0308095292762461	0	0	1	NA	NA	NA	NA	NA
7624	3	181	0	Inf	frag_37805	0	1	0	0	1	NA	NA	NA	NA	NA
7625	3	181	0	Inf	frag_37807	0	1	0	0	1	NA	NA	NA	NA	NA
7626	3	181	0	Inf	frag_37810	0	1	0	0	1	NA	NA	NA	NA	NA
7627	3	181	0	Inf	frag_37812	0	1	0	0	1	NA	NA	NA	NA	NA
7628	3	181	0	Inf	frag_37814	0	1	0	0	1	NA	NA	NA	NA	NA
7629	3	181	0	Inf	frag_37815	0	1	0	0	1	NA	NA	NA	NA	NA
7630	3	181	0	Inf	frag_37817	0	1	0	0	1	NA	NA	NA	NA	NA
7631	3	181	0	Inf	frag_37818	0	1	0	0	1	NA	NA	NA	NA	NA
7632	3	181	0	Inf	frag_37819	0	1	0	0	1	NA	NA	NA	NA	NA
7633	3	181	0	Inf	frag_37821	0	1	0	0	1	NA	NA	NA	NA	NA
7634	3	181	0	Inf	frag_37822	0	1	0	0	1	NA	NA	NA	NA	NA
7635	3	181	0	Inf	frag_37824	0	1	0	0	1	NA	NA	NA	NA	NA
7636	3	181	0	Inf	frag_37825	0	1	0	0	1	NA	NA	NA	NA	NA
7637	3	181	0	Inf	frag_37826	0	1	0	0	1	NA	NA	NA	NA	NA
7638	3	181	0	Inf	frag_37827	0	1	0	0	1	NA	NA	NA	NA	NA
7639	3	181	0	Inf	frag_37828	0	1	0	0	1	NA	NA	NA	NA	NA
7640	3	181	0	Inf	frag_37829	0	1	0	0	1	NA	NA	NA	NA	NA
7641	3	181	0	Inf	frag_37832	0	1	0	0	1	NA	NA	NA	NA	NA
7642	3	181	0	Inf	frag_37834	0	1	0	0	1	NA	NA	NA	NA	NA
7643	3	181	0	Inf	frag_37846	0	1	0	0	1	NA	NA	NA	NA	NA
7644	3	181	0	Inf	frag_37848	0	1	0	0	1	NA	NA	NA	NA	NA
7645	3	181	0	Inf	frag_37849	0	1	0	0	1	NA	NA	NA	NA	NA
7646	3	181	0	Inf	frag_37850	0	1	0	0	1	NA	NA	NA	NA	NA
7647	3	181	0	Inf	frag_37851	0	1	0	0	1	NA	NA	NA	NA	NA
7648	3	181	0	Inf	frag_37856	0	1	0	0	1	NA	NA	NA	NA	NA
7649	3	2066	0	Inf	frag_378639	0.118325320513164	0.0289374610299427	0	0	1	NA	NA	NA	NA	NA
7650	3	2066	0	Inf	frag_378650	0.144689442010587	0.0321490487210049	0	0	1	NA	NA	NA	NA	NA
7651	3	181	0	Inf	frag_37876	0	1	0	0	1	NA	NA	NA	NA	NA
7652	3	181	0	Inf	frag_37877	0	1	0	0	1	NA	NA	NA	NA	NA
7653	3	2066	0	Inf	frag_378888	0	1	0	0	1	NA	NA	NA	NA	NA
7654	3	1756	0	Inf	frag_37897	0.136040828326516	0.0208339853998678	0	0	1	NA	NA	NA	NA	NA
7655	3	243	0	Inf	frag_37910	0	1	0	0	1	NA	NA	NA	NA	NA
7656	3	243	0	Inf	frag_37953	0	1	0	0	1	NA	NA	NA	NA	NA
7657	3	2343	0	Inf	frag_379627	0	1	0	0	1	NA	NA	NA	NA	NA
7658	3	243	0	Inf	frag_37969	0	1	0	0	1	NA	NA	NA	NA	NA
7659	3	243	0	Inf	frag_37970	0	1	0	0	1	NA	NA	NA	NA	NA
7660	3	243	0	Inf	frag_37973	0	1	0	0	1	NA	NA	NA	NA	NA
7661	3	243	0	Inf	frag_37975	0	1	0	0	1	NA	NA	NA	NA	NA
7662	3	2343	0	Inf	frag_379759	-0.13505064502117	0.00242968772483707	0	0	1	NA	NA	NA	NA	NA
7663	3	243	0	Inf	frag_37976	0	1	0	0	1	NA	NA	NA	NA	NA
7664	3	243	0	Inf	frag_37977	0	1	0	0	1	NA	NA	NA	NA	NA
7665	3	243	0	Inf	frag_37978	0	1	0	0	1	NA	NA	NA	NA	NA
7666	3	243	0	Inf	frag_37979	0.133009352343763	0.0370693575923838	0	0	1	NA	NA	NA	NA	NA
7667	3	243	0	Inf	frag_37980	0	1	0	0	1	NA	NA	NA	NA	NA
7668	3	243	0	Inf	frag_37981	0	1	0	0	1	NA	NA	NA	NA	NA
7669	3	243	0	Inf	frag_37983	0	1	0	0	1	NA	NA	NA	NA	NA
7670	3	243	0	Inf	frag_37987	0	1	0	0	1	NA	NA	NA	NA	NA
7671	3	243	0	Inf	frag_37992	0	1	0	0	1	NA	NA	NA	NA	NA
7672	3	243	0	Inf	frag_38001	0	1	0	0	1	NA	NA	NA	NA	NA
7673	3	243	0	Inf	frag_38008	0	1	0	0	1	NA	NA	NA	NA	NA
7674	3	2067	0	Inf	frag_380114	0	1	0	0	1	NA	NA	NA	NA	NA
7675	3	2067	0	Inf	frag_380116	0	1	0	0	1	NA	NA	NA	NA	NA
7676	3	2067	0	Inf	frag_380149	0.113718144934299	0.0144617088622123	0	0	1	NA	NA	NA	NA	NA
7677	3	243	0	Inf	frag_38015	0	1	0	0	1	NA	NA	NA	NA	NA
7678	3	243	0	Inf	frag_38035	0	1	0	0	1	NA	NA	NA	NA	NA
7679	3	243	0	Inf	frag_38047	0	1	0	0	1	NA	NA	NA	NA	NA
7680	3	243	0	Inf	frag_38053	0	1	0	0	1	NA	NA	NA	NA	NA
7681	3	243	0	Inf	frag_38054	0	1	0	0	1	NA	NA	NA	NA	NA
7682	3	243	0	Inf	frag_38064	0	1	0	0	1	NA	NA	NA	NA	NA
7683	3	243	0	Inf	frag_38065	0	1	0	0	1	NA	NA	NA	NA	NA
7684	3	243	0	Inf	frag_38066	0	1	0	0	1	NA	NA	NA	NA	NA
7685	3	2068	0	Inf	frag_380666	0	1	0	0	1	NA	NA	NA	NA	NA
7686	3	243	0	Inf	frag_38068	0	1	0	0	1	NA	NA	NA	NA	NA
7687	3	2068	0	Inf	frag_380688	0	1	0	0	1	NA	NA	NA	NA	NA
7688	3	243	0	Inf	frag_38069	0	1	0	0	1	NA	NA	NA	NA	NA
7689	3	243	0	Inf	frag_38106	0.150960397187185	0.0241280959547903	0	0	1	NA	NA	NA	NA	NA
7690	3	2068	0	Inf	frag_381078	0.117888186899679	0.0331117685104365	0	0	1	NA	NA	NA	NA	NA
7691	3	243	0	Inf	frag_38122	0	1	0	0	1	NA	NA	NA	NA	NA
7692	3	243	0	Inf	frag_38127	0	1	0	0	1	NA	NA	NA	NA	NA
7693	3	243	0	Inf	frag_38135	0	1	0	0	1	NA	NA	NA	NA	NA
7694	3	243	0	Inf	frag_38144	0	1	0	0	1	NA	NA	NA	NA	NA
7695	3	243	0	Inf	frag_38150	0	1	0	0	1	NA	NA	NA	NA	NA
7696	3	243	0	Inf	frag_38154	0	1	0	0	1	NA	NA	NA	NA	NA
7697	3	243	0	Inf	frag_38155	0	1	0	0	1	NA	NA	NA	NA	NA
7698	3	603	0	Inf	frag_38162	0	1	0	0	1	NA	NA	NA	NA	NA
7699	3	603	0	Inf	frag_38166	0	1	0	0	1	NA	NA	NA	NA	NA
7700	3	603	0	Inf	frag_38172	0	1	0	0	1	NA	NA	NA	NA	NA
7701	3	603	0	Inf	frag_38173	0	1	0	0	1	NA	NA	NA	NA	NA
7702	3	603	0	Inf	frag_38174	0	1	0	0	1	NA	NA	NA	NA	NA
7703	3	243	0	Inf	frag_38176	0	1	0	0	1	NA	NA	NA	NA	NA
7704	3	603	0	Inf	frag_38177	0	1	0	0	1	NA	NA	NA	NA	NA
7705	3	603	0	Inf	frag_38183	0	1	0	0	1	NA	NA	NA	NA	NA
7706	3	243	0	Inf	frag_38184	0	1	0	0	1	NA	NA	NA	NA	NA
7707	3	191	0	Inf	frag_381842	0	1	0	0	1	NA	NA	NA	NA	NA
7708	3	191	0	Inf	frag_381862	0	1	0	0	1	NA	NA	NA	NA	NA
7709	3	191	0	Inf	frag_381863	0	1	0	0	1	NA	NA	NA	NA	NA
7710	3	191	0	Inf	frag_381864	0	1	0	0	1	NA	NA	NA	NA	NA
7711	3	191	0	Inf	frag_381865	0	1	0	0	1	NA	NA	NA	NA	NA
7712	3	191	0	Inf	frag_381869	0	1	0	0	1	NA	NA	NA	NA	NA
7713	3	191	0	Inf	frag_381871	0	1	0	0	1	NA	NA	NA	NA	NA
7714	3	191	0	Inf	frag_381879	0	1	0	0	1	NA	NA	NA	NA	NA
7715	3	191	0	Inf	frag_381880	0	1	0	0	1	NA	NA	NA	NA	NA
7716	3	191	0	Inf	frag_381881	0	1	0	0	1	NA	NA	NA	NA	NA
7717	3	191	0	Inf	frag_381882	0	1	0	0	1	NA	NA	NA	NA	NA
7718	3	191	0	Inf	frag_381883	0	1	0	0	1	NA	NA	NA	NA	NA
7719	3	191	0	Inf	frag_381884	0	1	0	0	1	NA	NA	NA	NA	NA
7720	3	191	0	Inf	frag_381885	0	1	0	0	1	NA	NA	NA	NA	NA
7721	3	191	0	Inf	frag_381886	0	1	0	0	1	NA	NA	NA	NA	NA
7722	3	191	0	Inf	frag_381889	0	1	0	0	1	NA	NA	NA	NA	NA
7723	3	603	0	Inf	frag_38189	0	1	0	0	1	NA	NA	NA	NA	NA
7724	3	191	0	Inf	frag_381890	0	1	0	0	1	NA	NA	NA	NA	NA
7725	3	191	0	Inf	frag_381891	0	1	0	0	1	NA	NA	NA	NA	NA
7726	3	191	0	Inf	frag_381892	0	1	0	0	1	NA	NA	NA	NA	NA
7727	3	191	0	Inf	frag_381893	0	1	0	0	1	NA	NA	NA	NA	NA
7728	3	191	0	Inf	frag_381894	0	1	0	0	1	NA	NA	NA	NA	NA
7729	3	191	0	Inf	frag_381895	0	1	0	0	1	NA	NA	NA	NA	NA
7730	3	191	0	Inf	frag_381896	0	1	0	0	1	NA	NA	NA	NA	NA
7731	3	191	0	Inf	frag_381898	0	1	0	0	1	NA	NA	NA	NA	NA
7732	3	191	0	Inf	frag_381899	0	1	0	0	1	NA	NA	NA	NA	NA
7733	3	603	0	Inf	frag_38190	0	1	0	0	1	NA	NA	NA	NA	NA
7734	3	191	0	Inf	frag_381900	0	1	0	0	1	NA	NA	NA	NA	NA
7735	3	191	0	Inf	frag_381902	0	1	0	0	1	NA	NA	NA	NA	NA
7736	3	191	0	Inf	frag_381903	0	1	0	0	1	NA	NA	NA	NA	NA
7737	3	191	0	Inf	frag_381905	0	1	0	0	1	NA	NA	NA	NA	NA
7738	3	191	0	Inf	frag_381907	0	1	0	0	1	NA	NA	NA	NA	NA
7739	3	191	0	Inf	frag_381908	0	1	0	0	1	NA	NA	NA	NA	NA
7740	3	603	0	Inf	frag_38191	0	1	0	0	1	NA	NA	NA	NA	NA
