"name"	"NR"	"R"	"distance"
"1"	"(10Z)-heptadecenoic"	0.215608249526212	0.231463465392788	0.0198
"2"	"(11Z,14Z)-eicosadienoic"	0.221362999574271	0.231228636263749	0.0155
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.221468197799667	0.230656861120273	0.015
"4"	"(13Z)-eicosenoic"	0.228740175385947	0.237141463785002	0.0144
"5"	"(13Z)-octadecenoic"	0.225185813655047	0.236271547912314	0.0164
"6"	"(13Z,16Z)-docosadienoic"	0.219026540860037	0.231667343859414	0.0175
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	0.0096
"8"	"(1R,2S)-naphthalene"	0.398894411821486	0.403227149948536	0.0108
"9"	"(1S,2R)-naphthalene"	0	0	0.0096
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.258315204472858	0.261533012950723	0.0107
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.272430047812667	0.274834334683754	0.01
"12"	"(5-L-glutamyl)-L-amino"	0.236041807253312	0.242969534255173	0.0134
"13"	"(6Z,9Z)-octadecadienoic"	0.246379132398105	0.252940595468421	0.0131
"14"	"(7Z)-octadecenoic"	0.304793121395239	0.314739677031575	0.0152
"15"	"(7Z)-tetradecenoic"	0.216404479348626	0.232117925825165	0.0197
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.196287288743433	0.192429278085408	0.0059
"17"	"(9E)-tetradecenoic"	0.243190621406051	0.252940595468421	0.0153
"18"	"(Glc)3"	0	0	0.0096
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	0.0096
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.204563919825777	0.211932612611683	0.0138
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.249757342920521	0.256770204767281	0.0134
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0096
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0096
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0096
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0096
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0096
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0096
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	0.0096
"29"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0096
"30"	"1,1-dichloroethylene"	0	0	0.0096
"31"	"1,2-Diacyl-Sn-Glycerol"	0.196287288743433	0.192429278085408	0.0059
"32"	"1,2-diacylglycerol-LD-PC"	0.247811356702073	0.255884902154603	0.0141
"33"	"1,2-diacylglycerol-LD-PE"	0	0	0.0096
"34"	"1,2-diacylglycerol-LD-PI"	0.0636505465187923	0.0623999206848351	0.0084
"35"	"1,2-diacylglycerol-LD-PS"	0	0	0.0096
"36"	"1,2-diacylglycerol-LD-SM"	0	0	0.0096
"37"	"1,2-diacylglycerol-LD-TAG"	0.225711930000046	0.23491861291832	0.015
"38"	"1,2-diacylglycerol-VLDL"	0.222037041555082	0.226844167247007	0.0119
"39"	"1,2-diacylglycerol-bile-PC"	0	0	0.0096
"40"	"1,2-diacylglycerol-chylomicron"	0.226124874466348	0.233224810787387	0.0135
"41"	"1-Acyl"	0.196287288743433	0.192429278085408	0.0059
"42"	"1-Acylglycerone"	0	0	0.0096
"43"	"1-Alkyl-2-Acetyl-Sn-Glycerol"	0.171124296025082	0.176643014781687	0.0127
"44"	"1-Alkyl-Sn-Glycerol"	0	0	0.0096
"45"	"1-Arachidonoyl"	0.196287288743433	0.192429278085408	0.0059
"46"	"1-Didecanoylglycerophosphoethanolamine"	0.0848619594891833	0.0802698185165949	0.0059
"47"	"1-Dihomo-Linolenoylglycerophosphocholine"	0.0847592132444172	0.0802066609552542	0.006
"48"	"1-Dihomo-Linolenoylglycerophosphoethanolamine"	0.0848619594891833	0.0802698185165949	0.0059
"49"	"1-Docosahexenoylglyceroethanolamine"	0.0848619594891833	0.0802698185165949	0.0059
"50"	"1-Docosahexenoylglycerophosphocholine"	0.0847592132444172	0.0802066609552542	0.006
"51"	"1-Docosapentenoylglycerophosphocholine"	0.0847592132444172	0.0802066609552542	0.006
"52"	"1-Docosatetraenoyglycerophosphoethanolamine"	0.110028470011159	0.107865869523132	0.0075
"53"	"1-Docosatetraenoylglycerophosphocholine"	0.0847592132444172	0.0802066609552542	0.006
"54"	"1-Eicosadienoylglycerophosphocholine"	0.0847592132444172	0.0802066609552542	0.006
"55"	"1-Eicosapentenoylglycerophosphocholine"	0.0847592132444172	0.0802066609552542	0.006
"56"	"1-Eicosatetraenoylglycerophosphocholine"	0.0847592132444172	0.0802066609552542	0.006
"57"	"1-Eicosatrienoylglycerophosphocholine"	0.0847592132444172	0.0802066609552542	0.006
"58"	"1-Eicosatrienoylglycerophosphoethanolamine"	0.0848619594891833	0.0802698185165949	0.0059
"59"	"1-Eicosenoylglycerophosphocholine"	0.0847592132444172	0.0802066609552542	0.006
"60"	"1-Gamma-Linolenoyl-Cholesterol,"	0.212610035493036	0.216770678805691	0.0115
"61"	"1-Heptadecanoylglycerophosphoethanolamine"	0.0848619594891833	0.0802698185165949	0.0059
"62"	"1-Hexadecenoylglycerophosphoethanolamine"	0.0848619594891833	0.0802698185165949	0.0059
"63"	"1-Lignocericylglycerophosphocholine"	0.0847592132444172	0.0802066609552542	0.006
