"name"	"Cluster_NR"	"mIDH1"	"distance"
"1"	"16-5-5"	0.270139464173939	0.265382361130584	-0.0089
"2"	"A1BG"	0.410174373316779	0.352067317693266	-0.0473
"3"	"A1CF"	0.554122025663448	0.555986136797979	-0.0059
"4"	"A2M"	0.531045502165597	0.52191818435239	-0.0135
"5"	"A2ML1"	0.479181151971695	0.458502078752674	-0.0214
"6"	"A2ML1-AS1"	0.27269802049195	0.262491937701018	-0.0128
"7"	"A2ML1-AS2"	0.291093265705476	0.279718244596574	-0.0137
"8"	"A3GALT2"	0.254432694462307	0.244271661439034	-0.0126
"9"	"A4GALT"	0.609908202543883	0.623479124397531	0.002
"10"	"A4GNT"	0.598404697602664	0.61512419995641	0.0043
"11"	"AAA1"	0.403550869684318	0.496009256888986	0.0587
"12"	"AAAS"	0.650755099331279	0.628594778429224	-0.0234
"13"	"AACS"	0.645038962897971	0.645109519581675	-0.0077
"14"	"AADAC"	0.623279694413186	0.6076789659099	-0.0186
"15"	"AADACL2"	0.401848696157349	0.451837242368511	0.0289
"16"	"AADACL3"	0.45025150674152	0.504656346758867	0.0317
"17"	"AADACL4"	0.379558955488885	0.364272753895173	-0.017
"18"	"AADAT"	0.611505402131526	0.570819217210187	-0.0362
"19"	"AAG1"	0.56153584732019	0.546491626140173	-0.0179
"20"	"AAGAB"	0.458497633058483	0.478717106439929	0.0076
"21"	"AAK1"	0.740755488623442	0.719454127560869	-0.0233
"22"	"AAMDC"	0.26309878624229	0.254792870800279	-0.0114
"23"	"AAMP"	0.441271986157688	0.415960018592683	-0.0244
"24"	"AANAT"	0.655761799159569	0.633129657051313	-0.0238
"25"	"AAR2"	0.328324725873321	0.3189922597881	-0.0125
"26"	"AARS"	0.493564503499259	0.488508259559285	-0.0104
"27"	"AARS1"	0.445293101697028	0.448840526439438	-0.0041
"28"	"AARS2"	0.556335647909386	0.476344593151707	-0.0636
"29"	"AARSD1"	0.602669592384175	0.596277296105346	-0.012
"30"	"AASDH"	0.648165968909476	0.66044386743178	9e-04
"31"	"AASDHPPT"	0.562553603426921	0.588321400485367	0.0109
"32"	"AASS"	0.653887772206972	0.656729835971537	-0.0058
"33"	"AATF"	0.602754084599602	0.596797867200011	-0.0117
"34"	"AATK"	0.555856575055712	0.532149889364507	-0.0239
"35"	"AB019440.1"	0.282888021960566	0.272240770053462	-0.0132
"36"	"AB019440.50"	0.282888021960566	0.272240770053462	-0.0132
"37"	"ABAT"	0.578593906284493	0.540859611967243	-0.034
"38"	"ABCA1"	0.860135972011654	0.857932206453565	-0.0106
"39"	"ABCA10"	0.497258898702666	0.468602134733925	-0.0271
"40"	"ABCA11P"	0.515473732836093	0.446592927914166	-0.0555
"41"	"ABCA12"	0.425638276337812	0.373743800014115	-0.043
"42"	"ABCA13"	0.485187736120224	0.464212893614646	-0.0216
"43"	"ABCA17P"	0.459164880190143	0.435661786372842	-0.0232
"44"	"ABCA2"	0.696832890122743	0.646963766084619	-0.0432
"45"	"ABCA3"	0.589455771158564	0.609741341741601	0.0068
"46"	"ABCA4"	0.577992926743837	0.566508188906258	-0.0155
"47"	"ABCA5"	0.524657608221816	0.44394068578404	-0.0639
"48"	"ABCA6"	0.446276747464773	0.449134515139486	-0.0046
"49"	"ABCA7"	0.568839449602109	0.572529864406413	-0.0047
"50"	"ABCA8"	0.652670570435615	0.649506058095509	-0.01
"51"	"ABCA9"	0.426894621179103	0.359588961759751	-0.0539
"52"	"ABCA9-AS1"	0.297117234609091	0.276762395359164	-0.0201
"53"	"ABCB1"	0.826020725875787	0.821882263538399	-0.0117
"54"	"ABCB10"	0.48695109327264	0.438003492368509	-0.0413
"55"	"ABCB11"	0.801922722223573	0.796303858435212	-0.0126
"56"	"ABCB4"	0.739234808294566	0.731452717683481	-0.0138
"57"	"ABCB5"	0.37917339910652	0.400557625123661	0.0088
"58"	"ABCB6"	0.552929656936287	0.58614586992807	0.0162
"59"	"ABCB7"	0.466545160008654	0.499448117670741	0.0164
"60"	"ABCB8"	0.455883989253072	0.386673969658423	-0.0554
"61"	"ABCB9"	0.461019056462941	0.489105754296572	0.0131
