TF	nes_K_Ara	pval_K_Ara	nes_K_Dor	pval_K_Dor	nes_BEAT_Ara	pval_BEAT_Ara	nes_BEAT_Dor	pval_BEAT_Dor	nes_TC_Ara	pval_TC_Ara	nes_TC_Dor	pval_TC_Dor	nes_TUH_Ara	pval_TUH_Ara	nes_TUH_Dor	pval_TUH_Dor	nes_Ver_Ara	pval_Ver_Ara	nes_Ver_Dor	pval_Ver_Dor	combine_nes_koichi	fisher_pval_Koichi	combine_nes_beataml	fisher_pval_beataml	combine_nes_TCGA	fisher_pval_TCGA	combine_nes_Metaml	fisher_pval_Metaml	combine_nes_Verhaak	fisher_pval_Verhaak	combine_nes	fisher_pval
ZNF274	-1.18073895113399	0.237706442779711	-2.30857103813534	0.0209673966184736	0	1	0	1	0	1	2.90436149671977	0.00368002985807841	2.39217917478216	0.0167486637514885	2.4270983275992	0.0152201301798436	2.84330422070216	0.00446484305307821	2.482740069499	0.0130376183561564	-1.74465499463467	0.0314072401586128	0	1	2.90436149671977	0.00368002985807841	2.40963875119068	0.00236424491013492	2.66302214510058	0.000625851071075425	1.36576761429042	2.76870221025706e-07
ERG	-0.79201791704974	0.428350229155189	-1.7554303949598	0.0791857168294163	0	1	0	1	1.62486686816741	0.104190929168806	1.48048238827828	0.138744557361928	2.89234722866562	0.00382375092360502	1.69623913638079	0.0898406015821051	2.71764408542634	0.00657485212143916	1.43833875406517	0.150337961050093	-1.27372415600477	0.148694176371999	0	1	1.55267462822284	0.0757006301024569	2.29429318252321	0.00308359110395596	2.07799141974575	0.00782790279208305	1.16280876862176	0.000137229339425394
TCF4	-0.554959080805277	0.578922649310104	-1.30586128389527	0.191599734768656	0	1	0	1	0	1	0.81050090304518	0.417652346238744	0.370592361218522	0.710941172436304	2.96874371625407	0.00299019873283535	2.61682410424913	0.00887520629084183	3.2571945476211	0.00112519285805793	-0.930410182350274	0.354830232597871	0	1	0.81050090304518	0.417652346238744	1.6696680387363	0.0152074787896621	2.93700932593512	0.000124971733870659	1.16614789538392	0.000149439758959544
HOXA10	0.971744040348656	0.331177901316713	-2.64700382496962	0.00812084344628718	0	1	0	1	3.04146719549531	0.0023542821764571	1.70866670852224	0.0875127041959263	-0.477443311576409	0.633046478823184	0.455817673762375	0.648521093872159	-3.2293973527508	0.00124051404453814	-0.32366812027396	0.746189308997062	-0.837629892310482	0.0186067046509407	0	1	2.37506695200878	0.0019547039134924	-0.010812818907017	0.776039893021122	-1.77653273651238	0.00739138664570849	-0.062477123930276	0.000161933529016205
SMAD1	-0.592283543672318	0.553660733728014	-0.937170833567364	0.34867069007594	0	1	0	1	0	1	1.87105484591559	0.0613374793742156	1.79570579676577	0.0725413194844439	1.50872405450386	0.131369315714948	3.03908406589878	0.0023729862717988	2.77371586931782	0.00554200580877563	-0.764727188619841	0.510572029332077	0	1	1.87105484591559	0.0613374793742156	1.65221492563481	0.053874669946202	2.9063999676083	0.000160956422274897	1.35126146502316	0.000201362949940549
KLF6	1.67481887673376	0.0939697740371414	2.96671148072359	0.00301003274309633	0	1	0.651982281894224	0.514412602489147	0	1	1.11342243780109	0.265527042781109	-2.66141412552459	0.00778131869404243	-1.4413085120417	0.149497543599288	-1.74106358251204	0.0816724339647048	-1.6755515651777	0.0938260627272791	2.32076517872868	0.00259391959794597	0.651982281894224	0.514412602489147	1.11342243780109	0.265527042781109	-2.05136131878314	0.00902304916414659	-1.70830757384487	0.0449921824706058	-0.139050338512921	0.000228544002456966
ZBTB8A	1.18763272302614	0.234978139858649	0	1	0	1	0	1	0	1	0	1	2.87318252221523	0.00406359271756394	0	1	2.97201415830954	0.00295853040504196	0	1	1.18763272302614	0.234978139858649	0	1	0	1	2.87318252221523	0.00406359271756394	2.97201415830954	0.00295853040504196	2.3442764678503	0.00026951063939176
TERF2	-2.05093504519005	0.0402732727358829	-3.19074402851181	0.00141906944389991	0	1	0	1	-1.13214064589268	0.257575308911638	-1.86738129564818	0.0618483599215812	1.44540470388623	0.148344242928934	1.83558554381177	0.0664189767954465	0.798888310693934	0.424355177534454	1.56340270740318	0.117957903754843	-2.62083953685093	0.000615501427318144	0	1	-1.49976097077043	0.0818755767220982	1.640495123849	0.0553730685301056	1.18114550904856	0.199954484650918	-0.324739968680951	0.000274848522447648
ZNF567	-1.42738430112365	0.153469153383048	0	1	0	1	0	1	0	1	0	1	2.88428479891573	0.00392303786777467	0	1	2.80735683137439	0.00499498775761487	0	1	-1.42738430112365	0.153469153383048	0	1	0	1	2.88428479891573	0.00392303786777467	2.80735683137439	0.00499498775761487	1.42141910972216	0.000284320822150123
ZNF91	0.598352236619608	0.549604928625667	0	1	0	1	0	1	0	1	0	1	2.41816179649917	0.0155991389759628	0	1	3.52892138737188	0.000417257060223871	0	1	0.598352236619608	0.549604928625667	0	1	0	1	2.41816179649917	0.0155991389759628	3.52892138737188	0.000417257060223871	2.18181180683022	0.000329748145108413
HOXB7	0.175414815557971	0.860753699943679	0.53885685621117	0.589985628747197	0	1	0	1	0	1	0.204678049378641	0.83782367138702	-2.85841569825157	0.00425762222140718	-2.05106648852946	0.0402604722586173	-2.57157649777584	0.010123664691374	-2.82158503674625	0.0047786966382136	0.35713583588457	0.851941508560542	0	1	0.204678049378641	0.83782367138702	-2.45474109339052	0.00165781728013896	-2.69658076726104	0.000529083551983377	-1.34052771430791	0.000374603442833563
ZNF671	-1.71109074116694	0.0870643631052352	0	1	0	1	0	1	0	1	0	1	2.60673175959223	0.00914109393542074	0	1	2.66408672160043	0.0077197658448125	0	1	-1.71109074116694	0.0870643631052352	0	1	0	1	2.60673175959223	0.00914109393542074	2.66408672160043	0.0077197658448125	1.18657591334191	0.000522234122715104
CBX2	-1.69140516730691	0.0907594460704438	-1.92698338406873	0.0539817007086948	0	1	0	1	0.652968314363952	0.513776705933615	0.853217474595306	0.393538714557377	0.324491282515249	0.74556612107683	0.106914460133704	0.914856841418518	3.38961274060528	0.000699914219306229	2.96796626944121	0.00299777225619299	-1.80919427568782	0.0309572873144556	0	1	0.753092894479629	0.525401942376996	0.215702871324476	0.943051884597771	3.17878950502324	2.95307538794206e-05	0.584597748784883	0.000604763753245144
ZNF503	-1.34269757729265	0.179369919516825	0	1	0	1	0	1	0	1	0	1	-1.94274579555796	0.05204688003759	0	1	-3.34285048083737	0.000829225665897264	0	1	-1.34269757729265	0.179369919516825	0	1	0	1	-1.94274579555796	0.05204688003759	-3.34285048083737	0.000829225665897264	-2.20943128456266	0.000634967969095373
ZNF829	-1.45649999636765	0.145254450625143	0	1	0	1	0	1	-1.87511834325381	0.0607764445533308	0	1	2.82842220052776	0.00467780694292178	0	1	2.1773731006382	0.0294527410122333	0	1	-1.45649999636765	0.145254450625143	0	1	-1.87511834325381	0.0607764445533308	2.82842220052776	0.00467780694292178	2.1773731006382	0.0294527410122333	0.418544240386125	0.000642725701140087
ZNF667	-1.98275056773547	0.0473952980902912	0	1	0	1	0	1	0	1	0	1	2.11677729161196	0.0342787534869377	0	1	2.8095789805376	0.00496063459196244	0	1	-1.98275056773547	0.0473952980902912	0	1	0	1	2.11677729161196	0.0342787534869377	2.8095789805376	0.00496063459196244	0.981201901471363	0.000656911344566362
BCL6	-1.29257689559147	0.196157434805745	-0.819921424946376	0.412260902108974	0	1	0	1	-0.248390135406899	0.803832565279352	-0.0948994688606409	0.924394678404505	-2.29391201872914	0.0217955529202331	-2.26342869598639	0.0236092754739782	-2.18453657268136	0.0289228429014572	-3.03986097149129	0.00236687380086842	-1.05624916026892	0.284246035230479	0	1	-0.17164480213377	0.963732400284536	-2.27867035735777	0.00441104074425986	-2.61219877208632	0.00072490934152806	-1.5296907729617	0.000792640259026925
ZNF107	-2.09753266790339	0.0359464484494753	0	1	0	1	0	1	0.298038178788412	0.765674024519647	0	1	3.34940506681331	0.000809853029149946	0	1	1.73731797705208	0.0823310601322114	0	1	-2.09753266790339	0.0359464484494753	0	1	0.298038178788412	0.765674024519647	3.34940506681331	0.000809853029149946	1.73731797705208	0.0823310601322114	0.821807138687603	0.000890958818921039
ZNF84	-1.70394020380744	0.0883922590499007	0	1	0	1	0	1	0	1	0	1	2.64034381849852	0.0082821956882172	0	1	2.36629023428237	0.0179673528579916	0	1	-1.70394020380744	0.0883922590499007	0	1	0	1	2.64034381849852	0.0082821956882172	2.36629023428237	0.0179673528579916	1.10089794965782	0.000991704872463921
