"name"	"mIDH2_NR"	"mIDH1_NR"	"distance"
"1"	"(10Z)-heptadecenoic"	0.706649793524064	0.731290241633624	0.0345
"2"	"(11Z,14Z)-eicosadienoic"	0.708980059746871	0.734183486663624	0.0347
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.709077887946072	0.734309655199497	0.0347
"4"	"(13Z)-eicosenoic"	0.712017126442685	0.735809477167393	0.0335
"5"	"(13Z)-octadecenoic"	0.710280214697311	0.736173567163595	0.0351
"6"	"(13Z,16Z)-docosadienoic"	0.707881757671809	0.734095714515603	0.0354
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	0.0631
"8"	"(1R,2S)-naphthalene"	0.7759191233066	0.793297351544236	0.0251
"9"	"(1S,2R)-naphthalene"	0	0	0.0631
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.723842904826283	0.746924380782754	0.0323
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.726015756173915	0.751132317467059	0.0335
"12"	"(5-L-glutamyl)-L-amino"	0.71654502804631	0.733468753139892	0.0286
"13"	"(6Z,9Z)-octadecadienoic"	0.718433221026253	0.741105892856397	0.0324
"14"	"(7Z)-octadecenoic"	0.740277786414012	0.761789676228824	0.0302
"15"	"(7Z)-tetradecenoic"	0.706971393826173	0.733612908182434	0.0358
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.699064664028471	0.726460767401428	0.0368
"17"	"(9E)-tetradecenoic"	0.717288708090615	0.74110546215973	0.0332
"18"	"(Glc)3"	0	0	0.0631
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	0.0631
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.699004991654108	0.725395752167668	0.0361
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.719280079541573	0.74530603247422	0.0346
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0631
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.0631
