"name"	"mIDH2_NR"	"mIDH1_NR"	"distance"
"1"	"(10Z)-heptadecenoic"	0.706649793524064	0.731290241633624	0.00103741002371616
"2"	"(11Z,14Z)-eicosadienoic"	0.708980059746871	0.734183486663624	0.000180215145921037
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.709077887946072	0.734309655199497	0.000139523161149069
"4"	"(13Z)-eicosenoic"	0.712017126442685	0.735809477167393	0.00120783565352345
"5"	"(13Z)-octadecenoic"	0.710280214697311	0.736173567163595	-0.000673866102623655
"6"	"(13Z,16Z)-docosadienoic"	0.707881757671809	0.734095714515603	-0.000691644736600883
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	0.114898447397944
"8"	"(1R,2S)-naphthalene"	0.7759191233066	0.793297351544236	-0.000446216318148562
"9"	"(1S,2R)-naphthalene"	0	0	0.114898447397944
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.723842904826283	0.746924380782754	0.000425604606733354
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.726015756173915	0.751132317467059	-0.00188382182420788
"12"	"(5-L-glutamyl)-L-amino"	0.71654502804631	0.733468753139892	0.0075047749232996
"13"	"(6Z,9Z)-octadecadienoic"	0.718433221026253	0.741105892856397	0.00151742764964058
"14"	"(7Z)-octadecenoic"	0.740277786414012	0.761789676228824	-7.98538255821768e-05
"15"	"(7Z)-tetradecenoic"	0.706971393826173	0.733612908182434	-0.00100426101580453
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.699064664028471	0.726460767401428	-0.000760557670184125
"17"	"(9E)-tetradecenoic"	0.717288708090615	0.74110546215973	0.000517849972157203
"18"	"(Glc)3"	0	0	0.114898447397944
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	0.114898447397944
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.699004991654108	0.725395752167668	0.000252319337601392
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.719280079541573	0.74530603247422	-0.00194277659421627
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.114898447397944
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.114898447397944
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.114898447397944
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.114898447397944
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.114898447397944
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.114898447397944
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	0.114898447397944
"29"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.114898447397944
"30"	"1,1-dichloroethylene"	0	0	0.114898447397944
"31"	"1,2-Diacyl-Sn-Glycerol"	0.699064664028471	0.726460767401428	-0.000760557670184125
"32"	"1,2-diacylglycerol-LD-PC"	0.718485147128327	0.74509417216986	-0.00242548167691048
"33"	"1,2-diacylglycerol-LD-PE"	0	0	0.114898447397944
"34"	"1,2-diacylglycerol-LD-PI"	0.649355692860778	0.680925210560916	0.0013422113963979
"35"	"1,2-diacylglycerol-LD-PS"	0	0	0.114898447397944
"36"	"1,2-diacylglycerol-LD-SM"	0	0	0.114898447397944
"37"	"1,2-diacylglycerol-LD-TAG"	0.710792108083596	0.735182286416103	0.000764677106494971
"38"	"1,2-diacylglycerol-VLDL"	0.709059244376515	0.734185841732272	0.000247046969165776
"39"	"1,2-diacylglycerol-bile-PC"	0	0	0.114898447397944
"40"	"1,2-diacylglycerol-chylomicron"	0.710797860252213	0.735265133019306	0.000686856411350467
"41"	"1-Acyl"	0.699064664028471	0.726460767401428	-0.000760557670184125
"42"	"1-Acylglycerone"	0	0	0.114898447397944
