"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ID"
"SNX11"	1.86232965203525	4.457241263033	3.89521222485737	0.000177496448484726	0.976755201803315	-2.24986190274328	"SNX11"
"SNRPEP8"	0.73000838017543	-0.674396337309278	3.68004286233049	0.000378128347124598	0.976755201803315	-2.49997177366605	"SNRPEP8"
"KCTD5"	1.79326269041769	7.47298886597938	3.66308331125497	0.000400878211777342	0.976755201803315	-2.51932539748298	"KCTD5"
"INHBA"	0.373375261842312	5.70964102253588	3.60386709967883	0.000490912639942235	0.976755201803315	-2.58647090990334	"INHBA"
"ZMAT1"	1.10145025517936	-3.28066221474227	3.58973914856766	0.000515060764232902	0.976755201803315	-2.60239065893285	"ZMAT1"
"RP1-86D1.4"	1.85499298751351	-0.597129383814433	3.58346196907721	0.000526146796294497	0.976755201803315	-2.60945145460124	"RP1-86D1.4"
"RP11-421L10.1"	-0.557510520393119	-4.80286129896907	-3.50992029621869	0.000674004591402979	0.976755201803315	-2.69159373102356	"RP11-421L10.1"
"TCP11X3P"	0.312238788206391	8.18679555670103	3.47478983039497	0.000757739603901964	0.976755201803315	-2.73044958648118	"TCP11X3P"
"RP5-1160K1.3"	1.76518025327027	2.31480766058763	3.45364587002826	0.000812765792623007	0.976755201803315	-2.75371429821555	"RP5-1160K1.3"
"RP1-122K4.2"	0.54097641916462	4.86255507216495	3.42919714775065	0.000881079460373871	0.976755201803315	-2.78050027105292	"RP1-122K4.2"
"SOCS5P3"	0.741459040982801	-1.67539573257732	3.3233936937686	0.00124385358901503	0.976755201803315	-2.89496920784646	"SOCS5P3"
"PPP2R5C"	0.96897583322834	-3.32710097502354	3.32268771228399	0.00124668840951692	0.976755201803315	-2.89572497294394	"PPP2R5C"
"SNX18P8"	-0.899278042751843	-3.26900757319588	-3.26809639390112	0.00148517863717015	0.976755201803315	-2.95383678372451	"SNX18P8"
"GTF3C3"	1.0427211236783	-1.94937702901046	3.25521697274344	0.00154735462806989	0.976755201803315	-2.9674512510967	"GTF3C3"
"DIP2B"	1.65363985206502	1.99514285415179	3.24454032245354	0.00160073238746165	0.976755201803315	-2.97870932652401	"DIP2B"
"CCDC39"	-0.335308695627707	-4.91495075167437	-3.24306109275392	0.00160826203186425	0.976755201803315	-2.98026711046278	"CCDC39"
"ABHD16A"	0.797912381179362	-2.76085732268041	3.22253012361002	0.00171624518517055	0.976755201803315	-3.00183788821552	"ABHD16A"
"COMMD10"	0.306754630801864	5.23507223248026	3.17031155308933	0.00202214469013817	0.976755201803315	-3.05627299028694	"COMMD10"
"TTTY4C"	0.885867399385749	-1.78416765639175	3.16485163551339	0.00205690676025015	0.976755201803315	-3.06192885138184	"TTTY4C"
"CTB-113P19.4"	1.70744671532924	3.50413904097938	3.14227143829038	0.00220666246882494	0.976755201803315	-3.08524672502856	"CTB-113P19.4"
"FOXG1"	2.09601556525798	5.2780899556701	3.1302658715408	0.0022903563498676	0.976755201803315	-3.09759662631892	"FOXG1"
"NPM1P31"	0.76344540884521	-3.78310593814433	3.1270299975787	0.0023134142009254	0.976755201803315	-3.10091959790724	"NPM1P31"
"TIE1"	1.60732140426704	0.573279448446626	3.12644392918739	0.0023176133571335	0.976755201803315	-3.10152118121796	"TIE1"
"CDRT15P1"	0.313860837327935	8.28667112926598	3.12257875411333	0.00234548511935216	0.976755201803315	-3.10548668097493	"CDRT15P1"
"FAM66B"	0.747220971842752	-3.06334316391753	3.11731773544296	0.00238392309546553	0.976755201803315	-3.11087867404948	"FAM66B"
"KLHL1"	-0.436873755996371	5.67875238224975	-3.10119101549737	0.00250542543183545	0.976755201803315	-3.12736666729478	"KLHL1"
"OR52E3P"	1.86521993982801	3.57746579123711	3.09456201249421	0.00255701771041179	0.976755201803315	-3.1341265351709	"OR52E3P"
"PLCL2-AS1"	1.43630641057985	0.494165391237113	3.08553906540462	0.00262882722629438	0.976755201803315	-3.14331103390188	"PLCL2-AS1"
"CDR2"	1.71241369174878	4.3733600432315	3.080686894076	0.00266821277933328	0.976755201803315	-3.14824216265886	"CDR2"
"AC025594.1"	-0.766594931941031	-4.52643542371134	-3.06755978903587	0.00277752709234637	0.976755201803315	-3.1615550374269	"AC025594.1"
"SHARPIN"	1.59236954298771	1.60561721835052	3.06497827203359	0.00279950704067836	0.976755201803315	-3.16416829233644	"SHARPIN"
"TRIM43CP"	0.785704447612283	-3.67487791016248	3.06114040421123	0.00283248218239722	0.976755201803315	-3.16805042476904	"TRIM43CP"
"TAPBP"	-0.601989194397766	-4.73123107684848	-3.04059024923979	0.0030152572422378	0.976755201803315	-3.18877803693653	"TAPBP"
"RNU2-59P"	0.616048759361179	0.97268418	3.03420005366797	0.00307428087286514	0.976755201803315	-3.19520288579913	"RNU2-59P"
"MAP6D1"	0.988626550625061	3.56926493470103	3.02018910560215	0.00320745602875569	0.976755201803315	-3.20925557723743	"MAP6D1"
"LGALS8-AS1"	1.73244790103194	5.46191520412371	3.01687771949526	0.00323970111756022	0.976755201803315	-3.21256994102654	"LGALS8-AS1"
"ANGPTL4"	0.803478601228501	3.31207011237113	2.98745202508278	0.00353968950889196	0.976755201803315	-3.24190583461827	"ANGPTL4"
"MIR1468"	2.04508799498772	7.50238474226804	2.9771826864003	0.00365028351927824	0.976755201803315	-3.25209440855465	"MIR1468"
"LINC01136"	0.460242422063882	1.48525619896907	2.97564223939726	0.00366714556337249	0.976755201803315	-3.25362052502643	"LINC01136"
"RP4-539M6.18"	-0.339387388206389	5.96677440206186	-2.9735894248835	0.00368972782374627	0.976755201803315	-3.25565334293233	"RP4-539M6.18"
"AP005901.1"	-0.67853268201474	-4.71322046701031	-2.9539365438012	0.00391250946022234	0.976755201803315	-3.27506263082414	"AP005901.1"
"PGRMC2"	0.316151462967129	7.85249378582547	2.94361865541465	0.00403437426277085	0.976755201803315	-3.28521469674051	"PGRMC2"
"ZNF92"	1.42242922178906	1.49682271782816	2.94336814020342	0.00403737612974871	0.976755201803315	-3.28546086002112	"ZNF92"
"RPL7P26"	0.623494560196561	-4.47909412371134	2.91024605015848	0.00445288871389788	0.976755201803315	-3.31787090560606	"RPL7P26"
