""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ID"
"MBOAT4"	-2.09934616813187	4.532770495	-5.6541954723462	1.45328600139841e-06	0.0133799026677	5.00489672480908	"MBOAT4"
"FRMD6"	-4.27859224989011	-0.590638609	-5.56201905310479	1.95688904071276e-06	0.0133799026677	4.74312516646168	"FRMD6"
"C9orf150"	-3.0594518956044	-4.831431125	-4.92534427187277	1.50611264728456e-05	0.0397154750691553	2.94304866959395	"C9orf150"
"PRDX2"	-2.15360384175824	5.71003954	-4.79549830879967	2.27287246033481e-05	0.0397154750691553	2.57945579018621	"PRDX2"
"DMC1"	-1.83598004423077	1.48903335375	-4.76054929653185	2.5381610793491e-05	0.0397154750691553	2.48190206049816	"DMC1"
"RPL3"	-2.65051083038461	-2.67948996025	-4.73065558463119	2.78914517560539e-05	0.0397154750691553	2.39857298158504	"RPL3"
"CLCN5"	-3.67110181428572	0.410582815	-4.67659892788682	3.30662699670597e-05	0.0397154750691553	2.24816932158055	"CLCN5"
"CPEB3"	-3.31910380587912	-3.20899245475	-4.65481246921791	3.54097143867624e-05	0.0397154750691553	2.18765853373073	"CPEB3"
"LHFPL1"	-3.59359222747253	-2.590841545	-4.63291429037852	3.79298275119503e-05	0.0397154750691553	2.12690148481611	"LHFPL1"
"EPO"	-1.96195562087912	4.065735225	-4.58160309158065	4.4546947480555e-05	0.0397154750691553	1.9847981243158	"EPO"
"ABCG2"	-2.66320411940726	1.99070664236214	-4.57210737541427	4.58904350331019e-05	0.0397154750691553	1.95854165856771	"ABCG2"
"UCHL5"	-4.21433095384616	-1.01740013	-4.54249341786899	5.03413783052865e-05	0.0397154750691553	1.87674231667548	"UCHL5"
"OR13C9"	2.93940901098901	-5.336206	4.48369366060573	6.04728224902608e-05	0.0423440688087389	1.71472513279169	"OR13C9"
"MFSD6"	1.93251661483517	-0.9101003925	4.44125164337699	6.90047253471684e-05	0.0423440688087389	1.59812526053314	"MFSD6"
"GCSH"	-3.28200291494506	-0.347444341	-4.3945448895954	7.97614316031444e-05	0.0423440688087389	1.47016056516907	"GCSH"
"LOC643008"	-2.81570821963187	-0.230391393025	-4.38576719733012	8.19590293254084e-05	0.0423440688087389	1.44615437578476	"LOC643008"
"BEND7"	-4.06814012483516	-1.603556326	-4.37679155820432	8.42675375197714e-05	0.0423440688087389	1.42162100685972	"BEND7"
