A	B	scaled_weight
GQ1b[c]	MAR00847	0.74237388888681
H2O[c]	MAR00847	0.74237388888681
CMP-N-acetylneuraminate[c]	MAR00848	0.798798616239282
GT1b[c]	MAR00848	0.798798616239282
CMP-N-acetylneuraminate[c]	MAR00849	0.728591607410818
GA2[c]	MAR00849	0.728591607410818
GM2[c]	MAR00850	0.728591607410821
H2O[c]	MAR00850	0.728591607410821
CMP-N-acetylneuraminate[c]	MAR00851	0.645308719023889
GM2[c]	MAR00851	0.645308719023889
CMP-N-acetylneuraminate[c]	MAR00852	0.652491079344999
GM1[c]	MAR00852	0.652491079344999
CMP-N-acetylneuraminate[c]	MAR00853	0.658530337664744
GD1a[c]	MAR00853	0.658530337664744
CMP-N-acetylneuraminate[c]	MAR00854	0.66131271676294
GT1a[c]	MAR00854	0.66131271676294
CMP-N-acetylneuraminate[c]	MAR00855	0.793176891652248
GD3[c]	MAR00855	0.793176891652248
GT3[c]	MAR00856	0.263377381869988
UDP-N-acetyl-D-galactosamine[c]	MAR00856	0.263377381869988
GT2[c]	MAR00857	0.263377381869988
UDP-galactose[c]	MAR00857	0.263377381869988
CMP-N-acetylneuraminate[c]	MAR00858	0.263377381869988
GT1c[c]	MAR00858	0.263377381869988
LacCer pool[c]	MAR00928	0.263377381869988
PAPS[c]	MAR00928	0.263377381869988
MAR00928	lactosylceramide sulfate[c]	0.263377381869988
MAR00928	PAP[c]	0.263377381869988
LacCer pool[c]	MAR00801	0.68022917136718
UDP-galactose[c]	MAR00801	0.68022917136718
globotriaosylceramide[c]	MAR00803	0.680541724859413
