node	agg	layer1	layer2	layer3	layer4
265	18	19	0	0	0
266	34	35	0	0	0
267	24	25	0	0	0
268	3	3	0	0	0
269	13	13	0	0	0
270	32	32	0	0	0
271	25	25	0	0	0
272	4	4	0	0	0
273	21	22	0	0	0
274	43	45	0	0	0
275	1	1	0	0	0
276	5	5	0	0	0
277	92	94	0	0	0
278	9	9	0	0	0
279	1	1	0	0	0
280	6	6	0	0	0
281	17	17	0	0	0
282	62	63	0	0	0
283	3	3	0	0	0
284	1	1	0	0	0
285	1	1	0	0	0
286	7	7	0	0	0
287	13	13	0	0	0
288	1	1	0	0	0
289	12	13	0	0	0
290	19	19	0	0	0
291	16	17	0	0	0
292	123	124	0	0	0
293	8	8	0	0	0
294	28	28	0	0	0
295	25	25	0	0	0
296	22	22	0	0	0
297	8	8	0	0	0
298	1	1	0	0	0
299	15	15	0	0	0
300	2	2	0	0	0
301	3	3	0	0	0
302	17	18	0	0	0
303	45	46	0	0	0
304	34	34	0	0	0
305	1	1	0	0	0
306	9	9	0	0	0
307	1	1	0	0	0
308	1	1	0	0	0
309	5	5	0	0	0
310	7	7	0	0	0
311	15	15	0	0	0
312	13	13	0	0	0
313	4	4	0	0	0
314	4	4	0	0	0
315	8	8	0	0	0
316	2	2	0	0	0
317	21	21	0	0	0
318	4	4	0	0	0
319	37	37	0	0	0
320	4	4	0	0	0
321	2	2	0	0	0
322	56	56	0	0	0
323	1	1	0	0	0
324	13	13	0	0	0
325	5	5	0	0	0
326	40	41	0	0	0
327	1	1	0	0	0
328	2	2	0	0	0
329	5	5	0	0	0
330	45	45	0	0	0
331	4	4	0	0	0
332	3	3	0	0	0
333	22	23	0	0	0
334	15	15	0	0	0
335	34	35	0	0	0
336	41	42	0	0	0
337	1	1	0	0	0
338	2	2	0	0	0
339	6	6	0	0	0
340	1	1	0	0	0
341	1	1	0	0	0
342	35	36	0	0	0
343	19	19	0	0	0
344	48	51	0	0	0
345	71	73	0	0	0
346	14	14	0	0	0
347	22	22	0	0	0
348	11	11	0	0	0
349	38	41	0	0	0
350	49	52	0	0	0
351	3	3	0	0	0
352	13	13	0	0	0
353	3	3	0	0	0
354	6	7	0	0	0
355	2	2	0	0	0
356	8	8	0	0	0
357	14	15	0	0	0
358	17	17	0	0	0
359	4	4	0	0	0
360	2	2	0	0	0
361	2	2	0	0	0
362	18	18	0	0	0
363	1	1	0	0	0
364	8	8	0	0	0
365	30	30	0	0	0
366	2	2	0	0	0
367	11	11	0	0	0
368	23	23	0	0	0
369	1	1	0	0	0
370	70	70	0	0	0
371	6	6	0	0	0
372	17	17	0	0	0
373	24	25	0	0	0
374	21	22	0	0	0
375	3	3	0	0	0
376	14	14	0	0	0
377	3	3	0	0	0
378	6	6	0	0	0
379	10	10	0	0	0
380	10	10	0	0	0
381	23	23	0	0	0
382	20	20	0	0	0
383	49	49	0	0	0
384	1	1	0	0	0
385	1	1	0	0	0
386	22	22	0	0	0
387	10	10	0	0	0
388	7	7	0	0	0
389	39	39	0	0	0
390	1	1	0	0	0
391	79	80	0	0	0
392	84	87	0	0	0
393	110	113	0	0	0
394	122	125	0	0	0
395	160	165	0	0	0
396	38	40	0	0	0
397	37	38	0	0	0
398	5	5	0	0	0
399	14	14	0	0	0
400	91	94	0	0	0
401	80	83	0	0	0
402	99	101	0	0	0
403	21	21	0	0	0
404	7	7	0	0	0
405	37	37	0	0	0
406	13	13	0	0	0
407	1	1	0	0	0
408	41	43	0	0	0
409	42	43	0	0	0
410	43	44	0	0	0
411	7	7	0	0	0
412	8	8	0	0	0
413	25	25	0	0	0
414	43	45	0	0	0
415	87	89	0	0	0
416	34	35	0	0	0
417	30	31	0	0	0
418	37	41	0	0	0
419	55	57	0	0	0
420	6	6	0	0	0
421	7	7	0	0	0
422	5	5	0	0	0
423	7	7	0	0	0
424	7	7	0	0	0
425	10	10	0	0	0
426	9	9	0	0	0
427	17	17	0	0	0
428	7	7	0	0	0
429	6	6	0	0	0
430	23	23	0	0	0
431	33	34	0	0	0
432	12	12	0	0	0
433	56	56	0	0	0
434	4	4	0	0	0
435	17	17	0	0	0
436	3	3	0	0	0
437	18	18	0	0	0
438	36	37	0	0	0
439	33	34	0	0	0
440	45	48	0	0	0
441	7	7	0	0	0
442	6	6	0	0	0
443	6	6	0	0	0
444	6	7	0	0	0
445	8	9	0	0	0
446	40	41	0	0	0
447	40	43	0	0	0
448	2	2	0	0	0
449	17	17	0	0	0
450	13	13	0	0	0
451	10	10	0	0	0
452	8	8	0	0	0
453	6	6	0	0	0
454	25	25	0	0	0
455	35	37	0	0	0
456	42	43	0	0	0
457	54	55	0	0	0
458	2	2	0	0	0
459	7	7	0	0	0
460	18	22	0	0	0
461	24	26	0	0	0
462	20	21	0	0	0
463	14	16	0	0	0
464	80	83	0	0	0
465	39	39	0	0	0
466	2	2	0	0	0
467	1	1	0	0	0
468	4	4	0	0	0
469	63	64	0	0	0
470	17	18	0	0	0
471	31	31	0	0	0
472	3	3	0	0	0
473	15	15	0	0	0
474	53	57	0	0	0
475	19	20	0	0	0
476	6	7	0	0	0
477	21	22	0	0	0
478	10	11	0	0	0
479	10	10	0	0	0
480	3	3	0	0	0
481	45	46	0	0	0
482	17	18	0	0	0
483	9	9	0	0	0
484	3	3	0	0	0
485	5	5	0	0	0
486	7	7	0	0	0
487	5	5	0	0	0
488	20	21	0	0	0
489	11	11	0	0	0
490	25	26	0	0	0
491	1	1	0	0	0
492	8	8	0	0	0
493	6	6	0	0	0
494	6	6	0	0	0
495	22	22	0	0	0
496	39	42	0	0	0
497	19	19	0	0	0
498	23	23	0	0	0
499	24	24	0	0	0
500	13	13	0	0	0
501	2	2	0	0	0
502	1	1	0	0	0
503	5	5	0	0	0
504	9	9	0	0	0
505	6	6	0	0	0
506	8	8	0	0	0
507	33	34	0	0	0
508	29	31	0	0	0
509	32	32	0	0	0
510	40	40	0	0	0
