A	B	scaled_weight
ethanol[c]	MAR03905	1
NAD+[c]	MAR03905	1
ethanol[c]	MAR03907	1
NADP+[c]	MAR03907	1
acetate[c]	MAR04097	0.735907862995753
ATP[c]	MAR04097	0.735907862995753
CoA[c]	MAR04097	0.735907862995753
acetate[m]	MAR04099	0.696800839858459
ATP[m]	MAR04099	0.696800839858459
CoA[m]	MAR04099	0.696800839858459
acetyl adenylate[c]	MAR04108	0.735355417713195
CoA[c]	MAR04108	0.735355417713195
acetate[c]	MAR04133	0.735355417713195
ATP[c]	MAR04133	0.735355417713195
H+[c]	MAR04133	0.735355417713195
CoA[m]	MAR04137	0.812565648354024
NAD+[m]	MAR04137	0.812565648354024
pyruvate[m]	MAR04137	0.812565648354024
H+[x]	MAR04281	1
NADH[x]	MAR04281	1
pyruvate[x]	MAR04281	1
MAR04281	L-lactate[x]	0.965927541109541
MAR04281	NAD+[x]	0.965927541109541
H+[c]	MAR04388	0.966071877059241
NADH[c]	MAR04388	0.966071877059241
pyruvate[c]	MAR04388	0.966071877059241
MAR04388	L-lactate[c]	0.99910875692154
MAR04388	NAD+[c]	0.99910875692154
acetaldehyde[c]	MAR04283	0.76926114942324
H2O[c]	MAR04283	0.76926114942324
NADP+[c]	MAR04283	0.76926114942324
acetaldehyde[m]	MAR08357	0.782547181124854
H2O[m]	MAR08357	0.782547181124854
NAD+[m]	MAR08357	0.782547181124854
ATP[c]	MAR04379	0.681018767179085
fructose-6-phosphate[c]	MAR04379	0.681018767179085
fructose-6-phosphate[c]	MAR04301	0.681037943802655
UTP[c]	MAR04301	0.681037943802655
DHAP[c]	MAR04355	0.681037943802655
erythrose-4-phosphate[c]	MAR04355	0.681037943802655
ADP[c]	MAR04358	0.384883754693137
H+[c]	MAR04358	0.384883754693137
PEP[c]	MAR04358	0.384883754693137
H2O[c]	MAR04360	0.689882465791903
methylglyoxal[c]	MAR04360	0.689882465791903
NADP+[c]	MAR04360	0.689882465791903
2-phospho-D-glycerate[c]	MAR04363	0.789151775631274
MAR04363	H2O[c]	0.708108462609189
MAR04363	PEP[c]	0.708108462609189
2-phospho-D-glycerate[c]	MAR04365	0.739535487278213
MAR04365	3-phospho-D-glycerate[c]	0.788655499395874
1,3-bisphospho-D-glycerate[c]	MAR04368	0.7923355255634
ADP[c]	MAR04368	0.7923355255634
MAR04368	3-phospho-D-glycerate[c]	0.748853114816347
MAR04368	ATP[c]	0.748853114816347
1,3-bisphospho-D-glycerate[c]	MAR04370	0.793030711751413
H2O[c]	MAR04370	0.793030711751413
1,3-bisphospho-D-glycerate[c]	MAR04371	0.794501189130661
2,3-bisphospho-D-glycerate[c]	MAR04372	0.794501189130665
H2O[c]	MAR04372	0.794501189130665
1,3-bisphospho-D-glycerate[c]	MAR04373	0.727177641345346
H+[c]	MAR04373	0.727177641345346
NADH[c]	MAR04373	0.727177641345346
MAR04373	GAP[c]	0.792335525563399
MAR04373	NAD+[c]	0.792335525563399
MAR04373	Pi[c]	0.792335525563399
DHAP[c]	MAR04375	0.658885366045754
GAP[c]	MAR04375	0.658885366045754
MAR04375	fructose-1,6-bisphosphate[c]	0.681037943802655
fructose-1,6-bisphosphate[c]	MAR04377	0.679470584053218
H2O[c]	MAR04377	0.679470584053218
fructose-6-phosphate[c]	MAR04381	0.702529366503203
MAR04381	glucose-6-phosphate[c]	0.906297630943791
DHAP[c]	MAR04391	0.689136743234098
MAR04391	GAP[c]	0.713811138051175
ATP[c]	MAR04394	0.78978114214108
glucose[c]	MAR04394	0.78978114214108
glucose-1-phosphate[c]	MAR04396	0.88473593061487
MAR04396	glucose-6-phosphate[c]	0.697990941741318
glucose-6-phosphate[r]	MAR04521	0.771553914338773
H2O[r]	MAR04521	0.771553914338773
H+[m]	MAR06410	0.817074976830487
lipoamide[m]	MAR06410	0.817074976830487
pyruvate[m]	MAR06410	0.817074976830487
CoA[m]	MAR06412	0.817074976830487
S-acetyldihydrolipoamide[m]	MAR06412	0.817074976830487
beta-D-glucose[c]	MAR07745	0.282224343013113
MAR07745	glucose[c]	0.282224343013113
ADP[c]	MAR07747	0.783047836429336
glucose[c]	MAR07747	0.783047836429336
ethanol[x]	MAR08360	1
H2O2[x]	MAR08360	1
carbamoyl-phosphate[r]	MAR08652	0.282224343013113
glucose[r]	MAR08652	0.282224343013113
ethanol[c]	MAR08757	1
H+[c]	MAR08757	1
NADPH[c]	MAR08757	1
O2[c]	MAR08757	1
H2O[e]	MAR03989	0.986595277405615
maltose[e]	MAR03989	0.986595277405615
H2O[c]	MAR04122	0.739128377466378
NAD+[c]	MAR04122	0.739128377466378
UDP-glucose[c]	MAR04122	0.739128377466378
H2O[e]	MAR04837	1
trehalose[e]	MAR04837	1
glycogenin[c]	MAR05395	0.711565390688847
UDP-glucose[c]	MAR05395	0.711565390688847
glycogenin G8[c]	MAR05396	0.711565390688847
UDP-glucose[c]	MAR05396	0.711565390688847
UDP-glucose[c]	MAR09727	0.801132385666085
glycogenin G11[c]	MAR05397	0.711565390688847
glycogenin G4G7[c]	MAR05398	0.711565390688847
Pi[c]	MAR05398	0.711565390688847
glycogenin G4G4[c]	MAR05399	0.710235577939367
glycogenin G7G1[c]	MAR05400	0.710235577939367
H2O[c]	MAR05400	0.710235577939367
glycogenin G7[c]	MAR05401	0.710270422624912
Pi[c]	MAR05401	0.710270422624912
H2O[c]	MAR08568	1
maltodecaose[c]	MAR08568	1
H2O[e]	MAR08569	1
maltodecaose[e]	MAR08569	1
H2O[c]	MAR08570	1
maltononaose[c]	MAR08570	1
H2O[e]	MAR08571	1
maltononaose[e]	MAR08571	1
H2O[c]	MAR08572	1
maltoheptaose[c]	MAR08572	1
H2O[e]	MAR08573	1
maltoheptaose[e]	MAR08573	1
H2O[c]	MAR08574	1
maltohexaose[c]	MAR08574	1
H2O[e]	MAR08575	1
maltohexaose[e]	MAR08575	1
H2O[c]	MAR08576	1
maltopentaose[c]	MAR08576	1
H2O[e]	MAR08577	1
maltopentaose[e]	MAR08577	1
H2O[c]	MAR08578	1
maltotetraose[c]	MAR08578	1
H2O[e]	MAR08579	1
maltotetraose[e]	MAR08579	1
H2O[e]	MAR08581	1
maltotriose[e]	MAR08581	1
H2O[c]	MAR08591	1
maltotriose[c]	MAR08591	1
H2O[l]	MAR08592	1
maltotriose[l]	MAR08592	1
H2O[c]	MAR08580	1
maltotriose[c]	MAR08580	1
H2O[c]	MAR08582	1
maltose[c]	MAR08582	1
H2O[c]	MAR08587	1
maltose[c]	MAR08587	1
H2O[l]	MAR08589	1
maltose[l]	MAR08589	1
H2O[e]	MAR08583	1
starch structure 1[e]	MAR08583	1
H2O[e]	MAR08584	1
starch structure 2[e]	MAR08584	1
1,3-bisphospho-D-glycerate[c]	MAR08585	0.74702234062819
glucose-1-phosphate[c]	MAR08585	0.74702234062819
glucose-1-phosphate[c]	MAR03944	0.863130140612667
H+[c]	MAR03944	0.863130140612667
UTP[c]	MAR03944	0.863130140612667
UDP-galactose[c]	MAR04128	0.971345259237581
MAR04128	UDP-glucose[c]	0.702095860689371
ATP[c]	MAR04130	0.720575006866647
galactose[c]	MAR04130	0.720575006866647
glucose-1-phosphate[c]	MAR04131	0.808851296037179
UDP-galactose[c]	MAR04131	0.808851296037179
MAR04131	alpha-D-galactose-1-phosphate[c]	0.720173198845508
MAR04131	UDP-glucose[c]	0.720173198845508
galactose-1-phosphate[c]	MAR04132	0.72017319884551
UDP-glucose[c]	MAR04132	0.72017319884551
H2O[e]	MAR04303	1
sucrose[e]	MAR04303	1
ATP[c]	MAR04414	0.72017319884551
galactose[c]	MAR04414	0.72017319884551
H2O[e]	MAR04415	0.637663831696013
lactose[e]	MAR04415	0.637663831696013
galactosylglycerol[e]	MAR04416	1
H2O[e]	MAR04416	1
CDP[c]	MAR04774	0.780189012662582
H+[c]	MAR04774	0.780189012662582
tagatose-1,6-bisphosphate[c]	MAR04774	0.780189012662582
MAR04774	CTP[c]	0.780189012662581
MAR04774	D-tagatose-6-phosphate[c]	0.780189012662581
D-tagatose-6-phosphate[c]	MAR04775	0.780189012662582
ITP[c]	MAR04775	0.780189012662582
MAR04775	H+[c]	0.780189012662581
MAR04775	IDP[c]	0.780189012662581
MAR04775	tagatose-1,6-bisphosphate[c]	0.780189012662581
lactose[e]	MAR04831	0.98731160959912
NAD+[e]	MAR04831	0.98731160959912
MAR04831	3-ketolactose[e]	0.282224343013113
MAR04831	H+[e]	0.282224343013113
MAR04831	NADH[e]	0.282224343013113
3-keto-beta-D-galactose[e]	MAR04832	1
glucose[e]	MAR04832	1
MAR04832	3-ketolactose[e]	0.979101380799676
MAR04832	H2O[e]	0.979101380799676
glucose[g]	MAR07674	0.6374024552295
UDP-galactose[g]	MAR07674	0.6374024552295
ATP[c]	MAR08761	1
D-tagatose[c]	MAR08761	1
D-tagatose-6-phosphate[c]	MAR08762	1
MAR08762	DHAP[c]	0.282224343013113
MAR08762	glyceraldehyde[c]	0.282224343013113
H2O[l]	MAR08764	0.621300658586789
lactose[l]	MAR08764	0.621300658586789
galactose[c]	MAR08766	0.754762081390631
H+[c]	MAR08766	0.754762081390631
NADPH[c]	MAR08766	0.754762081390631
MAR08766	galactitol[c]	1
MAR08766	NADP+[c]	1
alpha-D-galactose-1-phosphate[c]	MAR08767	0.80847868780558
H+[c]	MAR08767	0.80847868780558
UTP[c]	MAR08767	0.80847868780558
ATP[c]	MAR00454	0.666162028789093
glyceraldehyde[c]	MAR00454	0.666162028789093
ATP[c]	MAR04297	0.802245530514367
fructose-6-phosphate[c]	MAR04297	0.802245530514367
ATP[c]	MAR04310	0.282224343013113
fructose[c]	MAR04310	0.282224343013113
D-glucitol[c]	MAR04315	0.677000708574585
NAD+[c]	MAR04315	0.677000708574585
MAR04315	fructose[c]	0.82233591165353
MAR04315	H+[c]	0.82233591165353
MAR04315	NADH[c]	0.82233591165353
D-glucitol[c]	MAR04316	0.887479279190152
NADP+[c]	MAR04316	0.887479279190152
MAR04316	glucose[c]	0.887479279190149
MAR04316	H+[c]	0.887479279190149
MAR04316	NADPH[c]	0.887479279190149
ATP[c]	MAR04317	0.282224343013113
D-glucitol[c]	MAR04317	0.282224343013113
ATP[c]	MAR04318	0.282224343013113
fructose[c]	MAR04318	0.282224343013113
ATP[c]	MAR04319	0.681163924606937
fructose[c]	MAR04319	0.681163924606937
ATP[c]	MAR04320	0.282224343013113
mannose-1-phosphate[c]	MAR04320	0.282224343013113
DHAP[c]	MAR04356	0.282224343013113
glyceraldehyde[c]	MAR04356	0.282224343013113
fructose-6-phosphate[c]	MAR04383	0.772446958931762
MAR04383	mannose-6-phosphate[c]	1
mannose-6-phosphate[c]	MAR04385	0.653787984232603
GDP[c]	MAR04386	0.653912880834024
H+[c]	MAR04386	0.653912880834024
mannose-1-phosphate[c]	MAR04386	0.653912880834024
GTP[c]	MAR04387	0.627002698656052
H+[c]	MAR04387	0.627002698656052
mannose-1-phosphate[c]	MAR04387	0.627002698656052
GDP-mannose[c]	MAR04399	0.777038474827876
GDP-4-dehydro-6-deoxy-D-mannose[c]	MAR04400	0.777228356650533
H+[c]	MAR04400	0.777228356650533
NADH[c]	MAR04400	0.777228356650533
GDP-L-fucose[c]	MAR04401	0.282224343013113
PPi[c]	MAR04401	0.282224343013113
MAR04401	GTP[c]	0.282224343013113
MAR04401	H+[c]	0.282224343013113
