"name"	"mIDH2"	"mIDH1"	"distance"
"1"	"16-5-5"	0.249669805554783	0.265382361130584	0.0187
"2"	"A1BG"	0.407119451498507	0.352067317693266	-0.0343
"3"	"A1CF"	0.514077376902132	0.555986136797979	0.0305
"4"	"A2M"	0.515227495062603	0.52191818435239	0.006
"5"	"A2ML1"	0.469991961632878	0.458502078752674	-0.0055
"6"	"A2ML1-AS1"	0.258320866439349	0.262491937701018	0.0105
"7"	"A2ML1-AS2"	0.278134581527082	0.279718244596574	0.0082
"8"	"A3GALT2"	0.237022735527958	0.244271661439034	0.0132
"9"	"A4GALT"	0.625393142162039	0.623479124397531	-0.0027
"10"	"A4GNT"	0.575488772965654	0.61512419995641	0.0274
"11"	"AAA1"	0.447812207550284	0.496009256888986	0.0365
"12"	"AAAS"	0.639930922608923	0.628594778429224	-0.0096
"13"	"AACS"	0.664751660617764	0.645109519581675	-0.0159
"14"	"AADAC"	0.617077817616569	0.6076789659099	-0.0077
"15"	"AADACL2"	0.386398787235803	0.451837242368511	0.05
"16"	"AADACL3"	0.458929423546362	0.504656346758867	0.0345
"17"	"AADACL4"	0.410761795282184	0.364272753895173	-0.0284
"18"	"AADAT"	0.611799895355162	0.570819217210187	-0.0295
"19"	"AAG1"	0.54902192528898	0.546491626140173	-0.0012
"20"	"AAGAB"	0.428427422522335	0.478717106439929	0.0384
"21"	"AAK1"	0.733805126875865	0.719454127560869	-0.0139
"22"	"AAMDC"	0.246283039545355	0.254792870800279	0.0138
"23"	"AAMP"	0.417008884158762	0.415960018592683	0.003
"24"	"AANAT"	0.623649577613307	0.633129657051313	0.0053
"25"	"AAR2"	0.309506604951545	0.3189922597881	0.013
"26"	"AARS"	0.476625324291287	0.488508259559285	0.0106
"27"	"AARS1"	0.436449117959439	0.448840526439438	0.0119
"28"	"AARS2"	0.497701097788188	0.476344593151707	-0.0131
"29"	"AARSD1"	0.590096903296851	0.596277296105346	0.0038
"30"	"AASDH"	0.642406497412572	0.66044386743178	0.0108
"31"	"AASDHPPT"	0.583214660776274	0.588321400485367	0.0032
"32"	"AASS"	0.640601224176442	0.656729835971537	0.0095
"33"	"AATF"	0.593424190016319	0.596797867200011	0.0018
"34"	"AATK"	0.545693870953168	0.532149889364507	-0.0088
"35"	"AB019440.1"	0.267910494159235	0.272240770053462	0.0104
"36"	"AB019440.50"	0.267910494159235	0.272240770053462	0.0104
"37"	"ABAT"	0.526586670446594	0.540859611967243	0.011
"38"	"ABCA1"	0.856668692640944	0.857932206453565	-0.0061
"39"	"ABCA10"	0.467961559808788	0.468602134733925	0.003
"40"	"ABCA11P"	0.471639877457101	0.446592927914166	-0.015
"41"	"ABCA12"	0.430561524164651	0.373743800014115	-0.0361
"42"	"ABCA13"	0.456610336960471	0.464212893614646	0.0081
"43"	"ABCA17P"	0.428690398578839	0.435661786372842	0.0083
"44"	"ABCA2"	0.667505395614599	0.646963766084619	-0.0166
"45"	"ABCA3"	0.598965785181025	0.609741341741601	0.0068
"46"	"ABCA4"	0.567859664441795	0.566508188906258	-9e-04
"47"	"ABCA5"	0.507306994027211	0.44394068578404	-0.0425
"48"	"ABCA6"	0.405725375513857	0.449134515139486	0.0342
"49"	"ABCA7"	0.563563873329468	0.572529864406413	0.0064
"50"	"ABCA8"	0.644234309314584	0.649506058095509	0.0019
"51"	"ABCA9"	0.410999680272497	0.359588961759751	-0.0318
"52"	"ABCA9-AS1"	0.276801763085299	0.276762395359164	0.0071
"53"	"ABCB1"	0.820700335189549	0.821882263538399	-0.0053
"54"	"ABCB10"	0.449002220979206	0.438003492368509	-0.0047
"55"	"ABCB11"	0.795705439239931	0.796303858435212	-0.0051
"56"	"ABCB4"	0.732629130812193	0.731452717683481	-0.0048
"57"	"ABCB5"	0.437754993462569	0.400557625123661	-0.0226
"58"	"ABCB6"	0.590302276836524	0.58614586992807	-0.0034
"59"	"ABCB7"	0.484940956732493	0.499448117670741	0.0122
"60"	"ABCB8"	0.426574335467508	0.386673969658423	-0.0242
"61"	"ABCB9"	0.431392512632704	0.489105754296572	0.0435
"62"	"ABCC1"	0.789316239615597	0.791250077800672	-0.004
"63"	"ABCC10"	0.463439065374996	0.464647228387694	0.0035
"64"	"ABCC11"	0.693197895997195	0.693795394064854	-0.0026
"65"	"ABCC12"	0.389475268656936	0.374691369229573	-0.0058
"66"	"ABCC13"	0.394271793920429	0.469972277711967	0.0569
"67"	"ABCC2"	0.802540683096316	0.803606310536581	-0.0049
"68"	"ABCC3"	0.823955470067482	0.825743324603354	-0.0049
"69"	"ABCC4"	0.767727609450482	0.769660336364968	-0.0035
"70"	"ABCC5"	0.662848368563934	0.647475506503933	-0.0129
"71"	"ABCC5-AS1"	0.271524324057408	0.273791114294416	0.0089
"72"	"ABCC6"	0.39556819871101	0.414973665742475	0.0178
"73"	"ABCC6P1"	0.442944505189814	0.414620469083431	-0.0166
"74"	"ABCC6P2"	0.407176034243632	0.369254565225128	-0.0224
"75"	"ABCC8"	0.465758784001268	0.477314821685423	0.0106
"76"	"ABCC9"	0.446308495699483	0.453549837646559	0.0081
"77"	"ABCD1"	0.695374357571152	0.694385361067603	-0.0037
"78"	"ABCD2"	0.62012033123657	0.613930533527143	-0.0055
"79"	"ABCD3"	0.677892539818454	0.68183490639756	1e-04
"80"	"ABCD4"	0.62903987076879	0.64106163550515	0.0069
"81"	"ABCE1"	0.716539270011555	0.714305906909376	-0.0051
"82"	"ABCF1"	0.622086088962592	0.620394005979089	-0.0024
"83"	"ABCF2"	0.546436856906006	0.564771147495515	0.0133
"84"	"ABCF3"	0.639589111875887	0.640776760892286	-8e-04
"85"	"ABCG1"	0.525064866093538	0.490905320123116	-0.0226
"86"	"ABCG2"	0.779702462082182	0.779237926004016	-0.0054
"87"	"ABCG4"	0.46411849382887	0.460507981563968	1e-04
"88"	"ABCG5"	0.414297092237951	0.486068223749167	0.0537
"89"	"ABCG8"	0.453208014926564	0.508426530510727	0.0412
"90"	"ABHD1"	0.388421029580932	0.422263120472475	0.028
"91"	"ABHD10"	0.403341788510599	0.358013420156823	-0.0274
"92"	"ABHD11"	0.479610055006782	0.498151200721901	0.0151
"93"	"ABHD12"	0.62598752875939	0.619335013972164	-0.006
"94"	"ABHD12B"	0.408817982625573	0.398701565057557	-0.0031
"95"	"ABHD13"	0.396889060971191	0.388502354331465	-0.0016
