""	"1794247_BL"	"1825001_BL"	"2010157_BL"	"2150901_BL"	"2151503_BL"	"2152641_BL"	"2163337_BL"	"2210551_BL"	"2219711_BL"	"2247707_BL"	"2260553_BL"	"2263055_BL"	"2264225_BL"	"2280935_BL"	"2283265_BL"	"2292915_BL"	"2295595_BL"	"2296723_BL"	"2297625_BL"	"2297941_BL"	"2361361_BL"	"2361405_BL"	"2366711_BL"	"2370233_BL"	"2382431_BL"	"2410163_BL"	"2419959_BL"	"2430935_BL"	"2450523_BL"	"2463247_BL"	"2480485_BL"	"2498789_BL"	"2502699_BL"	"2512641_BL"	"2583919_BL"	"2616045_BL"	"2620771_BL"	"4128869_BL"	"4235533_BL"	"4259035_BL"	"757509_BL"
"ADNP"	4.83129052606241	4.94404829964169	5.08874772110804	4.43855901389687	5.52062677976421	4.84279512309037	3.1860104463214	4.56617007281354	4.62727355925358	5.14231746219145	4.0737694085321	5.16617538274526	4.68349311178614	5.13939151810578	5.10621284881364	6.34700436555795	5.73105599151076	4.29752846271274	4.93250756975909	5.54909898361925	4.09884172358475	4.99902875330855	5.59647712930566	4.76081386312552	4.91950864204538	5.60124139845436	5.00363257514924	5.65914745636412	4.93838822297025	4.71435297181395	5.23899077199677	5.51981813471388	4.67843433675204	5.92435197374423	4.95724448990567	4.68233745235442	4.78143880047425	4.89794800461593	4.62547249286471	5.24598939120369	4.47907263078654
"ADNP2"	10.4668669183163	10.7076710502008	11.1373717402796	10.1558736861984	9.76461629016586	10.704778550384	10.2703368131896	10.1838816198046	10.12782888308	9.85333440366895	9.71910552531778	9.92027335971269	9.94846858869591	9.91985496901662	10.3995286122098	10.3257123175961	10.2972340911173	9.57950943780759	10.2548518041672	9.8866003217848	11.0170159848291	11.0673188078783	10.5224622193637	11.0114851330538	10.8589180297206	10.1586491901676	9.70306825333993	9.7404794518246	10.4870534900263	10.8257813373936	10.3508893897027	10.8800085021019	10.3129065915754	10.3064613799135	9.96980594568636	10.5408386943484	10.0963719960593	10.1438571210282	10.1359019901868	10.5178570989972	10.3571860763588
"AEBP2"	11.9880846219267	12.1100235568078	14.6603143915074	12.0401270658154	12.6338627809415	12.4553736704576	13.9714758881049	11.7540087819642	12.16226218293	11.4610797116623	13.3082302136974	12.0992866377951	11.9963657941398	11.9141224950875	11.9000551389611	12.6102264249582	11.9110830909589	12.6924781741906	12.1359227016239	12.0798777458425	14.2864637119778	14.4507675031686	13.4932074919797	14.0826152607979	14.3240900093273	12.8673352202167	11.9542278383191	12.3367904209485	12.3544730442571	13.3411321881881	12.4470311311517	12.305963432119	12.2792897998495	12.4096561192937	12.2477778567193	13.1924940348019	11.4894076590119	11.8781657947882	11.7590173445015	12.3152564109962	11.8537432325676
"AHR"	1.18127266084394	1.74638802379853	2.46048349603396	1.32887138385488	1.66790101265374	1.38547676347347	1.12594645283802	1.49750419309424	1.1981228185809	1.15673760475116	0.920786459212124	1.70476948826492	1.53393033826619	1.41234350352319	1.03838632524348	2.42692573640203	1.83866616995493	1.26767903127318	1.99728531247721	1.63163420792055	1.42849259402829	2.44113613909391	2.51112190267699	1.61460836433236	1.50892493739626	1.87831455792516	1.58255307533413	1.73914224939609	1.82697009513802	1.5405149703667	2.03232609402618	1.14939304726153	0.854858967555567	2.20215042796371	1.645811794491	1.19673511440573	0.980429059353229	0.670409492511491	1.01076046466848	1.48018267603869	0.948428334336988
"AIRE"	2.03594738128844	2.6627378014784	2.61740436508157	1.75557619283997	2.46492154263015	1.69869313414635	2.35364826968046	1.93754261388541	2.25500099308368	2.32484565855899	2.03784367142635	2.49401162410498	2.53602993089773	2.15537770220293	2.07035648631501	2.35783524746594	2.4775206466141	2.55464921366907	2.00193297994845	2.05296609574296	2.96534977182595	2.78679714718308	2.35238545123864	2.31575787942092	2.60664709398074	2.28655836924167	1.89404739024868	2.10427834337072	2.26405146523279	2.69255009113087	2.2673969841007	2.3875569778082	1.91484732327746	2.67276114579876	2.45039727236757	2.67470416768348	1.61681444036235	1.80311979150785	2.61355504683281	2.4474104516534	1.96161950391904
"ALX1"	2.47856211486961	3.10007309020154	3.26143145750312	3.24062729687394	2.83201332552126	2.07628092463559	2.56930446018696	2.67638084469587	2.73165410633371	2.76656970202282	3.45020237604651	2.73727904888618	2.7895132379966	2.90834786807955	2.6907078761659	2.97584558123985	3.11951900839916	2.71750712930927	2.32967126675281	2.16668866563351	3.05929623481639	3.5041800559468	3.17335628679181	3.10635585496596	3.59421434683542	3.37324649870097	2.7092892628984	1.99198282989344	2.44908369993991	3.16625140625326	3.01875582740453	2.83688475615064	2.67650643192705	2.93061021639999	2.67459842091585	3.02478467046672	2.75051510878597	2.89727128714404	3.93066415855097	2.84291468059498	2.73166853775575
"ALX3"	0.331302490357356	1.00524749697128	1.81978711235699	0.697644269229171	0.996655714111008	0.504539298954524	0.195216997284398	0.41185134252366	0.164746537186784	0.362414386859969	0.89121796494182	0.661458755486345	0.721019603803151	0.732330179005394	0.389914934532069	0.980392995252338	0.75497347597925	0.739454690490557	0.0454093615435856	0.491915856269967	1.52865217813547	0.919941889004967	0.708937090314219	0.548339206874052	1.21284960172422	0.870754873436443	1.06024240978647	0.144765697166949	0.626730207222332	0.993177851655271	0.567988242487671	1.01186736136267	0.337377286938456	0.712718346484805	0.935712245203481	0.608695361102671	0.204891266437889	0.525190220507782	0.65736955238403	0.41527275694889	0.662483565068461
"ALX4"	0.925631147020626	1.15909941368946	1.42440618304233	0.943987107255225	0.888674733562117	1.24876471709693	1.0775400948822	0.842974903942634	1.1410541310794	0.90051565671614	1.46868013770316	0.755707888957408	0.70527410207161	0.955879956513446	0.830391318272217	0.964036916127848	0.937032270427177	1.19356430097894	0.663642865888131	0.726235858486239	1.14808044909427	0.963306914092922	1.03058811860693	1.18859246952494	1.18190407644785	1.12446326960701	0.803483135229915	0.733131436623478	0.80110881279106	1.26161383555665	0.949281481633373	0.999426394950068	0.803093464682439	0.702308366544867	0.934137177923619	1.31705923923772	1.01891732505813	1.10148993147145	1.21773466170346	1.09989580037393	1.01979124865858
"AR"	4.61699886111882	4.88884322908587	5.02873594746296	4.05964228030853	4.13596012308785	3.65130229225839	4.27891234616959	4.58027891304192	5.22197606812208	5.17902821663486	3.79929106452604	4.6309316240819	4.39966378066987	4.38418577305421	4.63783362220042	4.36102524561141	4.39001656962201	4.7319164606059	4.14490231612154	4.06999919213748	4.15055857873075	4.40369077203381	4.40033075834317	4.16870341640722	4.36373245945069	4.71445351660004	3.72222481814814	4.57949090880805	4.63756311452045	4.17868603026385	4.3278187008104	4.69898634000767	4.16205752714199	4.1378866116959	4.29274630587634	4.3798179084576	4.51184504719557	4.48888563629181	4.24223986478371	3.61715559692664	4.06085704743217
"ARID3B"	9.15769330730666	9.01943448794084	8.90444703359573	9.4158731301277	8.91315499504555	9.34328989560554	8.55688655376379	9.04306131488691	8.73836795462084	9.12031723745639	8.80032286928506	9.51346062345175	9.23805314164272	9.22875130877568	9.10306622060887	9.30225515446845	9.91346259785834	8.36334469182584	9.23855709114135	9.2130772975117	8.48724102219511	9.20690149428038	9.18724489206645	9.36668168423677	9.21836410828654	9.41077073486817	8.87993978754413	8.69661483703064	8.72766559078433	9.70899721116297	9.75059301615548	8.61522085320815	9.49038961366426	9.56540788240672	9.89051801982712	8.57458632591197	8.87108622937735	8.90744521330689	7.48402073751159	9.00337779927197	9.3597371444721
"ARID5A"	-6.04247352443191	-6.73625032795931	-7.31468013872287	-6.22903065659642	-6.91681366802136	-6.36937692829829	-6.69705322988785	-6.49200311580147	-6.33632813895388	-6.18570267218396	-5.83784664506759	-7.34984430305298	-6.44922990123496	-7.12739310439856	-6.27297322283421	-7.83274392973557	-7.30198475836973	-6.14981209880908	-7.29989619381535	-7.01124133568822	-6.95495698922554	-7.49367325196242	-7.38432432257824	-6.82974182151107	-7.00074156132771	-7.2931243465855	-6.49794418590371	-7.29758035892456	-7.22397879197312	-7.24303336522585	-7.69744257548564	-6.75813622697515	-6.35927046301209	-7.82787351173269	-7.08252456955259	-6.32544296610846	-5.86869523284339	-6.08930616161712	-6.48696554969368	-6.35823972350699	-6.42291185223609
"ARID5B"	7.71960517353664	8.46123835603535	8.5775658546294	7.73562992021305	7.97820132251119	7.7611214862555	7.25495509715305	7.80012352693391	8.1468227023675	7.73201138653204	7.45070927352931	8.38508675673895	7.87401037121561	8.49639749454539	7.86051538611816	8.6344806265102	8.01278459062688	7.75191166317327	7.85014462147261	8.48511604108811	7.97020474239697	8.76654062517511	8.48132626505534	7.76713620037009	8.35094443361496	8.38644012334786	7.86657995137286	8.32111866072646	8.37988786333607	8.80143394116429	8.4423993486612	7.85124206009645	8.21225590845799	8.6481246217488	8.50746767411704	8.14568810416711	7.39424348166688	7.3947982828391	6.7450170737929	7.83754749984854	8.02872812445293
"ARNT"	1.94079276270933	2.87052790207538	2.55657129123506	1.80150934553364	2.00369959828207	2.05599238272752	2.06385340021973	2.20486337872335	2.41413485960678	2.42132434433252	1.6438352758882	2.36794962820653	2.54609689854843	1.88011458947681	1.55662720065477	2.54512825286609	2.41876461010154	2.48129316584921	1.88844393782844	2.17802541748411	1.92744227394752	2.76351083101871	2.92208020034319	2.17257848030474	2.69525194443913	2.15938060154182	1.7493509115324	2.4612960400855	2.38881760259083	2.19768589195301	2.43973544497026	1.80853214509041	1.34762606241285	2.33449734381872	2.07054591270741	2.30176079451719	1.60644557376988	1.37201704591638	2.86232517048003	2.6652493061393	2.54061889228389
"ARNT2"	-3.6368289030045	-2.47664220025698	-3.0489056039359	-4.14563536756298	-2.67096121365538	-3.71443744230748	-3.38553433405998	-3.33346315461425	-2.80704601133654	-3.30968133534986	-3.32484935844154	-2.89507288177276	-2.95277806555933	-2.98290995733679	-3.70468383657837	-2.3788411339817	-2.83872300229061	-2.1117866166121	-3.06480286250008	-2.22824034196016	-3.71799449175995	-3.21799070112422	-2.89952170261002	-3.48262666878036	-2.67104450074165	-2.87028586911383	-3.74466975761677	-2.81788630255062	-2.3722494581871	-2.26055518120874	-2.91989123138683	-3.47338830139549	-3.86707689571628	-2.84258991703803	-2.64600441458948	-2.85392659867574	-4.04338425683158	-3.96253644875151	-3.06699546453389	-3.25320610276655	-4.15643910494992
"ARNTL2"	9.37530236696139	10.357779883538	11.0143241212566	8.25966769152645	9.73248881423242	7.82716588373014	9.02536171320357	9.78663133593795	9.92941831761198	10.4528470046749	7.92810878630624	9.52154990575277	9.30004951327211	10.2549269952612	9.88374839512467	9.8586811797549	9.376736657	9.19860274863332	9.14482694336608	10.3648315108899	10.1589556217203	9.89072069712882	10.5197944455621	8.25473558762557	8.50425450998334	9.17861925693117	9.43195829042142	10.2240940071068	10.8303163744138	8.6512118342492	9.74132686392051	9.8776830454953	9.62250917975523	9.71419274623998	8.72286076784603	9.0962560253422	8.6153084598005	9.27626803137247	9.18527913286052	8.32646072087072	8.03049296156647
"ARX"	-2.60485278904076	-2.1473946236756	-1.69258699215924	-2.31213632678259	-2.56694274839203	-2.39184416286103	-2.30083234245112	-2.14312596314279	-2.35389230876856	-2.19807932195275	-1.61142657873691	-2.41222688593932	-2.57969870303171	-2.27261573121304	-2.45765853068375	-2.11710516677711	-2.75064097883279	-2.05059167382743	-2.37797127004101	-2.71791098786839	-1.77879539795182	-2.58930693532246	-2.29979467329111	-2.22557088365457	-1.87564096075007	-2.35358590856949	-1.96435166678059	-2.274137999605	-2.51515302013402	-2.58245185630904	-2.48383916733411	-2.49423169641152	-2.82679591923995	-2.13001732741388	-2.56330815350749	-2.442269175974	-2.32211330579863	-2.23377446810719	-1.21116648673739	-1.87223367042176	-2.3212213221151
"ASCL1"	0.544710543414565	1.09454786333299	-0.104400243936401	0.278319632700449	0.704743616628894	-0.460320286788384	-0.544883470284674	0.646308312345001	0.365097405340594	0.803672412623831	-0.123393123603115	0.935613521371924	0.723048365993949	0.360887242044468	0.913921927265979	1.05651993392009	0.862877281699122	0.828404263805362	0.334715409823144	0.533919945289416	-0.0341839924898727	0.173502722797099	0.571648362854988	-0.173428464850741	0.565378959662002	0.940079670956258	0.23300868023858	0.535662651722788	0.136724852442887	0.191738357599285	0.449501362274081	0.567582385993191	-0.0463154185212541	1.19145493264214	0.437359357304255	0.602334638890272	0.488901725445391	0.127802405195674	0.721308302734096	0.85077158233637	0.0447806997324805
"ASCL2"	5.56193067419264	6.59053673191058	5.62671571227858	5.70310526569577	6.54827829021435	5.21762347267902	4.04460610167802	6.43646302308937	5.68506724683916	6.4349361102131	4.57158670770564	6.94421574188135	6.69528423139283	7.19234695232718	5.98265497682112	7.39123921829083	7.10822526923058	4.98743408809707	5.64182665583177	7.13597558601882	4.80093836479698	5.69607676307306	6.50488449368055	5.04506705899339	4.72123565720845	6.34583291600729	6.37647069520577	6.74651747880596	5.58137985758236	5.22616363448695	6.91987048571044	5.77150513228449	6.20634178293304	6.5498234028085	6.99573528892704	5.08726065942925	5.74683294303846	6.01095298261977	5.18513594475339	4.85653523298592	5.31072222800521
