""	"0_6_S6"	"164_S75"	"168_S79"	"176_S87"	"177_S88"	"178_S89"	"182_S93"	"186_S97"	"188_S99"	"205_S116"	"IM42_S23"	"IM59_S26"	"IM90_S30"	"34_S34"	"34cont_S35"
"285464"	0.819587416457208	1.51360326051073	1.39735586418673	1.03899427502607	0.988823580378075	1.501473769301	1.42562622681609	2.15441250249409	0.818701198788654	1.31321839186833	1.04062308505052	2.05802051493845	0.861462461809739	1.56584068765969	1.59611513642629
"9220"	-0.747428884645795	-1.34966547162586	-1.54928155977371	-1.32051278597994	-0.735037663780937	-1.23193475847011	-1.50577349993071	-1.01596841407329	-1.18559444642711	-1.13588740964665	-1.28399185310033	-1.11374038699734	-0.557405858155665	-1.35190504587673	-1.25112368916332
"AATF"	3.1236482889122	2.9273896363359	3.45353549123214	2.78566160470839	3.58229739414381	3.2114148997623	2.47208914046171	3.56358563446935	4.02304556790663	2.90323667174455	3.40351758914825	2.68720099975187	3.40574389656916	3.31623867074242	3.1015244040192
"ABCA1"	-1.58701915175013	-1.58749260649015	-1.01632614661059	-1.03361135174191	-1.92227421105642	-2.2203324767766	-2.14877733968462	-1.85355274876921	-2.00546260085817	-0.476994096395722	-1.95534403587914	-0.623911337637021	-2.94885554484068	-1.81656041896093	-1.41326136106987
"ABCC8"	-1.77839909455111	-1.43870911378804	-0.861858433015071	-1.66666032198554	-0.990646140937289	-1.3157209977427	-1.36660056380129	-1.32951457843389	-1.29060476638386	-1.72952872522322	-1.06439005825036	-2.00174404420574	-1.16498821389504	-1.06609748147882	-1.05478620052484
"ABCC9"	-3.48241138258456	-3.73619805325514	-3.75237919546277	-3.41251248140611	-3.95526512201416	-4.09405089109054	-3.52976052975017	-1.23031183939325	-4.50819094206882	-3.35384981639256	-3.03150462302226	-2.76253019545703	-3.42210178363087	-2.78238454328638	-2.62310293379153
"ABCG1"	-0.705044725635056	-2.81101049503102	-2.52518013166411	-0.623864889860416	-2.82439723971379	-2.75366727594671	-1.23389352002134	-4.05827834699756	-2.69948606417134	-1.66553276331165	-2.55631977306217	-2.79743300570559	-0.773698866712957	-2.67228068831309	-2.67902765520986
"ABCG4"	-2.08342328543608	-2.90043989907674	-2.63685948608539	-2.72234182181746	-2.48248649370663	-2.4415190247909	-2.33719568737397	-2.35797165890491	-1.73412247891754	-2.33836353500622	-2.52533718217362	-2.29752582260245	-2.65498100222289	-2.36754444637516	-1.95451851742886
"ABI1"	4.22804061576959	3.41201196788068	4.77706416215886	3.12422094580572	2.74874327469541	2.700660274173	3.27134580244927	2.3526825744039	3.92394475948658	4.50207977448389	3.67480894247189	3.85329553331248	3.32319296966839	3.03887722493928	3.17946017829521
"ABL1"	2.60232600406075	1.67628037442906	1.5095195269633	1.9889170430394	1.94170936347229	2.67171448287616	2.20197628588916	2.85483279452909	2.01615959127235	0.93059482500936	1.94515909954297	1.47326879241839	2.71462311531915	1.75081946933274	1.58253545758544
"ABL2"	3.04080717686266	1.53012592377799	2.19317090481645	1.00848663389838	0.0957191852046007	1.23496892533458	1.57498924868561	1.55633917226719	0.906867153503973	1.72861166917723	0.737851397912963	1.27904060582858	1.97501835841598	0.25113732524949	0.556072038813278
"ABLIM3"	-2.33157246715426	-1.52644004925521	-1.06194969876141	-0.0969369497202441	-1.65258282963299	-2.03323238943547	-0.788929470630845	-1.45197515523308	-2.04593496030941	0.967313102886698	-0.38384613207538	-0.449403298562486	-2.40786470519098	-0.390843080018477	-0.278454146242407
"ABR"	-0.872126828817232	0.849580900950636	0.271553066461678	0.869395014659454	1.56713469325821	1.4300471497736	1.02495741939553	1.49581693225233	0.454722620370225	0.618191824445476	0.960119690338689	1.70905227209912	0.060664357503501	1.85477455557918	1.81960180210808
"ABRA"	-4.12121933200164	-3.30302096803849	-3.05873382418244	-3.06750529078564	-3.68954910248305	-3.17131746064232	-3.31111151885214	-3.17739233878081	-3.09520864261339	-2.97358250904403	-3.6340326061107	-2.98625323841096	-3.405851984227	-3.17724022438352	-2.87333098844171
"ABRAXAS1"	2.17207496756968	1.62921107766224	1.5744747900408	2.28487416157315	0.946162949682739	1.12217525242207	1.95273308309509	1.2032846795539	1.40623217140483	1.61993665091021	1.53034426818015	1.15203107480388	2.07054821209626	1.1594896449974	1.29809263136611
"ABT1"	1.19647383112684	2.41547783295033	1.22543420418598	2.38680156382939	3.47982772404854	3.51629426180075	2.59335877000531	2.23765522815148	3.39803607161801	0.7842566885029	2.69440278289501	2.20536969158896	2.63932505699948	3.27521450891678	2.91382155929123
"ACAD8"	0.0221606756318485	0.508136625180361	-0.0732715128003708	0.00767948508715265	0.306266272470822	0.6862209766941	0.832682521274738	0.901719741194624	-0.53345067984136	0.192733053383106	0.106610212073518	0.71191240526111	0.0750315560597647	0.647519511603311	0.744924418193406
"ACAP1"	1.17383722003071	1.98137457146349	0.812727273016665	1.72602714233281	3.05304283417403	2.70560177702432	2.09617821764758	1.95217457879862	1.88058746090542	0.566001983251223	1.87437933758787	1.53648725992886	2.39268472165778	2.35157512371128	2.05676194679278
"ACAP2"	3.13818567435174	2.72481331926421	4.75413810519343	2.36254825582441	1.51760594671388	1.81332435353943	2.19459146167409	1.49050440286293	2.54221292051157	4.76343440975201	2.73117879961843	3.63481739437473	1.64220550572848	2.26986240359788	2.66690425238597
"ACAP3"	1.30405565617277	3.2754538276327	1.92918616379224	3.05014533397684	3.5874849885088	3.83728466166246	3.88490626254712	3.75991457804968	1.67869776579414	1.9567458335783	2.78773238517436	3.66212592286227	2.38658180853456	3.84767503022175	3.55689444354596
"ACIN1"	2.81422109932325	3.2246499127847	1.70819363410121	2.30985065983874	1.83996025006126	3.17963306845612	2.8886398863871	3.57650541204317	1.12755109531438	1.85790521906368	1.95864041278247	2.52580865804214	2.9256191303608	2.34967961010974	2.09425441039463
"ACKR1"	-3.02413236481704	-4.60076308169398	-8.04729468683611	-2.15748154566993	-4.33341823575185	-4.13793913766384	-4.62271216552879	-1.97577155606632	-6.19603926634469	-6.73778463769362	-3.02455370969297	-4.18631627296497	-3.23649438609757	-3.98028178256666	-3.80419296110409
"ACKR3"	0.14373990797447	-0.0687095205085695	0.0917663104713572	1.15428798239207	-0.293641313655348	-0.300721428178675	0.716065827187309	-1.14003214951071	-0.209737892917266	0.542357997623653	0.237473344626868	-0.435847831064458	0.426002519034116	0.0605820870566845	0.0391817874416751
"ACOT11"	-0.868076081548846	-0.45483014696443	-0.42311258559759	-0.644549166260632	-0.606788357279125	-0.405584551330775	0.0492801387346867	-0.652388599048302	-0.89096930614291	-0.920023917317495	-0.592003968269011	-0.754007154418711	-0.108185121795229	-0.403002460156852	-0.534527633339647
"ACSL6"	-3.50051223974537	-3.47441005882022	-7.77301676035594	-1.22305289602621	-4.2085801096747	-3.5460212659388	-3.18949207192433	-1.70616003726513	-5.92033428528687	-6.32525235955939	-3.2176446262883	-3.49441946386897	-3.22671339770011	-3.44834792920527	-2.70369674424088
"ACTB"	2.26225356710568	4.21783086768427	4.57132434113651	4.16672096192217	4.95619680714235	3.73782157588463	4.22616379983621	3.67807997920137	4.04869430919887	5.91331749512675	5.00597830130464	5.37761384123052	2.70743657655232	5.1907096650026	5.10688497663748
"ACTL6A"	3.22566947009643	2.54955783977415	2.36083873641753	2.81439994021455	3.34182346487909	2.40295737182371	2.23724315554927	2.73702291473679	3.29124078172683	1.58971607084965	3.30010814217122	1.35094734520224	3.63118667423351	2.54750213765906	2.49544307432988
"ACTL6B"	-0.292695090031671	-0.98305361793952	-1.47958880318031	-1.83893371670496	-2.42993072274084	-0.726699381521242	-2.06342449577677	-2.00309360921022	-0.871621808769121	-1.62949715406365	-0.737182994664512	-1.39838143372362	-1.75437741543932	-1.78229164681671	-1.85796482327593
"ACTN2"	-0.606360591108553	-1.17629840417683	-0.677635818073591	-0.606401897588901	-1.07502578749193	-1.13340549721948	-0.6315092850032	-0.502709326175023	-0.800882494970107	-0.571922235196273	-0.606395608293675	-0.563261879405912	-0.669039776864513	-0.558047723217235	-0.534646056294064
"ACTR5"	1.70020048340791	2.13444551818536	0.164532363812271	1.64705889268558	1.24125875874688	3.48363829142307	2.4315369822797	2.47846171787964	0.915519897978388	-0.187018522055924	0.523543501810039	1.38327694769875	2.51945010541348	1.46273537083297	1.60532592465859
"ACVR1"	0.0897633823449885	-0.221634182151631	0.303565937629652	-1.12436914068388	-0.489207759738449	-0.0715308157118624	-1.07451544326164	-0.642069418427732	-0.163445459248683	-0.170941717137325	-0.448208863612596	-0.125511319385358	-0.536536073529966	-0.616062195989221	-0.578628653481082
"ACVR1B"	1.09840646168865	1.75760214806554	2.238094373973	2.06823571944641	2.4250590780491	1.90206746384089	1.33542485029174	2.55440405412533	1.7670691125859	2.39531507387995	2.49894856567203	2.98075710237436	1.07193065670855	2.46291399079216	2.48425142967645
"ACVR2A"	-3.9894293338135	-5.20528575935044	-4.16137340591309	-4.55321847190929	-6.26073846636238	-6.07680847211214	-4.36212153320846	-3.90634244157185	-5.26883843693958	-3.67757380734142	-4.2089597461818	-4.35805382794512	-4.25991053695803	-4.57757895331864	-4.49747209256521
"ACVR2B"	-1.0995264424288	-1.76472100143194	-1.16240549810237	-1.46251819922971	-1.90223883617961	-1.59620691907089	-2.05094491918921	-1.43037403017921	-1.8680630242833	-1.29324864212095	-1.72119094007415	-2.10312397167369	-1.60572708736244	-1.76579280574632	-1.27567779075701
"ACVRL1"	-3.90975604418572	-2.62580488139994	-2.73446545493616	-1.66715493008074	-2.48910067570039	-2.86516684610348	-3.07492852027709	-1.68526769630798	-3.42910866016582	-1.09807837689855	-1.45881304194554	-1.51911740590893	-2.83701769514269	-1.12963318181749	-1.64935987685805
"ADA"	1.79542389240628	0.121606213544424	-0.108199174170281	-0.44773940827875	0.142878377678116	0.679156749967372	0.251664230341173	0.25761803212768	0.574952793624932	-0.768445300296381	-0.262892593374483	-0.75438165708242	1.40305864732958	-0.56938663943882	-0.587758861997052
"ADAM10"	3.2733081435625	3.64245780727634	4.94184896928479	5.20981567415479	3.68407840853	2.90724065378939	4.16328439002831	2.90401629879796	2.89691013229744	5.75606204361128	4.4508396724332	4.6623486940913	2.43939325602473	4.05619313576285	4.37638341647857
"ADAM11"	-1.65851849819071	-1.64942139739951	-2.40571892931525	-2.53091117821652	-1.32020170932731	-1.76862857091473	-1.96130152379841	-2.08728551691394	-2.89193744580539	-2.36818355851849	-2.52761999345162	-2.13650329679935	-1.89262129064653	-1.85785330184674	-2.68377970042722
"ADAM17"	3.86828733870292	5.19974673023769	5.19383606206085	4.52417402178458	4.6796865238551	5.11312842462323	4.17609413461253	4.6091287047964	4.87082458628029	4.90894470990402	4.46512653557406	4.83466998520997	4.40737283075647	4.81638543795677	5.18035764561923
"ADAM9"	-0.166822023116806	2.47194494208257	1.83827032884424	2.68080998052547	1.97735767269228	1.83007779407856	2.20126564688022	1.94667721947798	1.42890836902839	3.39225333590892	2.4791434718594	3.55193912739531	0.189585238192366	3.66388312046761	3.1556640200666
