""	"SRR12097378"	"SRR12097379"	"SRR12097381"	"SRR12097382"	"SRR12097383"	"SRR12097384"	"SRR12097385"	"SRR12097386"	"SRR12097387"	"SRR12097388"	"SRR12097389"	"SRR12097391"	"SRR12097392"	"SRR12097394"	"SRR12097395"	"SRR12097397"	"SRR12097398"	"SRR12097399"	"SRR12097400"	"SRR12097402"	"SRR12097404"	"SRR12097405"	"SRR12097406"	"SRR12097407"	"SRR12097408"	"SRR12097409"	"SRR12097411"	"SRR12097412"	"SRR12097414"	"SRR12097415"	"SRR12097417"	"SRR12097418"	"SRR12097419"	"SRR12097420"	"SRR12097421"	"SRR12097422"	"SRR12097423"	"SRR12097424"	"SRR12097425"	"SRR12097426"	"SRR12097427"
"285464"	0.849544487685517	0.977946012753349	1.0260815256894	0.509717001442911	1.15582191023481	1.14072853054767	0.341203748246519	1.08252269922259	0.72253871813414	0.774412385550888	0.401494827459088	0.951583729600797	1.12472049404411	0.630418814881274	1.28583672493718	0.877890301765928	1.16189828331669	1.17742054384935	1.05877958218205	1.3597522776682	0.223432038687695	1.07277126795692	0.692918307191324	0.807841810110977	0.57341250457477	1.25451123646028	0.994326868948846	0.757983571551084	0.984976854063118	1.14909742295875	0.919579645327278	0.92544673659525	1.20385619765163	1.37077115839099	0.901592452706153	0.977126846798842	0.639620010837264	0.763722836943197	0.63213176811342	1.07328799690338	1.03734769095355
"AATF"	1.57587819784479	1.95182087102112	1.45194113569241	1.57657363909943	2.08931538597194	1.52351873711682	1.32783219238072	1.87572569682785	1.892767887185	2.13774990522843	1.45016817113231	1.78772799555172	1.45215121605922	1.82107240263575	1.90079034755897	1.82597083876026	1.63047677462415	2.10079071370325	1.29016189026797	1.54730169906949	1.87967952567918	1.21164134458688	1.57212517684097	1.3610292677595	1.8621712457914	1.59500813378382	1.49185941622896	1.91940415502263	2.1404483575628	1.40458754138992	1.45425226153428	1.68384696835941	1.54355961464453	1.85253774684516	1.43622147604174	1.80026559413064	2.14049822125698	2.21151509208561	0.968164085319045	1.75233607932983	1.28681335941858
"ABCA1"	-0.943563888212138	-0.327272536117737	-0.130685220117454	-1.14006177442454	-0.284298634606523	-0.526720400603483	-0.971731822712716	-0.553674365111243	-0.528399082325854	-0.534841090711021	-0.989472834523536	-0.405252467560987	-0.904803749558996	-0.441361470124519	-0.615932000456339	0.243198952106423	-0.516852520810374	-0.52968571944524	-0.641612754272158	-0.358841698401329	-1.43743520332352	0.0568317891944154	-0.205953436898165	-0.25220745731063	-0.41360430943953	-0.267769293843899	-1.0612313547129	-0.702220805275526	-0.5471246983184	-0.303952574210902	-0.287571202550917	-0.479460412926215	-0.403043073289036	-0.229047497646861	-0.225220490055157	-0.492113161979992	-1.34380431815155	-0.724063511750064	-0.542410172151118	-0.787534080298135	-1.33560327811959
"ABCG1"	-0.403037392016696	-0.789246244610888	-1.5804651620405	0.190457801860965	-0.653938050326319	0.947722378364667	0.168141468177838	-0.376035547029287	-0.61176883838512	-0.534051785886428	0.78441359546279	-0.572466607732655	0.0803276807736572	-0.67584282260216	-0.453021528324424	-0.583224554642276	0.0998592839405127	-0.482127360787102	0.0595060746359073	0.00202596227554411	0.42244866486843	-0.229376069146784	-0.641135726538661	0.874792531921691	0.530643108571499	-0.221855314176834	-0.766304616414513	-0.322903797160504	-0.12168661820246	0.164076210330813	-0.192334735953411	-0.299661212061973	-0.476605517866218	-0.065427861127649	-0.447840618224043	-0.189816908668903	-0.219264160565687	-0.471523745584976	0.0300427882570482	0.265201486476785	-0.102539310609257
"ABCG4"	-1.31783093048028	-1.15184373593156	-0.479187502243867	-0.975232028943858	-1.19813268962795	-0.435521493235309	-1.79361837029897	-1.27283193843605	-0.900133555604061	-1.54415711393445	-0.429574837520818	-1.02725929683684	-0.877464768399368	-0.455732264545992	-0.594045695519145	-0.878498508792819	-0.653144480382012	-0.612794074556668	-0.714118617963468	-0.063356733048795	-0.954037127467379	-0.609750513559807	-0.0927191740450464	-0.394882988289571	-0.472339866524848	-0.399701605289687	-0.368912816646082	-0.990361386708749	-1.23798279892033	-1.42600566914393	-0.404480971934678	-1.35162664440165	-0.0829455031979456	-1.05586276423007	-0.279846852209005	-1.06811143543751	-1.43066074776851	-0.503518146967346	-0.059095229444501	-0.84909857213873	-0.627675281467762
"ABI1"	1.47672169229549	1.54178128567787	2.39315336510004	1.26480277296786	1.48677583721956	1.32448422288529	1.76139348719221	1.11035611227004	1.41074790791245	1.40547766937018	1.20196204002956	1.60994245491851	1.45245051483113	1.14828852318115	1.37066247095713	1.63862938936019	1.30540802765695	1.48843327953225	1.37143245071945	1.63337126560101	2.04514419639204	2.08556746569465	1.99912912042811	1.49224352928692	1.94481879773529	1.59462217408472	1.31415699485446	1.64110791633826	1.56066128285119	1.3348539120451	1.51520461978276	1.29601429023551	1.44043376431863	1.56305090699253	1.25697029262496	1.57408006168491	0.987681576396522	1.30780371405577	0.775737559080602	1.23922426463308	1.07834784037619
"ABL1"	1.41068933661494	1.31788960045345	0.589190004291958	1.41119871287219	1.18966850806254	1.83522860031409	1.01792899952542	1.45357282853432	1.21958438803504	1.22849900590626	1.94013302134609	1.29582515234508	1.08935736828981	1.42586796723497	1.49239100433504	0.976765922625843	1.24532856725048	1.43500080460303	1.47562141744648	1.14314184180662	1.15721625897905	0.803142703843493	1.17495959023587	1.86399407848231	1.0778714000224	1.46060615276783	1.84820410823909	0.785704211050832	1.35512394549858	1.34775386517811	0.831011869737011	1.40158033887452	1.61634790124002	1.02715567113707	1.06725162968249	1.20251897375991	1.33629866881592	1.48312146534228	-1.75955897379288	1.34554124803327	1.84387371204257
"ABL2"	1.23266052954131	1.11978025319235	1.59245177707031	2.16066678433694	0.633880465863731	2.24987590770214	2.13157425941368	1.16905267760039	1.37108528250426	0.734221730547723	1.95216714171181	0.797348558265535	1.38665832259777	0.829214618348076	1.33886032307649	0.762369660826036	1.24731405349534	1.01976816599191	1.53689284920515	0.871005081775309	1.77867282765931	1.96607063550733	1.39077254383769	2.52985430106566	2.40595602801143	0.908839312806174	1.1180106992276	0.791575011703173	1.14922554787952	1.57561984155514	1.38427651987056	1.20380599590847	1.08248734254206	0.891882872425978	1.24726395382452	1.55145500080579	1.56346909890586	1.50551499535201	1.87449312534191	1.73857941722773	1.84223590978335
"ABLIM3"	-0.578757319808237	0.240478449411377	-0.173693634062085	-1.13761452643305	1.03945536816542	-0.81918217277739	-1.14693207141697	-0.190191434987724	-0.12402734856128	-0.258929839619778	-1.0079061636453	0.632628972912596	-0.441088345461322	0.330115713004597	-0.472636459345319	0.946724245740562	0.307594099803887	0.0594153508044739	-0.212523440933737	0.689258422112669	-0.467371186070054	-0.0897500010974241	0.231935063259253	-0.622813704661719	-0.233987853645836	0.16790288540665	-0.69786105863115	1.0382417782377	0.172739901425506	1.03010318513722	-0.080696727664959	-0.0558969152968407	-0.158076192715432	0.269608338320996	0.256882455788699	-0.167365745953065	-1.04710401356286	-0.640906732855743	-0.386280399693294	-0.211322469073187	-1.35194898696176
"ABT1"	1.07604608683981	0.858310051588708	-0.195774986574279	1.01986079941873	0.87470413115298	1.11427750840032	0.811818190009966	1.27193881829496	0.994200921974982	1.24568394031919	0.843006278651963	0.982179117280227	0.833312886096412	0.888132734277749	0.974770370281173	1.16492715833731	0.873038339432442	1.00707157983749	1.18741582007557	1.44477686681471	0.65106494069584	-0.241589822918156	0.500257931582772	0.43090658973848	0.104000145239926	0.804726586982868	1.36344224477587	1.28176646642855	1.08527579762893	1.08832793716489	0.754073653669372	1.16223590504286	0.963733829678238	0.834602468337106	0.737313627711	1.01099097187653	1.29197182433583	0.94431131004442	0.233331732856886	1.14824667974491	1.26044408561616
