	TF	size	nes	pval	pval.fdr
1	THAP4	483	2.7253700451437	0.00642294556717271	0.990622577915377
2	BRF2	173	2.65015006543709	0.00804560256423582	0.990622577915377
3	YY1	34	2.62483780330485	0.00866902524524385	0.990622577915377
4	ZNF595	38	-2.2756312896855	0.0228680869495667	0.990622577915377
5	ETV2	447	2.23194315439968	0.0256187202265665	0.990622577915377
6	NFIX	424	-2.1805740882721	0.0292149334079106	0.990622577915377
7	GFI1B	10	-2.06988372587924	0.0384632342869775	0.990622577915377
8	NR2C2	41	-1.99870436954382	0.0456403499597222	0.990622577915377
9	CUX2	197	1.9630413232036	0.0496413726337056	0.990622577915377
10	ZBTB45	317	1.89764193404889	0.0577432664427437	0.990622577915377
11	ZBTB11	8	-1.89705481151881	0.0578207043794143	0.990622577915377
12	NFAT5	400	-1.87253879571711	0.0611320998090494	0.990622577915377
13	GLI1	35	-1.8541422537669	0.0637188110026572	0.990622577915377
14	ZNF423	490	-1.8536019282073	0.063796131544196	0.990622577915377
15	SPIC	171	-1.83810998878375	0.0660461995947798	0.990622577915377
16	CTCF	62	-1.83378595142421	0.0666857739202164	0.990622577915377
17	EGR3	214	-1.82533777353379	0.0679500732854722	0.990622577915377
18	NOTO	146	1.82085117492694	0.068629482766325	0.990622577915377
19	HEY1	171	1.77595675820217	0.0757400446891259	0.990622577915377
20	UNCX	248	1.77423956085942	0.0760235330203358	0.990622577915377
21	VSX1	88	1.74092842397456	0.0816961256356247	0.990622577915377
22	FOXN4	23	1.73224485080383	0.0832299765419163	0.990622577915377
23	DLX4	187	-1.68875271079445	0.0912668296358685	0.990622577915377
24	NR4A2	364	-1.6881278307234	0.0913866930823097	0.990622577915377
25	HOXB3	256	-1.65834634389114	0.0972475799266361	0.990622577915377
26	FOXJ1	68	1.65113167781356	0.0987116901904584	0.990622577915377
27	FOXK2	26	-1.63773501003244	0.101476983980414	0.990622577915377
28	ZNF444	264	1.63061919692255	0.102970695947689	0.990622577915377
29	VSX2	84	1.62746060617396	0.103639308719333	0.990622577915377
30	MSX2	167	1.61980753667741	0.105273626814336	0.990622577915377
31	ZNF736	157	-1.61541933316653	0.10621991629895	0.990622577915377
32	ELF4	443	1.58585070377258	0.112773180636157	0.990622577915377
33	TRPS1	144	-1.55509830528855	0.119922658525138	0.990622577915377
34	HOXA11	181	-1.55043046491703	0.121038231138979	0.990622577915377
35	ZNF678	148	-1.5341814939882	0.124985009047523	0.990622577915377
36	ZSCAN4	178	-1.526156608839	0.126970866806262	0.990622577915377
37	INSM1	336	1.5085601417155	0.131411226477921	0.990622577915377
38	TET1	120	-1.4486781389362	0.147427488273939	0.990622577915377
39	RHOXF1	159	1.44782334007164	0.147666463472222	0.990622577915377
40	ZKSCAN1	19	-1.42738005772239	0.153470375841353	0.990622577915377
41	TBX4	180	-1.40939710117892	0.158717780744722	0.990622577915377
42	NCOA2	9	-1.36927784592491	0.170912440350795	0.990622577915377
43	ETV1	9	1.36334616510509	0.172773439064063	0.990622577915377
44	ELF2	287	-1.32651987684542	0.184667555695519	0.990622577915377
45	ZNF684	88	-1.31777738754548	0.18757817970057	0.990622577915377
46	ZNF141	131	-1.28798055011455	0.197752733786551	0.990622577915377
47	ZNF721	129	-1.2856343831282	0.198570691201731	0.990622577915377
48	ZNF483	117	1.28425062836513	0.199054275671254	0.990622577915377
49	ZNF827	102	-1.27710841960199	0.201563972763449	0.990622577915377
50	ZNF117	91	-1.27698649376412	0.201607015630104	0.990622577915377
51	ZNF784	192	1.27498269431377	0.202315367380455	0.990622577915377
52	MBD1	18	1.26832824381105	0.204680754863917	0.990622577915377
53	ZGLP1	264	1.26164894878398	0.207075134411546	0.990622577915377
54	TP53	115	-1.25649620402039	0.208936121342425	0.990622577915377
55	HMG20A	251	-1.25591537576012	0.209146653262725	0.990622577915377
56	EHF	9	1.25516023898658	0.209420596236011	0.990622577915377
57	PLAGL1	226	-1.25213869263734	0.21051933078741	0.990622577915377
58	ZNF283	84	-1.25162758774348	0.210705597166729	0.990622577915377
59	ZNF513	348	1.2488447944961	0.211721846525356	0.990622577915377
60	ZNF467	246	1.24716470571626	0.212337111298704	0.990622577915377
61	RFX7	185	-1.24613648943373	0.212714290583538	0.990622577915377
62	NKX6-2	203	1.24376004764738	0.213587888553562	0.990622577915377
63	FOXQ1	323	1.22439438336989	0.220803487098291	0.990622577915377
