""	"SRR12097378"	"SRR12097381"	"SRR12097382"	"SRR12097383"	"SRR12097384"	"SRR12097386"	"SRR12097387"	"SRR12097388"	"SRR12097389"	"SRR12097391"	"SRR12097392"	"SRR12097394"	"SRR12097395"	"SRR12097397"	"SRR12097398"	"SRR12097399"	"SRR12097402"	"SRR12097404"	"SRR12097406"	"SRR12097407"	"SRR12097408"	"SRR12097412"	"SRR12097414"	"SRR12097415"	"SRR12097417"	"SRR12097418"	"SRR12097419"	"SRR12097420"	"SRR12097422"	"SRR12097423"	"SRR12097424"	"SRR12097425"	"SRR12097426"	"SRR12097427"
"285464"	0.815199458784373	1.02497095474901	0.509184710261396	1.14589387800923	1.22625978900616	1.07374714784573	0.722221287253479	0.773069725036037	0.386319744708397	0.945887375159492	1.10219852360024	0.628721857890393	1.28018315864372	0.876948976678706	1.14186731578253	1.17437593908638	1.35459623320405	0.222722690356899	0.69320373122648	0.80273747825466	0.571405334701572	0.767100947368596	0.98088326013172	1.1419234707948	0.910724850518447	0.913244390781577	1.1963282303366	1.37951917151731	0.967912777163853	0.630665248650865	0.763150013630531	0.617584013228732	1.06488547621111	1.03519818615397
"AATF"	1.58077849346075	1.45477351425898	1.57689120422247	2.08765099780175	1.52749894857482	1.87604302350262	1.89350831006194	2.13635311270954	1.45003217725733	1.78921430638006	1.44089258924175	1.82420551464386	1.90036517336254	1.82625300686846	1.63083517577606	2.10076844464387	1.54978528045666	1.8655062831633	1.56967501461643	1.36289954876316	1.86355057368808	1.91962874099134	2.14200931047067	1.40545479251463	1.4555647564273	1.67857513723732	1.54266838087779	1.85220415730525	1.80273562148755	2.14037423030727	2.21410381861829	0.971205980370074	1.75296799560473	1.28513149421652
"ABCA1"	-0.921692239004609	-0.138019916792466	-1.14302553357242	-0.283930387286817	-0.526742504422215	-0.553700811778627	-0.529472022842543	-0.536153712649675	-0.989769956372678	-0.404467016309891	-0.894609314646757	-0.43080344775522	-0.605305059269063	0.224234481576256	-0.500924340549896	-0.528398380271951	-0.360013270953365	-1.46314138656708	-0.224777330969709	-0.251364570192813	-0.414308557912303	-0.693103497262924	-0.494054437107562	-0.302960958816629	-0.288555699248389	-0.471449622901457	-0.402328120237571	-0.230189444447004	-0.489767849856579	-1.3343600817089	-0.71904686943738	-0.543485700575026	-0.78985035510889	-1.32839861426604
"ABCG1"	-0.404659766884948	-1.59940946046759	0.18962837583691	-0.654959567490685	0.951487652389808	-0.389755946439984	-0.611878880522619	-0.535910483925076	0.784451250836354	-0.575216046200418	0.0783015467001171	-0.677827596981568	-0.455600816273888	-0.584544592941449	0.0994869147115161	-0.483503244192409	0.000963046346755175	0.435677737582738	-0.641926905094001	0.872449855503113	0.526967397761526	-0.322754840375007	-0.133007391590298	0.163761109133445	-0.19463442846973	-0.301888603992006	-0.480288935164601	-0.0676705799775144	-0.192260857846432	-0.221358158778263	-0.474166160146659	0.0278024086420154	0.265279981382986	-0.10306565921716
"ABCG4"	-1.3133328275342	-0.494872817202504	-1.00311193269512	-1.20197309446094	-0.429694728076882	-1.26426089261797	-0.893250379530952	-1.54517887679274	-0.425877169873994	-1.02821381767507	-0.843914724364902	-0.430057055405814	-0.558343026810203	-0.884462583580772	-0.654442332329261	-0.606684054676913	-0.0633804137441657	-0.975132565722852	-0.0926751094657302	-0.394662202839793	-0.469425820324211	-0.985419879589244	-1.22688236715588	-1.42830343921186	-0.400034981677232	-1.35661150606675	-0.0829311369036992	-1.05584750362095	-1.06513908200597	-1.43586064850589	-0.518272057797558	-0.059197473445155	-0.841389286502353	-0.64194136594538
"ABI1"	1.4746464680024	2.39234828518797	1.2621407322384	1.48585790310327	1.32091749167749	1.10935405699099	1.41069154727908	1.40701009497401	1.19917449397732	1.60774371988441	1.44857056350881	1.14917914789158	1.36915388628697	1.63553520740298	1.30856322765191	1.48838193344469	1.63132448094783	2.04238762598312	1.9978479408397	1.49220549979858	1.94334724178864	1.64171962545721	1.56037849331771	1.33607192749471	1.51303965964142	1.29293335937922	1.43924409128772	1.56165444160247	1.57160542414851	0.988089221774378	1.30613437459747	0.775210674774277	1.23893540527677	1.07741716224201
"ABL1"	1.4131625172976	0.592583225994851	1.4126900977633	1.19112239267893	1.83815048665178	1.4593402153231	1.22902401911302	1.22852183937415	1.94400407024462	1.29846972921114	1.09301804389761	1.43024809646815	1.49686930495389	0.983094342398852	1.25116181264032	1.44191627373049	1.12609988317752	1.16068765729266	1.17749642113111	1.856076881633	1.08283915015577	0.78512692582327	1.35774307213654	1.35657425498257	0.831112403936199	1.40317491646908	1.62021665329759	1.02518212903277	1.20326708847995	1.34056924525691	1.48504520225275	-1.76028042374058	1.34729320519007	1.82930341086718
"ABL2"	1.23062268685995	1.59251481809906	2.1598805262873	0.632553432593227	2.24938736890067	1.16679040353533	1.3705280962741	0.734646811265119	1.9542453614895	0.795154918672925	1.38577128552743	0.826998046154861	1.33754782063431	0.761115681058022	1.24704954290177	1.02031566580729	0.867800752283637	1.77868647580862	1.3926527712025	2.52890272576957	2.40782825665209	0.791461910998011	1.14897253440016	1.57447120582878	1.38259168802216	1.20279150596529	1.0809174160185	0.890809035007291	1.55071144243205	1.56580525428892	1.50659984750844	1.87465462220316	1.7363464394628	1.84034778967657
"ABLIM3"	-0.580303090518684	-0.177163136341929	-1.14049523331864	1.04055825469325	-0.821498405951442	-0.193190646547042	-0.125905167935618	-0.262694075007559	-1.00796931991676	0.630870537991314	-0.444930999439549	0.326481949591454	-0.475611177256634	0.945306992386915	0.304155426109252	0.0542698831466251	0.686967087246816	-0.469097697260554	0.229731677669584	-0.625727746654897	-0.235294078060703	1.03528721370832	0.170569862494393	1.02675170466902	-0.0856785182978693	-0.059846745456005	-0.162324018652842	0.266900628664191	-0.170162956202999	-1.04918143285407	-0.645793725106056	-0.39304775271284	-0.215563007631665	-1.354764873485
"ABT1"	1.07682109046145	-0.195885897830732	1.022538075994	0.87454335072742	1.11176169065545	1.27046272916514	0.993819536994315	1.24721870138115	0.844391215965143	0.984202432866778	0.834252926571048	0.888533067807084	0.976039729194185	1.16632354372819	0.873143511944115	1.0083172931104	1.45171497320386	0.653933423228564	0.499659410528424	0.434540688867096	0.104194356713561	1.28376092628836	1.08754418361916	1.10002400998936	0.753944629693023	1.16214853654309	0.965149016759494	0.839776358881521	1.01405365381766	1.28991821537892	0.943934610553852	0.229779440683438	1.14756059104725	1.26048213158129
"ACAD8"	-0.97885315954272	-0.424906532886508	-0.767712250465299	1.11504913130609	-0.694304819502672	-1.29614131521599	-1.64801547448973	-1.33565062602895	-0.589697444251634	1.19016472936622	-0.955934706210688	-0.368675358198919	-1.49881022544559	0.808588599567716	1.17480323513299	-0.576881251970328	-0.874166944184047	-0.972034222745663	-1.23687248374784	-0.620555721698124	-0.403944525149246	-1.03494323080627	-1.6277602149802	0.385351032667534	0.667680794728318	-1.8931994286351	-1.37857667198795	0.604845518555568	-1.17922782369274	-0.473873428753247	-1.08148059643992	-0.570678182904209	-1.05562798238958	-1.04638813423625
"ACAP1"	1.39035425542701	0.768218738619847	1.55117725057828	0.807687327726074	1.40798138229679	1.43711513884061	1.34040365475584	1.25970416411627	1.11390456458617	1.26279223564174	1.43385454047001	1.29401718647065	1.21520465435731	1.25744364384738	1.07955213777701	0.943639596953616	1.19052157796615	0.687605637425181	0.799483791444988	0.991153171461654	0.671375318277996	1.14580404197532	1.0582440345161	1.07945336735467	1.05915150778739	1.02518240573704	1.4575504407736	1.32327328751045	0.571148089836144	1.57533534252796	1.1710145164911	-0.727053464167873	0.740795102257964	1.56395320789635
"ACAP2"	-1.23510904991807	0.834657318362558	-1.13677083061502	-0.624003729855477	-1.31101126292579	-1.36608975056962	-1.25951408563718	-1.14530861142408	-1.04562076566614	-0.964315797257199	-1.26618695064937	-0.931065594460585	-1.03987791394168	0.209037605805708	-0.903710575542631	-1.75171761482629	-0.838939078286858	-0.628075096102368	0.431949462734563	-0.69451262262278	-0.463995415443226	-0.463442414427298	-1.07217160727848	-0.954336948810856	-0.526595367974841	-0.981125439962015	-1.0345600525996	-0.338366772124017	-1.08441762428371	-1.61074457831321	-1.19462205867787	-1.58021522126522	-1.61197971070789	-1.27642909663246
"ACAP3"	2.40053383436051	1.69944993030663	2.50065727152561	2.16732847149108	3.01229182002313	2.59284882806858	2.3806499655936	2.24778218958543	2.13083685699722	2.44359623186758	2.49191429721732	2.44849853578103	2.44595542612079	2.30359619890364	2.40190237836959	1.94381522825475	2.94403076620175	1.10900263511313	1.97590498387796	2.41450886163424	1.80361344346339	2.49799560477569	2.19065047444473	2.99006852183079	2.77279965901538	2.0692721080402	2.94595483441617	2.41921242777201	1.96033619413049	2.12339767323564	2.38212909718372	-0.365678071206209	1.91373157934257	2.85079951258552
"ACIN1"	2.09438097238673	1.42144888986224	2.56238913922105	1.71607429117683	2.75863639346694	2.31418452154698	2.30887720117898	1.47276106249088	2.50199829764965	2.3632721090125	2.61990024559467	1.77110423184377	1.91482105683094	1.43798357175068	2.08771901402472	1.86664190564272	2.00683561713274	1.21263323137987	1.6116290992282	3.04236001280458	1.98101504881384	1.39351398797521	1.79751324258435	2.35194909155473	2.0484647091583	1.76336463894212	2.05313853633105	1.99309647351045	2.16280820301729	2.09387451392793	2.10637862729261	1.14985166226929	2.43561721819872	2.55385055953124
"ACKR1"	0.665683298905259	-0.600922646627671	-2.64921719221515	2.36877495753672	-2.18579190747249	0.531705575574173	0.676849572242459	0.941940446744328	-2.34671373469635	1.0157593945386	-0.126392511181066	-1.21801790184689	0.659413638600863	0.638155110504085	-0.0886513574220905	1.64552743572575	-2.22537067330176	1.14476613590074	0.85076368267855	-1.51779889824855	0.350158627684314	-0.0722135995330201	0.577155754444294	-1.28747009851315	-1.53744449202534	2.2855276175858	-0.998227035138087	0.579471578021561	2.3023007820668	0.178542586330461	1.27318526427642	-0.72408169917405	2.74550624524654	-1.62603079960064
"ACKR3"	0.123222174107842	0.376203308753915	0.358963323555735	0.0273049755330596	0.46639533705768	0.487099276313302	0.400278769799552	0.0975426442765415	0.490191544476726	0.290399589423303	0.637890053060243	-0.0734593326245619	0.390666536062207	0.209362954489227	0.602506910855486	0.148546143197528	0.453256362624095	0.598258616933357	0.620347546592308	0.677872215596986	0.546019145267459	1.03114318361505	0.464643780357916	0.325220198941901	0.516529968853646	0.11125704941129	0.534769853541267	0.415054007208013	0.481979727296113	0.0847776617568325	0.048487524184998	0.695019487310771	0.508192449509882	0.262297107828262
"ACOT11"	0.27497587004402	0.38314160849714	0.363414887620735	0.0266668860437697	0.514253716179801	0.884585830032257	0.721685826327624	0.43583430066609	0.749710986368975	0.341735424191354	0.775825344038285	0.173036005769032	0.543340517153058	0.320428348575344	0.18639243047994	0.638253281716112	0.495438835190976	0.526673656526733	0.504517859499519	0.547494824178672	0.180518295329144	0.210515313792964	0.677573544084377	0.194401302926401	0.306351979059292	0.201202629414592	0.190719866760786	0.581381537017957	0.671295662785509	0.97968454452229	0.375848892228168	-0.32333803729045	0.671445458436017	0.763136129749437
"ACSL6"	-0.0432176613655363	-0.761137282434884	-1.43480221583001	3.25044116156891	-1.95381381190441	0.821343232220309	0.0748587454241693	0.25732324378673	-2.14042048897411	2.09362358142033	0.476528615605868	-0.842475639302896	0.572924789644048	0.944777225375822	0.874647008220168	1.61944786631459	-1.16129060955884	1.47124197704398	0.690096996372514	-0.458583079828217	0.782761478575152	0.709727576492585	0.421566114878194	-0.0182146705924211	-0.653595394264429	2.76649784876948	-0.160626050904436	2.32374709996705	2.7471091251724	0.393346924824787	1.46345574201637	-1.21254844288343	2.67145329805339	-1.00820799243638
"ACTL6A"	3.08976517837175	2.90690879649263	2.84797242735667	2.46601009044218	2.58565684330658	2.56193491182273	2.91067661617322	2.99621840715055	3.57092475605494	2.31578069825921	2.52168865498784	2.49540547220229	3.05004284102126	1.62178107032024	2.1888343518482	3.67110417352434	2.17618681291276	3.96173049936897	2.75546478366679	2.54041637140563	2.89670759509222	2.28263203671191	2.93908461244254	2.27680708901112	2.27732662275565	3.10959524052422	2.79805811277632	1.75584853952252	3.10751619241787	3.24749338853605	2.93371146083302	1.92485997446056	3.08904513482794	2.52437541927305
"ACTL6B"	-1.85516319984497	-1.86131075424705	-1.92852908239728	-1.38837204049233	-0.869211727781816	-1.85065031936985	-2.35575861214716	-1.56849880259072	-0.984295986865043	-1.86406709477971	-1.75238645367453	-1.8006197748004	-1.85269595393939	-1.66227388789812	-1.48036515045405	-1.42004702599167	-1.99212869750094	-1.3826770242428	-2.2824661107771	-0.964783897302308	-0.911519774763985	-0.980804949647693	-1.62263594835049	-1.36872826934767	-1.40976284835879	-1.61548010081642	-1.81762701630943	-1.38186025526915	-1.98173614337247	-1.35579491958524	-1.84841944059529	-1.1294501893383	-0.92602142352593	-0.788844818594421
"ACTN2"	-0.403595270484154	-0.249168722752309	-0.920033848297583	-0.264652779149722	-1.09444802105857	-0.511140381378459	-0.38268631378639	-0.332736102872034	-0.412579947848952	-0.336141939082591	-0.725656925499103	-0.277390835069207	-0.373782123035415	-0.639349780452141	-0.585098228616987	-0.357468795283726	-0.293937905757694	-0.298878152477344	-0.356709413059152	-0.549313240935853	-0.418326885830062	-0.733428723423429	-0.324708694049282	-0.395651197835871	-0.363293666049858	-0.672722710417794	-0.363579865281531	-1.10342441550186	-0.379413655650942	-0.376183053148418	-0.373246847970749	-0.325084819526584	-0.339391092495791	-0.459695742560359
"ACTR5"	2.67454826564935	0.504483166309266	3.29408703656184	1.68089955485062	3.2244670497493	2.38107776767971	2.52910741328464	2.16079859233231	2.28963087610255	2.40821715001939	2.57143333725349	2.22397805183696	2.27610770946861	1.50436230661987	2.34002028411469	2.15306602044302	2.30916141326873	1.24801240381688	0.907128163939355	2.5253146235799	2.25366968434697	1.81852591259333	1.68405130614974	3.22236474739492	2.55008629475155	2.24644533936081	2.46673410724301	2.28961945347965	2.07378419164914	2.71275053970371	2.69832736489995	1.15005995738635	2.57925081557749	3.06664139243412
"ACVR2A"	-2.15399340697308	-1.74071576310739	-2.49265471381082	-1.48403255287295	-2.18473396240966	-2.10192329124912	-1.87936431610418	-1.7591870992936	-2.91857746965823	-1.54542182316529	-1.70156986198808	-2.0839739467225	-2.23367191465244	-1.67131804407938	-1.80607274048466	-1.71600989078909	-1.90253985487703	-1.69598306493787	-1.2596523231162	-1.86483600133602	-1.27344481439293	-1.77170933033435	-1.79679600287084	-1.0527843753788	-1.68685949490009	-1.99166684543057	-2.02612810211906	-1.24193796903898	-1.85402601170085	-2.24575976396572	-2.23665243687842	-1.65558590236589	-1.64098996763515	-2.10011218665003
"ACVR2B"	-0.678742430671295	0.119014049107104	-0.809689376791563	-0.45583065173875	-0.366884426315979	-0.375199098743138	-0.556288926356592	-0.342796635360456	-0.337755757216454	-0.419544801176511	-0.477406093412754	-0.800105303927872	-0.545528732693495	-0.179453184889337	-0.223828238169047	-0.381482211754147	-0.261795447295678	-0.535687689818769	-0.343858688494331	-0.473552882270896	-0.07994884679466	-0.311393595836581	-0.110996148033353	0.00478060831623173	-0.201731428158183	-0.386370837325268	-0.446347750247095	-0.689814301318922	-0.192673928026615	-0.367876309617674	-0.796286026049082	0.181310932991241	-0.331338216237722	-0.464220254669621
"ADA"	-0.461746801909108	-1.13505391317225	0.235186458196443	-0.836776236087331	1.27680886072284	-0.722481360272933	-0.878726605450351	-0.970522269100872	0.153750096043757	-0.499794107606481	-0.233187491467059	-0.196036196517874	-0.790258045712393	-0.511147856224665	-0.503899155312073	-0.482227633184821	-0.126174069067653	-0.484443057615141	-1.39107974282767	0.860990567458812	0.710735272921781	-0.759296624888266	-0.501780577344755	0.244859089700414	-0.589341441190309	-0.285870444572184	-0.845085728372356	-0.652790278617179	-0.500594450036251	-0.290849650153141	-0.441483801170358	-0.547087328017808	-0.494109094293796	0.155635581495815
"ADAM10"	4.17181939107863	5.78750415314171	4.11561184833834	4.69277124233989	3.82144642350205	4.21649353450832	4.24713090741038	4.34023533790266	4.42154656407035	4.45775543010601	4.43095130322161	4.39878617401476	4.39465710879111	5.22422931097586	4.83219565028119	4.19183386257546	4.89396357308255	4.8081221447175	5.07053447945392	4.4129526242321	5.01399342762479	5.07770753091434	4.43072079265254	4.47608064359974	4.99606629966698	4.07024757242719	4.45706272897309	4.66246578834444	4.58465186239133	3.7832757986961	3.99219399932446	4.40015232491065	4.17977880627018	4.01424463220126
"ADAM11"	-1.4417280965641	-2.34273548951957	-1.24423636692158	-1.81491645149447	-1.53414930620801	-1.45285492835455	-1.72036529568507	-1.53277179512008	-1.44709013455664	-1.77292823261935	-1.64103337028457	-1.16553885203629	-1.46663927105248	-1.88893939586355	-1.57509476455468	-1.90411456854435	-1.20064302831751	-2.46043654904835	-1.68920638996022	-1.52721900370892	-1.7371617876946	-1.82406274393672	-2.00532726565053	-1.0967528019195	-1.37712158702283	-1.55919607857166	-1.53333409870199	-1.32363063988108	-1.90902448995498	-1.19962669210047	-1.38979675685991	-0.714958463565575	-1.95008136165989	-1.47130266586501
