	TF	size	nes	pval	pval.fdr
1	ZNF528	214	-2.89388899176791	0.00380502656847842	0.999321308272774
2	ZNF571	49	-2.71955134796819	0.00653705446460417	0.999321308272774
3	ZNF737	49	-2.38890590149677	0.0168986299172004	0.999321308272774
4	ZNF417	48	-2.25503718167457	0.0241309950466247	0.999321308272774
5	PROX1	10	2.14961013311177	0.0315860662129284	0.999321308272774
6	ZFP30	64	-2.1208886873064	0.0339311708915665	0.999321308272774
7	ZBTB33	7	-2.09515346569116	0.0361573524016098	0.999321308272774
8	ZNF678	149	-2.08438860652645	0.0371248333571578	0.999321308272774
9	ZNF226	130	-2.07244932039245	0.0382235578879581	0.999321308272774
10	ZNF717	104	-2.02723570711748	0.042638313074776	0.999321308272774
11	PAX4	85	-1.98004732185294	0.047698211551366	0.999321308272774
12	ZNF595	38	-1.97454387670161	0.0483199334858931	0.999321308272774
13	THAP9	102	-1.96100273648563	0.0498787036783683	0.999321308272774
14	ZNF91	193	-1.95311648726271	0.0508057937597817	0.999321308272774
15	ZNF721	129	-1.95261886839287	0.050864773680268	0.999321308272774
16	ZNF684	88	-1.93098099469618	0.0534854027675497	0.999321308272774
17	ZNF708	238	-1.8904277294168	0.0587007777338282	0.999321308272774
18	ZNF454	21	-1.88470419712827	0.0594697854007698	0.999321308272774
19	ZNF135	96	-1.87730077680068	0.0604768818277303	0.999321308272774
20	VSX2	84	1.85620512915063	0.0634243252942955	0.999321308272774
21	IKZF2	87	-1.84973172555288	0.0643522255161884	0.999321308272774
22	ZNF701	94	-1.84361616459137	0.0652390985693887	0.999321308272774
23	ZNF211	74	-1.84175572059755	0.0655108896529114	0.999321308272774
24	UNCX	261	1.83909188991757	0.0659016716814417	0.999321308272774
25	ZBTB16	11	1.79972264878297	0.0719044430037363	0.999321308272774
26	ZNF227	84	-1.78503729223757	0.0742552681529509	0.999321308272774
27	ZNF430	126	-1.76668374332449	0.0772812074126104	0.999321308272774
28	NOTO	147	1.75767604064929	0.0788026467861154	0.999321308272774
29	ZNF484	82	-1.75641365349827	0.0790178031979335	0.999321308272774
30	ESRRA	34	1.73401396580511	0.082915605221314	0.999321308272774
31	ZNF283	84	-1.72868204321032	0.0838660168853641	0.999321308272774
32	ZNF835	70	-1.72307253545818	0.0848754087180375	0.999321308272774
33	ZNF195	274	-1.71062233418491	0.0871508533090173	0.999321308272774
34	ZNF85	239	-1.70476505302649	0.0882382516942559	0.999321308272774
35	THAP7	340	1.69323432560027	0.0904108732939779	0.999321308272774
36	ZNF141	131	-1.68803840146336	0.0914038575989472	0.999321308272774
37	FOXP2	15	-1.68408761088234	0.0921647383158834	0.999321308272774
38	YY1	34	1.65120069596376	0.0986976010647181	0.999321308272774
39	PURB	198	-1.63193485392266	0.102693210680651	0.999321308272774
40	ZBTB34	95	-1.61946838910337	0.105346522570586	0.999321308272774
41	ZNF320	264	-1.60176045958822	0.109208589819014	0.999321308272774
42	ZNF776	79	-1.59504641003488	0.110701857923503	0.999321308272774
43	RBAK	112	-1.58618831069681	0.112696598641795	0.999321308272774
44	CUX2	199	1.5721184465953	0.115923084204123	0.999321308272774
45	ZNF404	72	-1.56189289326169	0.118313222957361	0.999321308272774
46	ZNF883	21	-1.53581379195933	0.124584056127033	0.999321308272774
47	RFX7	186	-1.53380476014791	0.12507769159098	0.999321308272774
48	ZNF443	49	-1.52584232117525	0.127049138040945	0.999321308272774
49	ZNF148	5	-1.49506897779276	0.134896441108401	0.999321308272774
50	ZNF146	566	-1.47956965958921	0.13898812845059	0.999321308272774
51	FOXO3	23	1.46845004301315	0.141982016745819	0.999321308272774
52	ZBTB22	192	1.45907113763959	0.144545529174403	0.999321308272774
53	ZNF117	91	-1.45366221598537	0.146039978528027	0.999321308272774
54	ZNF154	25	-1.42962432117172	0.152824871281367	0.999321308272774
55	ZNF597	27	-1.42930083722179	0.15291778548429	0.999321308272774
56	DLX1	255	1.42006064717092	0.155590025707997	0.999321308272774
57	NFIL3	6	-1.4037989468508	0.160378727681676	0.999321308272774
58	HES7	99	-1.40223129219324	0.160846190104481	0.999321308272774
59	ZNF419	40	-1.39529273737088	0.16292758125626	0.999321308272774
60	ZNF837	173	1.39220947810969	0.1638589734634	0.999321308272774
61	ZNF341	364	-1.37321960233832	0.169684087532551	0.999321308272774
62	ZNF180	144	-1.36886742741076	0.17104071916315	0.999321308272774
63	EMX1	178	-1.34270106722593	0.179368789004936	0.999321308272774
64	MNX1	237	1.3339670559067	0.182214653490615	0.999321308272774
65	GBX1	177	-1.33331927372825	0.182427051328721	0.999321308272774
