"name"	"Double_NR"	"Double_R"	"distance"
"67"	"1-Myristoylglycerophosphoethanolamine"	0.145416696580023	0.120639143685138	-0.0291
"68"	"1-Nonadecanoylglycerophosphocholine,"	0.145333401929751	0.120616914407629	-0.0291
"69"	"1-Octadeca-Trienoylglycerophosphocholine,"	0.145333401929751	0.120616914407629	-0.0291
"70"	"1-Oleoylglycerophosphocholine"	0.145333401929751	0.120616914407629	-0.0291
"71"	"1-Oleoylglycerophosphoethanolamine"	0.145416696580023	0.120639143685138	-0.0291
"72"	"1-Palmitoleoylglycerophosphocholine"	0.145333401929751	0.120616914407629	-0.0291
"73"	"1-Pentadecanoylglycerophosphocholine,"	0.145333401929751	0.120616914407629	-0.0291
"74"	"1-Pentadecanoylglycerophosphoethanolamine"	0.145416696580023	0.120639143685138	-0.0291
"75"	"1-Timnodnoyl-Cholesterol,"	0.269076125662564	0.247928242234933	-0.0261
"76"	"1-Tridecanoylglycerophosphoethanolamine"	0.145416696580023	0.120639143685138	-0.0291
"77"	"1-Vaccenoyl-Cholesterol,"	0.269076125662564	0.247928242234933	-0.0261
"78"	"1-acyl-PE"	0	0	-0.0121
"79"	"1-acylglycerol-3P"	0.282978117966866	0.26553138653787	-0.0234
"80"	"1-acylglycerol-3P-bile-PC"	0	0	-0.0121
"81"	"1-acylglycerol-LD-PC"	0	0	-0.0121
"82"	"1-acylglycerol-LD-PE"	0	0	-0.0121
"83"	"1-acylglycerol-LD-PI"	0	0	-0.0121
"84"	"1-acylglycerol-LD-PS"	0	0	-0.0121
"85"	"1-acylglycerol-LD-SM"	0	0	-0.0121
"86"	"1-acylglycerol-LD-TG1"	0	0	-0.0121
"87"	"1-acylglycerol-VLDL"	0.276232150001023	0.259486354584144	-0.0229
"88"	"1-acylglycerol-chylomicron"	0.278272154295649	0.262441313523817	-0.0223
"89"	"1-alpha,25-dihydroxyvitamin"	0.424462355588578	0.40643874156714	-0.0233
"90"	"1-hydroxy"	0.473121444326683	0.455972078368598	-0.0225
"91"	"10,11-epoxy-(4Z,7Z)-hexadecadienoic"	0	0	-0.0121
"92"	"10,13,16,19-docosatetraenoic"	0.275970534653854	0.260054965990952	-0.0223
"93"	"10,13,16-docosatriynoic"	0.339904418749696	0.324813749295053	-0.0215
"94"	"11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic"	0.246813797990104	0.226520303876755	-0.0255
"95"	"11-Eicosenoyl"	0	0	-0.0121
