nodeID nodeLabel DNA_methylation_logFC DNA_methylation_P.Value GRN_size GRN_nes GRN_pval GRN_pval.fdr fPPI_IDH2_vs_IDH1_diff fPPI_IDH2_vs_IDH1_p.val Metabolism_pvalue Metabolism_mean.diff
100 frag_103117 0 1 0 0 1 NA NA NA NA NA
101 frag_103118 0 1 0 0 1 NA NA NA NA NA
102 frag_103121 0 1 0 0 1 NA NA NA NA NA
103 frag_103128 0 1 0 0 1 NA NA NA NA NA
104 frag_103130 0 1 0 0 1 NA NA NA NA NA
105 frag_103141 0 1 0 0 1 NA NA NA NA NA
106 frag_103142 0 1 0 0 1 NA NA NA NA NA
107 frag_103143 0 1 0 0 1 NA NA NA NA NA
108 frag_103144 0 1 0 0 1 NA NA NA NA NA
109 frag_103145 0 1 0 0 1 NA NA NA NA NA
110 frag_103146 0 1 0 0 1 NA NA NA NA NA
111 frag_103147 0 1 0 0 1 NA NA NA NA NA
112 frag_103148 0 1 0 0 1 NA NA NA NA NA
113 frag_103150 0 1 0 0 1 NA NA NA NA NA
114 frag_103153 0 1 0 0 1 NA NA NA NA NA
115 frag_103154 0 1 0 0 1 NA NA NA NA NA
116 frag_103210 0 1 0 0 1 NA NA NA NA NA
117 frag_103226 0 1 0 0 1 NA NA NA NA NA
118 frag_103227 0 1 0 0 1 NA NA NA NA NA
119 frag_103228 0 1 0 0 1 NA NA NA NA NA
120 frag_103230 0.163578549754301 0.00359784683529634 0 0 1 NA NA NA NA NA
121 frag_103232 0 1 0 0 1 NA NA NA NA NA
122 frag_103240 0 1 0 0 1 NA NA NA NA NA
123 frag_103289 0 1 0 0 1 NA NA NA NA NA
124 frag_103290 0 1 0 0 1 NA NA NA NA NA
125 frag_103292 0 1 0 0 1 NA NA NA NA NA
126 frag_103379 0 1 0 0 1 NA NA NA NA NA
127 frag_103414 0 1 0 0 1 NA NA NA NA NA
128 frag_103418 0 1 0 0 1 NA NA NA NA NA
129 frag_103437 0 1 0 0 1 NA NA NA NA NA
130 frag_103440 0.111690353619082 0.0269674450356843 0 0 1 NA NA NA NA NA
131 frag_103444 0 1 0 0 1 NA NA NA NA NA
132 frag_103446 0.111725796076039 0.0488647901450168 0 0 1 NA NA NA NA NA
133 frag_103447 0 1 0 0 1 NA NA NA NA NA
134 frag_103448 0 1 0 0 1 NA NA NA NA NA
135 frag_103449 0 1 0 0 1 NA NA NA NA NA
136 frag_103450 0 1 0 0 1 NA NA NA NA NA
137 frag_103451 0 1 0 0 1 NA NA NA NA NA
138 frag_103462 0 1 0 0 1 NA NA NA NA NA
139 frag_103463 0 1 0 0 1 NA NA NA NA NA
140 frag_103464 0 1 0 0 1 NA NA NA NA NA
141 frag_103465 0 1 0 0 1 NA NA NA NA NA
142 frag_103466 0 1 0 0 1 NA NA NA NA NA
143 frag_103469 0.113787058531819 0.0200101285216984 0 0 1 NA NA NA NA NA
144 frag_103473 0 1 0 0 1 NA NA NA NA NA
145 frag_103474 0 1 0 0 1 NA NA NA NA NA
146 frag_103475 0 1 0 0 1 NA NA NA NA NA
147 frag_103480 0 1 0 0 1 NA NA NA NA NA
148 frag_103481 0 1 0 0 1 NA NA NA NA NA
149 frag_103482 0 1 0 0 1 NA NA NA NA NA
150 frag_103483 0 1 0 0 1 NA NA NA NA NA
151 frag_103484 0 1 0 0 1 NA NA NA NA NA
152 frag_103485 0 1 0 0 1 NA NA NA NA NA
153 frag_103486 0 1 0 0 1 NA NA NA NA NA
154 frag_103487 0 1 0 0 1 NA NA NA NA NA
155 frag_103488 0 1 0 0 1 NA NA NA NA NA
156 frag_103489 0 1 0 0 1 NA NA NA NA NA
157 frag_103490 0 1 0 0 1 NA NA NA NA NA
158 frag_103491 0 1 0 0 1 NA NA NA NA NA
159 frag_103492 0 1 0 0 1 NA NA NA NA NA
160 frag_103495 0 1 0 0 1 NA NA NA NA NA
161 frag_103496 0 1 0 0 1 NA NA NA NA NA
162 frag_103497 0 1 0 0 1 NA NA NA NA NA
163 frag_103499 0 1 0 0 1 NA NA NA NA NA
164 frag_103501 0.117041256536399 0.00776062847475289 0 0 1 NA NA NA NA NA
165 frag_103504 0 1 0 0 1 NA NA NA NA NA
166 frag_103506 0 1 0 0 1 NA NA NA NA NA
167 frag_103507 0 1 0 0 1 NA NA NA NA NA
168 frag_103508 0 1 0 0 1 NA NA NA NA NA
169 frag_103509 0 1 0 0 1 NA NA NA NA NA
170 frag_103511 0 1 0 0 1 NA NA NA NA NA
171 frag_103516 0 1 0 0 1 NA NA NA NA NA
172 frag_103517 0 1 0 0 1 NA NA NA NA NA
173 frag_103518 0 1 0 0 1 NA NA NA NA NA
174 frag_103519 0 1 0 0 1 NA NA NA NA NA
175 frag_103520 0 1 0 0 1 NA NA NA NA NA
176 frag_103521 0 1 0 0 1 NA NA NA NA NA
177 frag_103522 0 1 0 0 1 NA NA NA NA NA
178 frag_103524 0 1 0 0 1 NA NA NA NA NA
179 frag_103526 0 1 0 0 1 NA NA NA NA NA
180 frag_103527 0 1 0 0 1 NA NA NA NA NA
181 frag_103528 0 1 0 0 1 NA NA NA NA NA
182 frag_103529 0 1 0 0 1 NA NA NA NA NA
183 frag_103530 0 1 0 0 1 NA NA NA NA NA
184 frag_103531 0 1 0 0 1 NA NA NA NA NA
185 frag_103532 0 1 0 0 1 NA NA NA NA NA
186 frag_103533 0 1 0 0 1 NA NA NA NA NA
187 frag_103545 0 1 0 0 1 NA NA NA NA NA
188 frag_103551 0 1 0 0 1 NA NA NA NA NA
189 frag_103558 0 1 0 0 1 NA NA NA NA NA
190 frag_103578 0 1 0 0 1 NA NA NA NA NA
191 frag_103610 0 1 0 0 1 NA NA NA NA NA
192 frag_103631 0 1 0 0 1 NA NA NA NA NA
193 frag_103639 0 1 0 0 1 NA NA NA NA NA
194 frag_103641 0 1 0 0 1 NA NA NA NA NA
195 frag_103643 0 1 0 0 1 NA NA NA NA NA
196 frag_103644 0 1 0 0 1 NA NA NA NA NA
197 frag_103645 0 1 0 0 1 NA NA NA NA NA
198 frag_103647 0 1 0 0 1 NA NA NA NA NA
199 frag_103648 0 1 0 0 1 NA NA NA NA NA
200 frag_103649 0 1 0 0 1 NA NA NA NA NA
201 frag_103650 0 1 0 0 1 NA NA NA NA NA
202 frag_103651 0 1 0 0 1 NA NA NA NA NA
203 frag_103652 0 1 0 0 1 NA NA NA NA NA
204 frag_103657 0 1 0 0 1 NA NA NA NA NA
205 frag_103661 0 1 0 0 1 NA NA NA NA NA
206 frag_103668 0 1 0 0 1 NA NA NA NA NA
