nodeLabel	flow_class_1	flow_class_2	distance
RBM26	0.0030204261695842	0.382887998604387	0.2695
LSM4	0.0765074490242669	0.457573076281814	0.269
RAB21	0.0992305174099351	0.436533083065795	0.238
COPZ1	0.0867629912510366	0.400768798244034	0.222
SPHK1	0.135893909871553	0.450695993920965	0.2217
TRAPPC4	0.130186437731629	0.438459924396742	0.2172
SHOC2	0.113406583110031	0.420482657646812	0.2167
MAT2A	0.0355469191900604	0.332555761007579	0.2111
RRP8	0.0205760338925494	0.313941436944127	0.2088
RAB6C	0.130915318118162	0.427030577433285	0.2087
OAZ1	0.144153343632904	0.439432327890132	0.2079
SEC24D	0.129177706042632	0.422961544021291	0.2071
SAFB2	0.162682088788517	0.454091062229666	0.2048
PDAP1	0.0999083124043954	0.383434784597763	0.2005
MRPL38	0.226297332350032	0.512178062303193	0.1998
KCNH8	0.129793673605329	0.408531277912416	0.1966
AKNAD1	0.12177791022506	0.397116910727211	0.1944
ZNF576	0.124395862040458	0.398837561856718	0.1937
KCNH1	0.167268357655064	0.438395161518457	0.1906
MAP4	0.0835308889490918	0.35222695322524	0.1905
ENG	0.153563248074735	0.424085761388166	0.1904
SNX2	0.088839830002389	0.354064956440159	0.1879
NF2	0.122860701758288	0.387442114831263	0.1869
PTPRN	0.175357868189956	0.440549558773855	0.1863
PMPCB	0.131589487687371	0.393923942693482	0.1851
EHBP1L1	0.156829428825423	0.418821496809605	0.1844
ACAD11	0.146082347553657	0.400761662310488	0.1795
ZNF623	0.151731476632005	0.404041800334692	0.1778
SLC29A2	0.147782269959146	0.397116910727211	0.1758
RTN2	0.116289371367682	0.362202793957264	0.174
DPH1	0.149734319583531	0.396443861425165	0.1739
CHRNE	0.175109005475429	0.420656441610851	0.1726
MEOX1	0.182558396511534	0.427795724916456	0.1723
CDHR1	0.143648473705801	0.387084335783088	0.1717
MPHOSPH8	0.0769788699273478	0.317644762463776	0.171
BAG2	0.0694923717563397	0.309757622347502	0.1709
CYB5R2	0.164383949163636	0.407199549435897	0.1709
EFNB3	0.14820190234476	0.389490178961312	0.1701
MAP1S	0.0829492851267934	0.32213589761143	0.1699
ZNF841	0.172123445233076	0.413513982479193	0.1698
FAM153B	0.156718456715842	0.397116910727211	0.1694
GDF7	0.156986618064295	0.397116910727211	0.1692
SURF4	0.135490073265807	0.373755526986395	0.1683
DUSP4	0.135591883845315	0.372689170472126	0.1674
NXN	0.170698191294474	0.406953124915025	0.1662
STK19	0.162061632008519	0.397116910727211	0.1655
CHRNA7	0.168932443708392	0.403567048785357	0.1651
SAR1B	0.0904106280483127	0.320267072547095	0.1632
CNST	0.142264516485003	0.373140937192218	0.163
MAU2	0.0588707417733543	0.287611747609408	0.163
ACAA2	0.138799963590777	0.36860817848211	0.1623
ZBTB2	0.165802701863205	0.395374218249665	0.1616
SEC11C	0.174517727456925	0.402988834508008	0.1607
UBE3C	0.0700419768134364	0.295732849212223	0.1607
NAP1L3	0.155585390012544	0.383331574915528	0.1605
SIAH3	0.169016126043492	0.397116910727211	0.1605
VAT1	0.172473042941059	0.397116910727211	0.1581
ZNF786	0.136200280836981	0.359796184438573	0.158
RALGAPA2	0.179163539874204	0.402812059049552	0.1573
