"name"	"mIDH1_NR"	"mIDH1_R"	"distance"
"1"	"(10Z)-heptadecenoic"	0.731290241633624	0.721180795902937	0.00180299784422878
"2"	"(11Z,14Z)-eicosadienoic"	0.734183486663624	0.720892511096034	0.00482387880849623
"3"	"(11Z,14Z,17Z)-eicosatrienoic"	0.734309655199497	0.72060900594647	0.00522654692308023
"4"	"(13Z)-eicosenoic"	0.735809477167393	0.72325380661798	0.00399828985700535
"5"	"(13Z)-octadecenoic"	0.736173567163595	0.722607327596697	0.00498864259594523
"6"	"(13Z,16Z)-docosadienoic"	0.734095714515603	0.720959001964441	0.00467448938434323
"7"	"(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic"	0	0	0.032298807344335
"8"	"(1R,2S)-naphthalene"	0.793297351544236	0.783914850678471	-0.00236692271037186
"9"	"(1S,2R)-naphthalene"	0	0	0.032298807344335
"10"	"(3E,5Z,8Z)-Tetradecatrienoyl"	0.746924380782754	0.727984450494848	0.00976538903123459
"11"	"(3S)-3-Hydroxy-Cis-8-Tetradecenoyl"	0.751132317467059	0.731019979322676	0.0107041491055678
"12"	"(5-L-glutamyl)-L-amino"	0.733468753139892	0.725577660933452	-0.000536318617437963
"13"	"(6Z,9Z)-octadecadienoic"	0.741105892856397	0.728998713613257	0.00325571242922252
"14"	"(7Z)-octadecenoic"	0.761789676228824	0.75110248778959	0.000687244242247427
"15"	"(7Z)-tetradecenoic"	0.733612908182434	0.721418363158001	0.00375912991995331
"16"	"(8Z,11Z,14Z)-Eicosatrienoic"	0.726460767401428	0.703520817434728	0.0149016610445826
"17"	"(9E)-tetradecenoic"	0.74110546215973	0.729001183846302	0.00325283541415778
"18"	"(Glc)3"	0	0	0.032298807344335
"19"	"(S)-3-Hydroxyisobutyryl"	0	0	0.032298807344335
"20"	"(S)-3-Hydroxyoctadecanoyl"	0.725395752167668	0.70796272424146	0.00945387450587876
"21"	"(Z,Z,Z)-7,10,13-Hexadecatrienoic"	0.74530603247422	0.728912601516505	0.00730874929765702
"22"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.032298807344335
"23"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.032298807344335
"24"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.032298807344335
"25"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.032298807344335
"26"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.032298807344335
"27"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.032298807344335
"28"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,"	0	0	0.032298807344335
"29"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine"	0	0	0.032298807344335
"30"	"1,1-dichloroethylene"	0	0	0.032298807344335
"31"	"1,2-Diacyl-Sn-Glycerol"	0.726460767401428	0.703520817434728	0.0149016610445826
"32"	"1,2-diacylglycerol-LD-PC"	0.74509417216986	0.72879288097299	0.00722837318582926
