""	"x"
"1"	"TTLL10"
"2"	"CDK11B"
"3"	"MIB2"
"4"	"MMP23B"
"5"	"AGTRAP"
"6"	"PAX7"
"7"	"COL16A1"
"8"	"FAM229A"
"9"	"TSSK3"
"10"	"RP1-27O5.3"
"11"	"ZBTB8B"
"12"	"AC115286.1"
"13"	"C1orf94"
"14"	"EVA1B"
"15"	"RP11-268J15.5"
"16"	"SH3D21"
"17"	"OSCP1"
"18"	"DNALI1"
"19"	"RP3-423B22.5"
"20"	"MACF1"
"21"	"KCNQ4"
"22"	"LURAP1"
"23"	"FOXD2-AS1"
"24"	"DMRTA2"
"25"	"RP5-850O15.4"
"26"	"RP11-296A18.3"
"27"	"snoU13"
"28"	"ZYG11A"
"29"	"TACSTD2"
"30"	"HOOK1"
"31"	"C1orf87"
"32"	"SGIP1"
"33"	"C1orf173"
"34"	"ST6GALNAC3"
"35"	"ELTD1"
"36"	"DDAH1"
"37"	"RP11-290M5.4"
"38"	"BARHL2"
"39"	"SORT1"
"40"	"NGF"
"41"	"PDE4DIP"
"42"	"SHE"
"43"	"TDRD10"
"44"	"BCAN"
"45"	"RP11-284F21.10"
"46"	"RP11-284F21.9"
"47"	"CCDC181"
"48"	"RP1-206D15.3"
"49"	"PRRX1"
"50"	"RP1-79C4.4"
"51"	"LAMC2"
"52"	"LAD1"
"53"	"RP11-307B6.3"
"54"	"SHISA4"
"55"	"CHIT1"
"56"	"REN"
"57"	"GOLT1A"
"58"	"PM20D1"
"59"	"G0S2"
"60"	"RP1-28O10.1"
"61"	"IRF6"
"62"	"ESRRG"
"63"	"MARC2"
"64"	"HIST3H2A"
"65"	"HIST3H2BB"
"66"	"RP5-915N17.3"
"67"	"ACTA1"
"68"	"RP11-634B7.4"
"69"	"RP11-978I15.10"
"70"	"OR2T33"
"71"	"ARMC3"
"72"	"C10orf67"
"73"	"RP11-371A19.2"
"74"	"MYO3A"
"75"	"RP11-435M3.2"
"76"	"TMEM72"
"77"	"NPY4R"
"78"	"GDF10"
"79"	"DRGX"
"80"	"C10orf53"
"81"	"C10orf107"
"82"	"AIFM2"
"83"	"PRF1"
"84"	"SYNPO2L"
"85"	"ADIRF-AS1"
"86"	"ADIRF"
"87"	"MMRN2"
"88"	"RP11-96C23.15"
"89"	"RP11-96C23.5"
"90"	"CYP26C1"
"91"	"RP11-348J12.2"
"92"	"FFAR4"
"93"	"RP11-129J12.2"
"94"	"FGF8"
"95"	"VAX1"
"96"	"PRLHR"
"97"	"FAM196A"
"98"	"TCERG1L"
"99"	"DRD4"
"100"	"KCNQ1-AS1"
"101"	"KCNQ1DN"
"102"	"DCHS1"
"103"	"SYT9"
"104"	"OVCH2"
"105"	"RP11-358H18.2"
"106"	"RP11-358H18.3"
"107"	"OR2AH1P"
"108"	"OR5AR1"
"109"	"MIR130A"
"110"	"OR6Q1"
"111"	"OR10W1"
"112"	"AP001652.1"
"113"	"GLYATL1"
"114"	"GLYATL2"
"115"	"PHOX2A"
"116"	"P2RY2"
"117"	"RP11-800A3.2"
"118"	"CHRDL2"
"119"	"KCTD14"
"120"	"RP11-7I15.4"
"121"	"CCDC81"
"122"	"MTNR1B"
"123"	"RP11-676F20.1"
"124"	"RP11-839D17.3"
"125"	"TTC12"
