""	"x"
"250"	"MIR3620"
"251"	"FAM96AP2"
"252"	"MRPL55"
"253"	"GJC2"
"254"	"GUK1"
"255"	"IBA57-AS1"
"256"	"IBA57"
"257"	"OBSCN"
"258"	"C1orf145"
"259"	"RNF187"
"260"	"RHOU"
"261"	"RP5-1061H20.5"
"262"	"TMEM78"
"263"	"RAB4A"
"264"	"RP5-1061H20.3"
"265"	"RP5-1061H20.4"
"266"	"SPHAR"
"267"	"RP4-803J11.2"
"268"	"CCSAP"
"269"	"RNU6-180P"
"270"	"ACTA1"
"271"	"ABCB10"
"272"	"RNU4-21P"
"273"	"RNU6-999P"
"274"	"ZNF670"
"275"	"OR6F1"
"276"	"OR11L1"
"277"	"TRIM58"
"278"	"OR2W3"
"279"	"OR2T8"
"280"	"OR2L2"
"281"	"Y_RNA"
"282"	"OR2L3"
"283"	"OR2T1"
"284"	"AL672294.1"
"285"	"ZNF692"
"286"	"PIP4K2A"
"287"	"RNU6-413P"
"288"	"KIAA1217"
"289"	"CSGALNACT2"
"290"	"RP11-351D16.3"
"291"	"RNU6ATAC11P"
"292"	"FXYD4"
"293"	"HNRNPF"
"294"	"RNU7-193P"
"295"	"ZNF487"
"296"	"CAP1P2"
"297"	"ZNF485"
"298"	"ZNF32-AS1"
"299"	"ZNF32-AS2"
"300"	"ZNF32"
"301"	"RP11-285G1.2"
"302"	"C10orf10"
"303"	"ALOX5"
"304"	"RP11-67C2.2"
"305"	"ZFAND4"
"306"	"SYT15"
"307"	"GPRIN2"
"308"	"NPY4R"
"309"	"ZNF488"
"310"	"RP11-463P17.3"
"311"	"AL731561.2"
"312"	"RBP3"
"313"	"GDF2"
"314"	"GDF10"
"315"	"FRMPD2"
"316"	"MAPK8"
"317"	"WDFY4"
"318"	"RP11-523O18.1"
"319"	"MSMB"
"320"	"NCOA4"
"321"	"DKK1"
"322"	"PRKG1-AS1"
"323"	"RP11-556E13.1"
"324"	"CISD1"
"325"	"IPMK"
"326"	"JMJD1C-AS1"
"327"	"JMJD1C"
"328"	"REEP3"
"329"	"FAM35A"
"330"	"GLUD1"
"331"	"RP11-149I23.3"
"332"	"IFIT2"
"333"	"IFIT3"
"334"	"PANK1"
"335"	"RP11-80H5.2"
"336"	"RP11-80H5.5"
"337"	"HTR7"
"338"	"BTAF1"
"339"	"SNORA25"
"340"	"CPEB3"
"341"	"MARCH5"
"342"	"CEP55"
"343"	"PDE6C"
"344"	"SORBS1"
"345"	"HPS1"
"346"	"RP11-483F11.7"
"347"	"PKD2L1"
"348"	"RP11-34D15.2"
"349"	"SCD"
"350"	"WNT8B"
"351"	"HIF1AN"
"352"	"NDUFB8"
"353"	"SEC31B"
"354"	"PAX2"
