""	"x"
"1"	"TTLL10"
"2"	"CDK11B"
"3"	"MIB2"
"4"	"MMP23B"
"5"	"AGTRAP"
"6"	"PAX7"
"7"	"COL16A1"
"8"	"FAM229A"
"9"	"TSSK3"
"10"	"RP1-27O5.3"
"11"	"ZBTB8B"
"12"	"AC115286.1"
"13"	"C1orf94"
"14"	"EVA1B"
"15"	"RP11-268J15.5"
"16"	"SH3D21"
"17"	"OSCP1"
"18"	"DNALI1"
"19"	"RP3-423B22.5"
"20"	"MACF1"
"21"	"KCNQ4"
"22"	"LURAP1"
"23"	"FOXD2-AS1"
"24"	"DMRTA2"
"25"	"RP5-850O15.4"
"26"	"ZYG11A"
"27"	"TACSTD2"
"28"	"HOOK1"
"29"	"C1orf87"
"30"	"SGIP1"
"31"	"C1orf173"
"32"	"ST6GALNAC3"
"33"	"ELTD1"
"34"	"DDAH1"
"35"	"RP11-290M5.4"
"36"	"BARHL2"
"37"	"SORT1"
"38"	"NGF"
"39"	"PDE4DIP"
"40"	"SHE"
"41"	"TDRD10"
"42"	"BCAN"
"43"	"RP11-284F21.10"
"44"	"RP11-284F21.9"
"45"	"CCDC181"
"46"	"RP1-206D15.3"
"47"	"PRRX1"
"48"	"RP1-79C4.4"
"49"	"LAMC2"
"50"	"LAD1"
"51"	"RP11-307B6.3"
"52"	"SHISA4"
"53"	"CHIT1"
"54"	"REN"
"55"	"GOLT1A"
"56"	"G0S2"
"57"	"RP1-28O10.1"
"58"	"IRF6"
"59"	"ESRRG"
"60"	"MARC2"
"61"	"HIST3H2A"
"62"	"HIST3H2BB"
"63"	"RP5-915N17.3"
"64"	"ACTA1"
"65"	"RP11-634B7.4"
"66"	"RP11-978I15.10"
"67"	"ARMC3"
"68"	"C10orf67"
"69"	"RP11-371A19.2"
"70"	"MYO3A"
"71"	"RP11-435M3.2"
"72"	"TMEM72"
"73"	"NPY4R"
"74"	"GDF10"
"75"	"DRGX"
"76"	"C10orf53"
"77"	"C10orf107"
"78"	"AIFM2"
"79"	"ADIRF-AS1"
"80"	"ADIRF"
"81"	"MMRN2"
"82"	"RP11-96C23.15"
"83"	"RP11-96C23.5"
"84"	"CYP26C1"
"85"	"RP11-348J12.2"
"86"	"FFAR4"
"87"	"RP11-129J12.2"
"88"	"FGF8"
"89"	"VAX1"
"90"	"PRLHR"
"91"	"FAM196A"
"92"	"TCERG1L"
"93"	"DRD4"
"94"	"KCNQ1-AS1"
"95"	"KCNQ1DN"
"96"	"DCHS1"
"97"	"RP11-358H18.2"
"98"	"RP11-358H18.3"
"99"	"MIR130A"
"100"	"AP001652.1"
"101"	"GLYATL1"
"102"	"GLYATL2"
"103"	"PHOX2A"
"104"	"P2RY2"
"105"	"RP11-800A3.2"
"106"	"CHRDL2"
"107"	"KCTD14"
"108"	"RP11-7I15.4"
"109"	"CCDC81"
"110"	"MTNR1B"
"111"	"RP11-676F20.1"
"112"	"RP11-839D17.3"
"113"	"TTC12"
"114"	"MPZL2"
"115"	"FLI1"
"116"	"RP11-744N12.3"
"117"	"ST14"
"118"	"LRTM2"
"119"	"DYRK4"
"120"	"VWF"
"121"	"PLEKHG6"
"122"	"ACRBP"
"123"	"ING4"
"124"	"ABCC9"
"125"	"CNTN1"
"126"	"PDZRN4"
