""	"x"
"1"	"LZIC"
"2"	"NMNAT1"
"3"	"RN7SKP269"
"4"	"RP11-84A14.4"
"5"	"UBE4B"
"6"	"CD52"
"7"	"UBXN11"
"8"	"ZNF683"
"9"	"RP5-864K19.4"
"10"	"RRAGC"
"11"	"KDM4A-AS1"
"12"	"ST3GAL3"
"13"	"RNU6-1058P"
"14"	"RP11-184I16.4"
"15"	"FOXD3"
"16"	"LINC00466"
"17"	"RP4-792G4.2"
"18"	"RNU6-809P"
"19"	"MSH4"
"20"	"RABGGTB"
"21"	"LPPR4"
"22"	"FNDC7"
"23"	"C1orf194"
"24"	"KIAA1324"
"25"	"PROK1"
"26"	"DUSP23"
"27"	"MR1"
"28"	"RNU6-152P"
"29"	"RP11-416K24.1"
"30"	"GLUL"
"31"	"TEDDM1"
"32"	"RNASEL"
"33"	"RGS16"
"34"	"RP11-317P15.4"
"35"	"NPL"
"36"	"LAMC1"
"37"	"RP11-224O19.2"
"38"	"TGFB2"
"39"	"AC096643.1"
"40"	"TP53BP2"
"41"	"MIR548Q"
"42"	"NRP1"
"43"	"RP11-342D11.2"
"44"	"CISD1"
"45"	"IPMK"
"46"	"ARL3"
"47"	"SFXN2"
"48"	"CYP17A1"
"49"	"PFN1P11"
"50"	"PTGES3P4"
"51"	"CNNM2"
"52"	"RP11-724N1.1"
"53"	"DHX32"
"54"	"FANK1"
"55"	"CYB5R2"
"56"	"CTR9"
"57"	"KCNJ11"
"58"	"RP1-239B22.5"
"59"	"SVIP"
"60"	"LGR4"
"61"	"RP11-159H22.2"
"62"	"BDNF-AS"
"63"	"LIN7C"
"64"	"MIR610"
"65"	"RP1-17K7.3"
"66"	"PDHX"
"67"	"APIP"
"68"	"MIR1343"
"69"	"PRR5L"
"70"	"LRRC4C"
"71"	"TP53I11"
"72"	"C11orf49"
"73"	"RAB30-AS1"
"74"	"RAB30"
"75"	"PCF11"
"76"	"snoU13"
"77"	"ARHGAP20"
"78"	"C11orf53"
"79"	"POU2AF1"
"80"	"RP11-794P6.2"
"81"	"RP11-794P6.3"
"82"	"VWA5A"
"83"	"OR10D3"
"84"	"OR8D1"
"85"	"OR8B3"
"86"	"OR8X1P"
"87"	"PANX3"
"88"	"TBRG1"
"89"	"TM7SF3"
"90"	"RP11-977G19.5"
"91"	"SMARCC2"
"92"	"NABP2"
"93"	"RNF41"
"94"	"COQ10A"
"95"	"CS"
"96"	"RP11-977G19.14"
"97"	"STAT2"
"98"	"GLS2"
"99"	"RBMS2"
"100"	"STAT6"
"101"	"SNORA3"
"102"	"PXN"
"103"	"ENOX1"
"104"	"RP11-168P13.1"
"105"	"SERP2"
"106"	"AL391384.1"
"107"	"OR4K5"
"108"	"OR4K1"
"109"	"OR4L1"
"110"	"OR4K17"
"111"	"NEMF"
"112"	"RN7SL3"
"113"	"VCPKMT"
"114"	"SOS2"
"115"	"ATP5S"
"116"	"L2HGDH"
"117"	"FAM181A"
"118"	"HHIPL1"
"119"	"CYP46A1"
"120"	"EML1"
"121"	"AL928654.1"
"122"	"PACS2"
"123"	"TEX22"
"124"	"C14orf80"
"125"	"CRIP1"
"126"	"CRIP2"
"127"	"RP11-521B24.5"
"128"	"RP11-1000B6.2"
"129"	"SCG5"
"130"	"SNORD77"
"131"	"RNU6-1"
"132"	"RP11-34F13.2"
"133"	"RP11-34F13.3"
"134"	"SKOR1"
"135"	"CHSY1"
"136"	"VIMP"
"137"	"RP11-299G20.2"
"138"	"SNRPA1"
"139"	"GP2"
"140"	"ASGR1"
"141"	"ACADVL"
"142"	"MIR324"
"143"	"RP1-4G17.2"
"144"	"SLC2A4"
"145"	"YBX2"
"146"	"EIF5A"
"147"	"GPS2"
"148"	"RCVRN"
"149"	"AC103809.1"
"150"	"DNAI2"
"151"	"RP11-647F2.2"
"152"	"GPR142"
"153"	"CD300LD"
"154"	"CD300E"
"155"	"CD300LF"
"156"	"NAT9"
"157"	"TMEM104"
"158"	"GRIN2C"
"159"	"TMEM200C"
"160"	"FAM210A"
"161"	"RNMT"
"162"	"SYT4"
"163"	"SERTAD2"
"164"	"AC007365.2"
"165"	"APLF"
"166"	"FBXO48"
"167"	"TACR1"
"168"	"AC016716.2"
"169"	"CTNNA2"
"170"	"LRRTM1"
"171"	"LYPD6B"
"172"	"AC144449.1"
"173"	"MMADHC"
"174"	"RNU6-601P"
"175"	"ITGA4"
"176"	"NRP2"
"177"	"AC007383.3"
"178"	"INO80D"
"179"	"GIGYF2"
"180"	"KCNJ13"
"181"	"C2orf82"
"182"	"ATG16L1"
"183"	"SCARNA5"
"184"	"B4GALT5"
"185"	"RN7SL197P"
"186"	"RNU6-919P"
"187"	"SLC9A8"
"188"	"RNU7-72P"
"189"	"RP5-1041C10.3"
"190"	"SPATA2"
"191"	"Y_RNA"
"192"	"RNF114"
"193"	"TMEM189"
"194"	"TMEM189-UBE2V1"
"195"	"MIR645"
"196"	"PARD6B"
"197"	"IFNAR2"
"198"	"RCAN1"
"199"	"GATSL3"
"200"	"PICK1"
"201"	"BAIAP2L2"
"202"	"PLA2G6"
"203"	"ALG12"
"204"	"CRELD2"
"205"	"EGOT"
"206"	"AC018816.3"
"207"	"ITGA9"
"208"	"LRIG1"
"209"	"CRYBG3"
"210"	"POLQ"
"211"	"SNORD112"
"212"	"AC068754.1"
"213"	"CSTA"
"214"	"RP11-299J3.8"
"215"	"WDR5B"
"216"	"ADCY5"
"217"	"ITGB5"
"218"	"HEG1"
"219"	"OSBPL11"
"220"	"KLF15"
"221"	"CCDC37"
"222"	"RP11-71E19.5"
"223"	"CHST13"
"224"	"TXNRD3"
"225"	"TXNRD3NB"
"226"	"CHCHD6"
"227"	"MRPL3"
"228"	"CPNE4"
"229"	"ACAD11"
"230"	"UBA5"
"231"	"NPHP3-AS1"
"232"	"NPHP3"
"233"	"CDV3"
"234"	"RNU6-1174P"
"235"	"PCCB"
"236"	"RNU7-198P"
"237"	"RNU6-789P"
"238"	"RP11-102M11.2"
"239"	"STAG1"
"240"	"IL20RB"
"241"	"NCK1"
"242"	"RNU6-509P"
"243"	"SLC9A9-AS1"
"244"	"PLOD2"
"245"	"RP11-274H2.2"
"246"	"RP11-274H2.3"
"247"	"PLSCR1"
"248"	"RNU6-428P"
"249"	"PLSCR5-AS1"
"250"	"PLSCR5"
"251"	"TSC22D2"
"252"	"IGSF10"
"253"	"SUCNR1"
"254"	"RP11-550I24.2"
"255"	"MLF1"
"256"	"RP11-538P18.2"
"257"	"GFM1"
"258"	"LXN"
"259"	"SCHIP1"
"260"	"IL12A"
"261"	"C3orf80"
"262"	"IL12A-AS1"
"263"	"RP11-431I8.1"
"264"	"EIF2B5-AS1"
"265"	"MASP1"
"266"	"SOD3"
"267"	"CCDC149"
"268"	"LGI2"
"269"	"AC021860.1"
"270"	"KLF3"
"271"	"RP11-617D20.1"
"272"	"RNU6ATAC5P"
"273"	"EPGN"
"274"	"EREG"
"275"	"ENOPH1"
"276"	"HNRNPDL"
"277"	"SEC31A"
"278"	"THAP9-AS1"
"279"	"THAP9"
"280"	"LIN54"
"281"	"HPSE"
"282"	"NKX6-1"
"283"	"WDFY3-AS1"
"284"	"WDFY3-AS2"
"285"	"WDFY3"
"286"	"RPL34-AS1"
"287"	"RPL34"
"288"	"OSTC"
"289"	"RNU6-431P"
"290"	"PLA2G12A"
"291"	"CFI"
"292"	"GAR1"
"293"	"RP11-602N24.3"
"294"	"STOX2"
"295"	"CTD-2061E19.1"
"296"	"CTD-2061E19.6"
"297"	"ARRDC3"
"298"	"MIR2277"
"299"	"GRAMD3"
"300"	"TRPC7"
"301"	"SH3RF2"
"302"	"RBM22"
"303"	"CTB-33O18.3"
"304"	"STX7"
"305"	"UST"
"306"	"RP11-162J8.2"
"307"	"RP11-162J8.3"
"308"	"PPIL4"
"309"	"RNU7-3P"
"310"	"HIBADH"
"311"	"TNS3"
"312"	"LINC00525"
"313"	"C7orf69"
"314"	"LAMB1"
"315"	"LAMB4"
"316"	"AGBL3"
"317"	"DGKI"
"318"	"AKR1D1"
"319"	"CREB3L2"
"320"	"TRIM24"
"321"	"SVOPL"
"322"	"ABCF2"
"323"	"CHPF2"
"324"	"MIR671"
"325"	"ACTR3B"
"326"	"RN7SL845P"
"327"	"PAXIP1-AS2"
"328"	"PAXIP1-AS1"
"329"	"PAXIP1"
"330"	"AC099552.4"
"331"	"AC144652.1"
"332"	"INSIG1"
"333"	"BLACE"
"334"	"AC009403.2"
"335"	"RBM33"
"336"	"LMBR1"
"337"	"UBE3C"
"338"	"DNAJB6"
"339"	"NCAPG2"
"340"	"ESYT2"
"341"	"RAB11FIP1"
