""	"x"
"1"	"SLC45A1"
"2"	"LYPLA2"
"3"	"SAMD13"
"4"	"DNASE2B"
"5"	"UOX"
"6"	"RPF1"
"7"	"GNG5"
"8"	"SPATA1"
"9"	"CTBS"
"10"	"CLCA2"
"11"	"CLCA1"
"12"	"RP4-612B15.3"
"13"	"SH3GLB1"
"14"	"HS2ST1"
"15"	"SEP15"
"16"	"FAM102B"
"17"	"AP4B1"
"18"	"DCLRE1B"
"19"	"HIPK1"
"20"	"RP5-1073O3.7"
"21"	"CD101"
"22"	"S100A7A"
"23"	"S100A7"
"24"	"S100A2"
"25"	"KIRREL"
"26"	"CD1D"
"27"	"CD1B"
"28"	"OR10R2"
"29"	"OR10R3P"
"30"	"RP11-144L1.4"
"31"	"OR6Y1"
"32"	"FCRLA"
"33"	"FCRLB"
"34"	"DUSP12"
"35"	"ATF6"
"36"	"RP11-474I16.8"
"37"	"RP5-1011O1.2"
"38"	"RGS1"
"39"	"RGS2"
"40"	"snoU109"
"41"	"TROVE2"
"42"	"UCHL5"
"43"	"RNU6-716P"
"44"	"NR5A2"
"45"	"RNU6-570P"
"46"	"AC096633.1"
"47"	"KIF14"
"48"	"C1orf132"
"49"	"LAMB3"
"50"	"G0S2"
"51"	"RP1-28O10.1"
"52"	"KCTD3"
"53"	"RNU6ATAC35P"
"54"	"RP11-295M18.2"
"55"	"RP11-295M18.6"
"56"	"HLA-AS1"
"57"	"HLX"
"58"	"LEFTY2"
"59"	"PYCR2"
"60"	"RP4-559A3.6"
"61"	"RP4-559A3.7"
"62"	"U8"
"63"	"IRF2BP2"
"64"	"RP4-781K5.2"
"65"	"ZBTB18"
"66"	"AL359878.1"
"67"	"GTPBP4"
"68"	"RNU7-163P"
"69"	"IDI1"
"70"	"WDR37"
"71"	"RBM17"
"72"	"PFKFB3"
"73"	"RP11-414H17.5"
"74"	"DHTKD1"
"75"	"U6"
"76"	"CDNF"
"77"	"HSPA14"
"78"	"RP11-398C13.6"
"79"	"SUV39H2"
"80"	"C10orf111"
"81"	"RPP38"
"82"	"MPP7"
"83"	"CISD1"
"84"	"IPMK"
"85"	"RNU6-833P"
"86"	"ANXA7"
"87"	"RNU6-883P"
"88"	"USP54"
"89"	"KCNMA1"
"90"	"KLLN"
"91"	"PTEN"
"92"	"TLL2"
"93"	"TM9SF3"
"94"	"LCOR"
"95"	"MIR607"
"96"	"C10orf12"
"97"	"RP11-453E2.2"
"98"	"SLIT1"
"99"	"RP11-324L3.5"
"100"	"DPCD"
"101"	"POLL"
"102"	"FGF8"
"103"	"NPM3"
"104"	"FAM53B"
"105"	"INPP5A"
"106"	"AP006285.6"
"107"	"FAM99B"
"108"	"KRTAP5-6"
"109"	"SYT8"
"110"	"TNNI2"
"111"	"AC051649.1"
"112"	"TNNT3"
"113"	"C11orf21"
"114"	"TSPAN32"
"115"	"RNU6-878P"
"116"	"CD81"
"117"	"Y_RNA"
"118"	"AC124057.5"
"119"	"TSSC4"
"120"	"TRPM5"
"121"	"KCNQ1-AS1"
"122"	"KCNQ1DN"
"123"	"CDKN1C"
"124"	"SLC22A18AS"
"125"	"SLC22A18"
"126"	"TSSC2"
"127"	"ZNF195"
"128"	"OR52K1"
"129"	"OR52K3P"
"130"	"TP53I11"
"131"	"SYT13"
"132"	"RNU5E-10P"
"133"	"KBTBD4"
"134"	"NDUFS3"
"135"	"C1QTNF4"
"136"	"FAM180B"
"137"	"NUP160"
"138"	"PTPRJ"
"139"	"AC103828.1"
"140"	"ZDHHC5"
"141"	"OR5A2"
"142"	"AP000640.2"
"143"	"PATL1"
"144"	"IGHMBP2"
"145"	"MRPL21"
"146"	"CCND1"
"147"	"ORAOV1"
"148"	"KCNE3"
"149"	"RP11-702H23.6"
"150"	"CHRDL2"
"151"	"C11orf82"
"152"	"PRCP"
"153"	"RAB30"
"154"	"RP11-113K21.1"
"155"	"RP11-659G9.3"
"156"	"SNORA70E"
"157"	"RAB30-AS1"
"158"	"PCF11"
"159"	"EED"
"160"	"C11orf73"
"161"	"RP11-712B9.2"
"162"	"CEP57"
"163"	"FAM76B"
"164"	"MTMR2"
"165"	"PATE2"
"166"	"RP11-890B15.2"
"167"	"NCAPD3"
"168"	"RP11-700F16.2"
"169"	"RP11-700F16.3"
"170"	"VPS26B"
"171"	"ACAD8"
"172"	"THYN1"
"173"	"VWF"
"174"	"CD9"
"175"	"VAMP1"
"176"	"GAPDH"
"177"	"RP5-940J5.3"
"178"	"IFFO1"
"179"	"CHD4"
"180"	"NOP2"
"181"	"RP5-940J5.6"
"182"	"SCARNA11"
"183"	"ACRBP"
"184"	"ING4"
"185"	"RP4-761J14.8"
"186"	"ZNF384"
"187"	"PIANP"
"188"	"COPS7A"
"189"	"RP4-761J14.9"
"190"	"PTMS"
"191"	"LAG3"
"192"	"MLF2"
"193"	"CD4"
"194"	"GPR162"
"195"	"LEPREL2"
"196"	"GNB3"
"197"	"CDCA3"
"198"	"USP5"
"199"	"LRRC23"
"200"	"RPL13P5"
"201"	"SPSB2"
"202"	"TPI1"
"203"	"ATN1"
"204"	"C12orf57"
"205"	"RNU7-1"
"206"	"RP11-259O18.4"
"207"	"RP11-705C15.2"
"208"	"RP11-705C15.4"
"209"	"CD69"
"210"	"CLEC2B"
"211"	"RP11-290C10.1"
"212"	"CLEC12B"
"213"	"CLEC1B"
"214"	"CLEC9A"
"215"	"RP11-133L14.5"
"216"	"CLEC7A"
"217"	"OLR1"
"218"	"TMEM52B"
"219"	"GABARAPL1"
"220"	"RP11-656E20.5"
"221"	"STYK1"
"222"	"YBX3"
"223"	"RNU6-676P"
"224"	"IFLTD1"
"225"	"RNU6-769P"
"226"	"ANKRD33"
"227"	"MDM2"
"228"	"RNU7-4P"
"229"	"CCT2"
"230"	"MIR3913-1"
"231"	"SNORA17"
"232"	"THAP2"
"233"	"ZFC3H1"
"234"	"RP11-293I14.2"
"235"	"RAB21"
"236"	"TBC1D15"
"237"	"PTPRQ"
"238"	"NUDT4"
"239"	"RP11-486A14.2"
"240"	"FAM101A"
"241"	"ANKLE2"
"242"	"CTD-2140B24.4"
"243"	"ZNF10"
"244"	"ZNF268"
"245"	"ZNF891"
"246"	"POMP"
"247"	"KATNAL1"
"248"	"FRY-AS1"
"249"	"FRY"
"250"	"N4BP2L2"
"251"	"FNDC3A"
"252"	"TDRD3"
"253"	"POU4F1"
"254"	"COL4A1"
"255"	"COL4A2"
"256"	"RAB20"
"257"	"AL163636.6"
"258"	"ANG"
"259"	"RNASE4"
"260"	"EDDM3A"
"261"	"RNASE6"
"262"	"RP11-219E7.1"
"263"	"RNASE1"
"264"	"AL161668.5"
"265"	"NDRG2"
"266"	"TPPP2"
"267"	"RNASE13"
"268"	"RP11-998D10.1"
"269"	"RNASE7"
"270"	"RNASE8"
"271"	"ARHGEF40"
"272"	"TMEM253"
"273"	"ZNF219"
"274"	"RNU6-252P"
"275"	"RP11-998D10.5"
"276"	"FUT8"
"277"	"SNORD56B"
"278"	"SPTLC2"
"279"	"ALKBH1"
"280"	"SLIRP"
"281"	"CALM1"
"282"	"FBLN5"
"283"	"ASPG"
"284"	"MIR203"
"285"	"CTD-2223O18.1"
"286"	"KIF26A"
"287"	"C14orf144"
"288"	"CYFIP1"
"289"	"NIPA2"
"290"	"SPG11"
"291"	"AP4E1"
"292"	"AP3B2"
"293"	"FSD2"
"294"	"TM6SF1"
"295"	"HDGFRP3"
"296"	"MESP1"
"297"	"MESP2"
"298"	"PRC1-AS1"
"299"	"PRC1"
"300"	"IGF1R"
"301"	"MEF2A"
"302"	"ADAMTS17"
"303"	"ALDH1A3"
"304"	"LRRK1"
"305"	"RP11-66B24.4"
"306"	"CHSY1"
"307"	"VIMP"
"308"	"RP11-299G20.2"
"309"	"SNRPA1"
"310"	"SYT17"
"311"	"CTA-363E6.7"
"312"	"RNU4-46P"
"313"	"C16orf62"
"314"	"ITFG1"
"315"	"PHKB"
"316"	"ESRP2"
"317"	"PLA2G15"
"318"	"RP11-96D1.11"
"319"	"RP11-96D1.6"
"320"	"VAC14"
"321"	"CHST4"
"322"	"RP11-510M2.6"
"323"	"IST1"
"324"	"ZNF821"
"325"	"AC009120.4"
"326"	"PSMD7"
"327"	"WDR59"
"328"	"ZNRF1"
"329"	"CTRB2"
"330"	"CTRB1"
"331"	"RP11-331F4.4"
"332"	"BCAR1"
"333"	"RNU6-758P"
"334"	"COX4I1"
"335"	"EMC8"
"336"	"IRF8"
"337"	"GLOD4"
"338"	"RNMTL1"
"339"	"OR1G1"
"340"	"OR1A2"
"341"	"EPN2"
"342"	"B9D1"
"343"	"MAPK7"
"344"	"MFAP4"
"345"	"ALDH3A2"
"346"	"SNORA31"
"347"	"RP11-311F12.1"
"348"	"SLC47A2"
"349"	"RARA"
"350"	"CTD-2267D19.4"
"351"	"GJD3"
"352"	"TOP2A"
"353"	"IGFBP4"
"354"	"RP11-58O9.1"
"355"	"CCR7"
