""	"x"
"1"	"FAM167B"
"2"	"C1orf87"
"3"	"FMOD"
"4"	"RP11-435P24.2"
"5"	"PM20D1"
"6"	"IRF6"
"7"	"RP11-634B7.4"
"8"	"RP11-978I15.10"
"9"	"TMEM72"
"10"	"RNU2-43P"
"11"	"OVCH2"
"12"	"CD3D"
"13"	"CD3G"
"14"	"PLCZ1"
"15"	"AL356019.1"
"16"	"OR11H6"
"17"	"CELF6"
"18"	"CSPG4"
"19"	"CMTM2"
"20"	"RP11-403P17.2"
"21"	"TTC39C"
"22"	"HMSD"
"23"	"ETV2"
"24"	"C3orf62"
"25"	"MIR4271"
"26"	"USP4"
"27"	"ABI3BP"
"28"	"MAATS1"
"29"	"ILDR1"
"30"	"Y_RNA"
"31"	"C4orf26"
"32"	"HIST1H1PS1"
"33"	"HIST1H4D"
"34"	"ECT2L"
"35"	"AC005083.1"
"36"	"MACC1"
"37"	"HGF"
"38"	"MTMR7"
"39"	"KB-1991G8.1"
"40"	"RNF19A"
"41"	"CDKN2B"
