""	"x"
"1"	"AC092265.1"
"2"	"INPP5B"
"3"	"HIVEP3"
"4"	"HNRNPFP1"
"5"	"DMAP1"
"6"	"EFCAB7"
"7"	"RNU7-123P"
"8"	"DNAJB4"
"9"	"FUBP1"
"10"	"GIPC2"
"11"	"FZD8"
"12"	"MIR4683"
"13"	"CCDC6"
"14"	"OLFML1"
"15"	"IGSF22"
"16"	"PTPN5"
"17"	"CCDC73"
"18"	"ARHGAP42"
"19"	"CTD-2383M3.1"
"20"	"ARHGAP32"
"21"	"AVIL"
"22"	"RNU6-1083P"
"23"	"RP11-571M6.17"
"24"	"IRG1"
"25"	"RP11-219E7.2"
"26"	"RP11-349I1.2"
"27"	"BNC1"
"28"	"USP22"
"29"	"CORO6"
"30"	"RP11-68I3.10"
"31"	"AC013267.1"
"32"	"DNAJC27-AS1"
"33"	"DNAJC27"
"34"	"SNORD14"
"35"	"ACVR2A"
"36"	"RNF114"
"37"	"DUSP18"
"38"	"RP3-402G11.26"
"39"	"RP3-402G11.27"
"40"	"RP3-402G11.28"
"41"	"SELO"
"42"	"MYLK"
"43"	"DNAJC13"
"44"	"PLSCR5"
"45"	"RP11-550I24.2"
"46"	"C3orf80"
"47"	"IL12A-AS1"
"48"	"RP11-431I8.1"
"49"	"LRRC34"
"50"	"LRRIQ4"
"51"	"SPATA16"
"52"	"RP11-433C9.2"
"53"	"RP11-630D6.5"
"54"	"RNU1-44P"
"55"	"RNU6-429P"
"56"	"TBX18"
"57"	"TAS2R5"
"58"	"TAS2R6"
"59"	"UBE3C"
"60"	"snoU13"
"61"	"LHX2"
"62"	"RP11-85O21.2"
"63"	"RP11-85O21.4"
