""	"x"
"1"	"GJB4"
"2"	"HOOK1"
"3"	"DNAJB4"
"4"	"FUBP1"
"5"	"GIPC2"
"6"	"AC092812.1"
"7"	"ATP1A1"
"8"	"LY9"
"9"	"CEP350"
"10"	"RP11-533E19.5"
"11"	"RP11-275I14.4"
"12"	"RNU5E-2P"
"13"	"CNGA4"
"14"	"FAM160A2"
"15"	"RP11-732A19.6"
"16"	"OLFML1"
"17"	"NAV2"
"18"	"NAV2-AS5"
"19"	"CCDC73"
"20"	"EML3"
"21"	"MTA2"
"22"	"RP11-831H9.3"
"23"	"ARHGAP42"
"24"	"CTD-2383M3.1"
"25"	"GUCY2C"
"26"	"GAS2L3"
"27"	"RP11-575G13.2"
"28"	"NKX2-1-AS1"
"29"	"NKX2-1"
"30"	"RP11-896J10.3"
"31"	"PTGR2"
"32"	"RP5-1021I20.4"
"33"	"Y_RNA"
"34"	"SCAMP2"
"35"	"ULK3"
"36"	"BNC1"
"37"	"CACNG3"
"38"	"ARL2BP"
"39"	"AC025287.1"
"40"	"RN7SL520P"
"41"	"RNU6-799P"
"42"	"TEKT3"
"43"	"ALDH3A2"
"44"	"MAP3K14"
"45"	"SPAG9"
"46"	"FECH"
"47"	"KCNC3"
"48"	"AC013267.1"
"49"	"DNAJC27-AS1"
"50"	"DNAJC27"
"51"	"SNORD14"
"52"	"AC022201.4"
"53"	"FASTKD2"
"54"	"MDH1B"
"55"	"RNF25"
"56"	"STK36"
"57"	"TEX33"
"58"	"RNU6-342P"
"59"	"CCRL2"
"60"	"RP11-24F11.2"
"61"	"EAF2"
"62"	"IQCB1"
"63"	"MYLK"
"64"	"DNAJC13"
"65"	"GPR171"
"66"	"TP63"
"67"	"FAM114A1"
"68"	"MIR574"
"69"	"RP11-630D6.5"
"70"	"GUCY1B3"
"71"	"RNU6-429P"
"72"	"MYO10"
"73"	"CTC-506B8.1"
"74"	"AC116366.6"
"75"	"C5orf56"
"76"	"HSPA4"
"77"	"AC106775.1"
"78"	"MATR3"
"79"	"SIL1"
"80"	"RP9"
"81"	"COL1A2"
"82"	"AC079781.5"
"83"	"ASNS"
"84"	"LAMB1"
"85"	"STRIP2"
"86"	"C7orf34"
"87"	"KEL"
"88"	"TRPV5"
"89"	"TAS2R41"
"90"	"ADAMDEC1"
"91"	"RP11-624C23.1"
"92"	"HOOK3"
"93"	"MIR4469"
"94"	"RNF170"
"95"	"GDAP1"
"96"	"JPH1"
"97"	"IDNK"
