""	"x"
"1"	"RP11-54O7.16"
"2"	"RP11-54O7.1"
"3"	"C1orf159"
"4"	"RNF223"
"5"	"MIR200A"
"6"	"MIR200B"
"7"	"MIR429"
"8"	"RP11-465B22.8"
"9"	"TTLL10-AS1"
"10"	"TTLL10"
"11"	"TNFRSF18"
"12"	"TNFRSF4"
"13"	"B3GALT6"
"14"	"FAM132A"
"15"	"RP5-902P8.12"
"16"	"SDF4"
"17"	"UBE2J2"
"18"	"RP5-902P8.10"
"19"	"SCNN1D"
"20"	"ACAP3"
"21"	"CPSF3L"
"22"	"GLTPD1"
"23"	"PUSL1"
"24"	"RP5-890O3.9"
"25"	"TAS1R3"
"26"	"DVL1"
"27"	"MXRA8"
"28"	"AURKAIP1"
"29"	"CCNL2"
"30"	"MRPL20"
"31"	"RN7SL657P"
"32"	"RP4-758J18.13"
"33"	"RP4-758J18.2"
"34"	"RP5-890O3.3"
"35"	"GNB1"
"36"	"RP1-140A9.1"
"37"	"CALML6"
"38"	"TMEM52"
"39"	"C1orf222"
"40"	"GABRD"
"41"	"RP11-547D24.1"
"42"	"AL590822.2"
"43"	"RP11-181G12.2"
"44"	"AL590822.1"
"45"	"C1orf86"
"46"	"RP11-181G12.4"
"47"	"RP11-181G12.5"
"48"	"SKI"
"49"	"MORN1"
"50"	"RER1"
"51"	"FAM213B"
"52"	"MMEL1"
"53"	"RP13-436F16.1"
"54"	"TTC34"
"55"	"ACTRT2"
"56"	"PRDM16"
"57"	"MEGF6"
"58"	"RP11-46F15.2"
"59"	"TPRG1L"
"60"	"TP73"
"61"	"WRAP73"
"62"	"SMIM1"
"63"	"C1orf174"
"64"	"LINC01134"
"65"	"CHD5"
"66"	"RNF207"
"67"	"RP1-120G22.11"
"68"	"RPL22"
"69"	"HES3"
"70"	"LINC00337"
"71"	"ACOT7"
"72"	"RP1-202O8.3"
"73"	"ESPN"
"74"	"TNFRSF25"
"75"	"NOL9"
"76"	"RNU6-731P"
"77"	"RP11-58A11.2"
"78"	"TAS1R1"
"79"	"KLHL21"
"80"	"PHF13"
"81"	"DNAJC11"
"82"	"snoU13"
"83"	"RP11-312B8.1"
"84"	"CAMTA1"
"85"	"RNU1-8P"
"86"	"RP3-453P22.2"
"87"	"RP4-549F15.1"
"88"	"VAMP3"
"89"	"PER3"
"90"	"PARK7"
"91"	"ERRFI1"
"92"	"RP11-431K24.1"
"93"	"RNU1-7P"
"94"	"RP11-431K24.3"
"95"	"RNU6-991P"
"96"	"SLC45A1"
"97"	"RERE"
"98"	"RP5-1115A15.1"
"99"	"CA6"
"100"	"GPR157"
"101"	"Z98044.1"
"102"	"SPSB1"
"103"	"SLC25A33"
"104"	"TMEM201"
"105"	"LZIC"
"106"	"NMNAT1"
"107"	"RN7SKP269"
"108"	"RP11-84A14.4"
"109"	"UBE4B"
"110"	"RNU6-828P"
"111"	"RNU6-37P"
"112"	"PGD"
"113"	"RN7SL721P"
"114"	"APITD1-CORT"
"115"	"APITD1"
"116"	"RP4-736L20.3"
"117"	"CORT"
"118"	"CASZ1"
"119"	"C1orf127"
"120"	"MTOR-AS1"
"121"	"MTOR"
"122"	"RNU6-291P"
"123"	"FBXO2"
"124"	"FBXO44"
"125"	"FBXO6"
"126"	"AGTRAP"
"127"	"C1orf167"
"128"	"CLCN6"
"129"	"MTHFR"
"130"	"NPPA-AS1"
"131"	"NPPA"
"132"	"NPPB"
"133"	"RNU5E-1"
"134"	"RNU5E-4P"
"135"	"KIAA2013"
"136"	"PLOD1"
"137"	"MFN2"
"138"	"MIIP"
"139"	"RP5-1077B9.5"
"140"	"VPS13D"
"141"	"SNORA59A"
"142"	"RNU6ATAC18P"
"143"	"DHRS3"
"144"	"RP11-474O21.5"
"145"	"AADACL4"
"146"	"PRAMEF12"
"147"	"PDPN"
"148"	"PRDM2"
"149"	"SCARNA11"
"150"	"KAZN"
"151"	"TMEM51-AS1"
"152"	"TMEM51"
"153"	"C1orf195"
"154"	"FHAD1"
"155"	"RP3-467K16.7"
"156"	"RP3-467K16.2"
"157"	"EFHD2"
"158"	"RP3-467K16.4"
"159"	"CTRC"
"160"	"CELA2A"
"161"	"SCARNA21"
"162"	"AGMAT"
"163"	"RNU7-179P"
"164"	"DDI2"
"165"	"RSC1A1"
"166"	"AL121992.1"
"167"	"PLEKHM2"
"168"	"RP4-680D5.9"
"169"	"RP11-288I21.1"
"170"	"SLC25A34"
"171"	"FBLIM1"
"172"	"RP11-169K16.9"
"173"	"SPEN"
"174"	"C1orf64"
"175"	"CLCNKA"
"176"	"HSPB7"
"177"	"RP11-5P18.5"
"178"	"CLCNKB"
"179"	"RP11-5P18.10"
"180"	"FAM131C"
"181"	"EPHA2"
"182"	"RP11-276H7.2"
"183"	"RP11-276H7.3"
"184"	"ARHGEF19-AS1"
"185"	"ARHGEF19"
"186"	"ANO7P1"
"187"	"C1orf134"
"188"	"RSG1"
"189"	"SPATA21"
"190"	"SDHB"
"191"	"PADI2"
"192"	"PADI1"
"193"	"PADI3"
"194"	"PADI4"
"195"	"RP1-20B21.4"
"196"	"RCC2"
"197"	"IGSF21"
"198"	"RP11-174G17"
"199"	"KLHDC7A"
"200"	"ALDH4A1"
"201"	"MIR1290"
"202"	"RP1-43E13.2"
"203"	"UBR4"
"204"	"AKR7A2"
"205"	"PQLC2"
"206"	"RN7SL85P"
"207"	"RNU6-1099P"
"208"	"CAPZB"
"209"	"RNU4-28P"
"210"	"MINOS1"
"211"	"MINOS1-NBL1"
"212"	"RP5-1056L3.1"
"213"	"NBL1"
"214"	"HTR6"
"215"	"RNF186"
"216"	"RP11-91K11.2"
"217"	"PLA2G2A"
"218"	"PLA2G2F"
