""	"x"
"1"	"HENMT1"
"2"	"RNU6-160P"
"3"	"LYST"
"4"	"PROSER2-AS1"
"5"	"SYNPO2L"
"6"	"RNU2-43P"
"7"	"TRIM21"
"8"	"PRDM11"
"9"	"CREBZF"
"10"	"CLECL1"
"11"	"PABPC3"
"12"	"MKRN3"
"13"	"RP11-73C9.1"
"14"	"PRSS21"
"15"	"AC010547.9"
"16"	"ZNF19"
"17"	"TRPV3"
"18"	"SIGLEC18P"
"19"	"SIGLEC9"
"20"	"CTC-550B14.6"
"21"	"GP6"
"22"	"RDH13"
"23"	"APOB"
"24"	"GCKR"
"25"	"AC007365.2"
"26"	"PAX8-AS1"
"27"	"PAX8"
"28"	"RP11-65I12.1"
"29"	"SLC52A3"
"30"	"C20orf197"
"31"	"AP000688.14"
"32"	"SETD4"
"33"	"P2RY12"
"34"	"RP11-362A9.3"
"35"	"TMPRSS11D"
"36"	"HPGDS"
"37"	"GRIA2"
"38"	"RNU6-582P"
"39"	"RP11-392C20.1"
"40"	"CTD-2201I18.1"
"41"	"THBS4"
"42"	"SMIM11P1"
"43"	"AC005083.1"
"44"	"MACC1"
"45"	"MYOM2"
"46"	"MIR1208"
