""	"x"
"1"	"HIPK1"
"2"	"RP5-1073O3.7"
"3"	"FCRL5"
"4"	"LAMB3"
"5"	"G0S2"
"6"	"RP1-28O10.1"
"7"	"C10orf105"
"8"	"C10orf54"
"9"	"GHITM"
"10"	"RP11-338I21.1"
"11"	"CWF19L1"
"12"	"RNU6-422P"
"13"	"BLOC1S2"
"14"	"PKD2L1"
"15"	"RP11-34D15.2"
"16"	"SCD"
"17"	"FAM178A"
"18"	"RP11-179B2.2"
"19"	"OR10A2"
"20"	"RBMXL2"
"21"	"MIR302E"
"22"	"SYT9"
"23"	"DKFZP434E1119"
"24"	"PAK1"
"25"	"DSCAML1"
"26"	"RP11-728F11.3"
"27"	"FXYD2"
"28"	"RP11-728F11.4"
"29"	"CLEC4E"
"30"	"SPTLC2"
"31"	"ALKBH1"
"32"	"SLIRP"
"33"	"C14orf178"
"34"	"SNW1"
"35"	"APH1B"
"36"	"USP3"
"37"	"FBXL22"
"38"	"USP3-AS1"
"39"	"CSF3"
"40"	"MED24"
"41"	"RP11-387H17.6"
"42"	"SNORD124"
"43"	"THRA"
"44"	"MSL1"
"45"	"AC068669.1"
"46"	"CASC3"
"47"	"RAPGEFL1"
"48"	"SPRED2"
"49"	"AC017083.1"
"50"	"TANK"
"51"	"IGJ"
"52"	"UTP3"
"53"	"RNU6-520P"
"54"	"RNU6-784P"
"55"	"RP11-46J23.1"
"56"	"RUFY3"
"57"	"snoU13"
"58"	"GRSF1"
"59"	"RNU6-459P"
"60"	"MOB1B"
"61"	"DCK"
"62"	"GALNT7"
"63"	"GAPT"
"64"	"CAHM"
"65"	"QKI"
"66"	"DOK2"
"67"	"FAM135B"
