""	"x"
"1"	"TXLNA"
"2"	"HDAC1"
"3"	"MARCKSL1"
"4"	"FAM229A"
"5"	"TSSK3"
"6"	"RP5-864K19.4"
"7"	"RRAGC"
"8"	"RNU6-1031P"
"9"	"RPF1"
"10"	"HIPK1"
"11"	"RP5-1073O3.7"
"12"	"FCRL5"
"13"	"C1orf112"
"14"	"METTL18"
"15"	"PPFIA4"
"16"	"ADORA1"
"17"	"RP11-335O13.7"
"18"	"CHIT1"
"19"	"PRELP"
"20"	"OPTC"
"21"	"ATP2B4"
"22"	"SNORA77"
"23"	"ZBED6"
"24"	"ZC3H11A"
"25"	"LAMB3"
"26"	"G0S2"
"27"	"RP1-28O10.1"
"28"	"ZBTB18"
"29"	"ZNF670"
"30"	"OR6F1"
"31"	"OR11L1"
"32"	"TRIM58"
"33"	"OR2W3"
"34"	"OR2L2"
"35"	"Y_RNA"
"36"	"OR2L3"
"37"	"RNU6ATAC11P"
"38"	"FXYD4"
"39"	"HNRNPF"
"40"	"RNU7-193P"
"41"	"ZNF487"
"42"	"CAP1P2"
"43"	"ZNF485"
"44"	"ZNF32-AS1"
"45"	"ZNF32-AS2"
"46"	"ZNF32"
"47"	"RP11-285G1.2"
"48"	"C10orf10"
"49"	"ALOX5"
"50"	"RP11-67C2.2"
"51"	"ZFAND4"
"52"	"MSMB"
"53"	"NCOA4"
"54"	"CISD1"
"55"	"IPMK"
"56"	"ARID5B"
"57"	"C10orf105"
"58"	"C10orf54"
"59"	"GHITM"
"60"	"RP11-338I21.1"
"61"	"SORBS1"
"62"	"CWF19L1"
"63"	"RNU6-422P"
"64"	"BLOC1S2"
"65"	"PKD2L1"
"66"	"RP11-34D15.2"
"67"	"SCD"
"68"	"WNT8B"
"69"	"HIF1AN"
"70"	"NDUFB8"
"71"	"SEC31B"
"72"	"PAX2"
"73"	"FAM178A"
"74"	"RP11-179B2.2"
"75"	"RP11-324L3.5"
"76"	"DPCD"
"77"	"POLL"
"78"	"FGF8"
"79"	"NPM3"
"80"	"OR10A2"
"81"	"RBMXL2"
"82"	"MIR302E"
"83"	"SYT9"
"84"	"FLRT1"
"85"	"RP11-21A7A.3"
"86"	"MACROD1"
"87"	"TPCN2"
"88"	"CCND1"
"89"	"ORAOV1"
"90"	"DKFZP434E1119"
"91"	"PAK1"
"92"	"DSCAML1"
"93"	"RP11-728F11.3"
"94"	"FXYD2"
"95"	"RP11-728F11.4"
"96"	"SCN4B"
"97"	"SCN2B"
"98"	"AMICA1"
"99"	"RP11-1007G5.2"
"100"	"ETS1"
"101"	"FLI1"
"102"	"RP11-744N12.3"
"103"	"SENCR"
"104"	"CLEC4E"
"105"	"AEBP2"
"106"	"RP11-421F16.3"
"107"	"TM7SF3"
"108"	"MED21"
"109"	"KRT84"
"110"	"RP3-416H24.4"
"111"	"KRT82"
"112"	"RP11-1020M18.10"
"113"	"KRT75"
"114"	"KRT71"
"115"	"KRT72"
"116"	"RP11-641A6.2"
"117"	"ESPL1"
"118"	"PFDN5"
"119"	"C12orf10"
"120"	"RP11-680A11.5"
"121"	"CYP27B1"
"122"	"METTL1"
"123"	"METTL21B"
"124"	"RP11-571M6.15"
"125"	"TSFM"
"126"	"AVIL"
"127"	"RNU6-1083P"
"128"	"RP11-571M6.17"
"129"	"CTDSP2"
"130"	"MIR26A2"
"131"	"RP11-620J15.1"
"132"	"MMAB"
"133"	"MVK"
"134"	"RNU4-32P"
"135"	"DHRS12"
"136"	"RP11-327P2.5"
"137"	"EFNB2"
"138"	"IRS2"
"139"	"OR4K14"
"140"	"SPTLC2"
"141"	"ALKBH1"
"142"	"SLIRP"
"143"	"C14orf178"
"144"	"SNW1"
"145"	"RP11-61O1.2"
"146"	"ADAM10"
"147"	"RP11-30K9.7"
"148"	"U3"
"149"	"FAM63B"
"150"	"RP11-30K9.6"
"151"	"AC025918.2"
"152"	"SLTM"
"153"	"APH1B"
"154"	"USP3"
"155"	"FBXL22"
"156"	"USP3-AS1"
"157"	"ARIH1"
"158"	"RP11-1007O24.2"
"159"	"RP11-1007O24.3"
"160"	"MIR630"
"161"	"BBS4"
"162"	"HIGD2B"
"163"	"RP11-361M10.4"
"164"	"SNORA30"
"165"	"SRCAP"
"166"	"AC132186.1"
"167"	"BEAN1"
"168"	"CKLF-CMTM1"
"169"	"CKLF"
"170"	"TK2"
"171"	"CMTM1"
"172"	"CMTM3"
"173"	"PDP2"
"174"	"MYO18A"
"175"	"TIAF1"
"176"	"DHRS11"
"177"	"MRM1"
"178"	"CSF3"
"179"	"MED24"
"180"	"RP11-387H17.6"
"181"	"SNORD124"
"182"	"THRA"
"183"	"MSL1"
"184"	"AC068669.1"
"185"	"CASC3"
"186"	"RAPGEFL1"
"187"	"PSMC3IP"
"188"	"FAM134C"
"189"	"TUBG1"
"190"	"TUBG2"
"191"	"CTD-2020K17.1"
"192"	"FMNL1"
"193"	"MAP3K14"
"194"	"AC091132.2"
"195"	"ARHGAP27"
"196"	"ATP13A1"
"197"	"FFAR1"
"198"	"AC002511.1"
"199"	"HAUS5"
"200"	"RBM42"
"201"	"AC092296.1"
"202"	"LINC00665"
"203"	"CTD-3162L10.3"
"204"	"CTD-3162L10.4"
"205"	"ZFP14"
"206"	"AC092295.7"
"207"	"ZNF529"
"208"	"ZNF383"
"209"	"ZNF585B"
"210"	"HKR1"
"211"	"MIR769"
"212"	"PGLYRP1"
"213"	"IGFL4"
"214"	"HIF3A"
"215"	"ZIK1"
"216"	"ZNF416"
"217"	"CTD-3138B18.4"
"218"	"ZNF544"
"219"	"SPRED2"
"220"	"AC017083.1"
"221"	"CHMP3"
"222"	"RNU6-640P"
"223"	"KRCC1"
"224"	"THNSL2"
"225"	"TANK"
"226"	"ZSWIM2"
"227"	"RAMP1"
"228"	"UBE2F"
"229"	"UBE2F-SCLY"
"230"	"RNU6-1333P"
"231"	"SCLY"
"232"	"FAM132B"
"233"	"ILKAP"
"234"	"HM13"
"235"	"ID1"
"236"	"MIR3193"
"237"	"COX4I2"
"238"	"RP11-243J16.7"
"239"	"LAMA5"
"240"	"RP13-30A9.1"
"241"	"RP13-30A9.2"
"242"	"RP11-93B14.4"
"243"	"LINC00659"
"244"	"OGFR-AS1"
"245"	"OGFR"
"246"	"AF129408.17"
"247"	"PSMG1"
"248"	"BRWD1-IT2"
"249"	"BRWD1"
"250"	"HMGN1"
"251"	"RNF6P1"
"252"	"WRB"
"253"	"PRMT2"
"254"	"ALG12"
"255"	"CRELD2"
"256"	"PIM3"
"257"	"MLC1"
"258"	"RP3-402G11.26"
"259"	"RP3-402G11.27"
"260"	"RP3-402G11.28"
"261"	"SELO"
"262"	"AL022328.1"
"263"	"HDAC10"
"264"	"MAPK11"
"265"	"MAPK12"
"266"	"PLXNB2"
"267"	"TUBGCP6"
"268"	"MIOX"
"269"	"LMF2"
"270"	"NCAPH2"
"271"	"SYCE3"
"272"	"CCDC71"
"273"	"KLHDC8B"
"274"	"RNU6-1181P"
"275"	"PDE12"
"276"	"C3orf30"
"277"	"IGSF11"
"278"	"RP11-484M3.5"
"279"	"ARHGAP31"
"280"	"ARHGAP31-AS1"
"281"	"POGLUT1"
"282"	"TMEM39A"
"283"	"RP11-190C22.8"
"284"	"TIMMDC1"
"285"	"ADPRH"
"286"	"RP11-190C22.9"
"287"	"NR1I2"
"288"	"GSK3B"
"289"	"RP11-18H7.1"
"290"	"LRRC58"
"291"	"RP11-174O3.3"
"292"	"NDUFB4"
"293"	"snoU13"
"294"	"CD86"
"295"	"RAB43"
"296"	"ISY1"
"297"	"ISY1-RAB43"
"298"	"ZBTB38"
"299"	"RP11-135A1.2"
"300"	"HES1"
"301"	"XXYLT1-AS1"
"302"	"XXYLT1"
"303"	"RN7SL36P"
"304"	"XXYLT1-AS2"
"305"	"PPP1R2"
"306"	"RNU6ATAC24P"
"307"	"AC091633.3"
"308"	"DCAF16"
"309"	"NCAPG"
"310"	"LCORL"
"311"	"LIAS"
"312"	"RPL9"
"313"	"RP11-539G18.2"
"314"	"SMIM14"
"315"	"SCFD2"
"316"	"FIP1L1"
"317"	"IGJ"
"318"	"UTP3"
"319"	"RNU6-520P"
"320"	"RNU6-784P"
"321"	"RP11-46J23.1"
"322"	"RUFY3"
"323"	"GRSF1"
"324"	"RNU6-459P"
"325"	"MOB1B"
"326"	"DCK"
"327"	"PARM1"
"328"	"RP11-44F21.3"
"329"	"RNU2-16P"
"330"	"RP11-556N4.1"
"331"	"TET2"
"332"	"GALNT7"
"333"	"GAPT"
"334"	"COX7C"
"335"	"RNU6-804P"
"336"	"TNFAIP8"
"337"	"GS1-39E22.2"
"338"	"IL9"
"339"	"LECT2"
"340"	"CTB-79E8.2"
"341"	"RP11-779O18.1"
"342"	"RP11-779O18.2"
"343"	"RP11-779O18.3"
"344"	"BTNL8"
"345"	"HIST1H1A"
"346"	"HIST1H3A"
"347"	"HIST1H4A"
"348"	"HIST1H4B"
"349"	"HIST1H3B"
"350"	"HIST1H2AB"
"351"	"HIST1H2BB"
"352"	"HIST1H3C"
"353"	"U91328.2"
"354"	"HIST1H1C"
"355"	"HIST1H2BE"
"356"	"LARP1P1"
"357"	"HIST1H4G"
"358"	"HIST1H3F"
"359"	"HIST1H2APS4"
"360"	"HIST1H2BI"
"361"	"HIST1H3G"
"362"	"HIST1H4H"
"363"	"RNU6-1259P"
"364"	"HMGN4"
"365"	"HIST1H2AG"
"366"	"HIST1H2BJ"
"367"	"HIST1H4I"
"368"	"HIST1H2AH"
"369"	"HIST1H2BK"
"370"	"MIR3143"
"371"	"HIST1H2AI"
"372"	"HIST1H2BL"
"373"	"HIST1H4PS1"
"374"	"HIST1H3H"
"375"	"HIST1H2AJ"
"376"	"HIST1H2BM"
"377"	"HIST1H4J"
"378"	"HIST1H4K"
"379"	"HIST1H2AK"
"380"	"HIST1H2BN"
"381"	"HIST1H2AL"
"382"	"HIST1H2BPS2"
"383"	"HIST1H1B"
"384"	"HIST1H3I"
"385"	"HIST1H4L"
"386"	"HIST1H2AM"
"387"	"HIST1H3J"
"388"	"HIST1H2BO"
"389"	"XXbac-BPG249D20.9"
"390"	"MDC1"
"391"	"TUBB"
"392"	"XXbac-BPG252P9.9"
"393"	"FLOT1"
"394"	"IER3"
"395"	"XXbac-BPG252P9.10"
"396"	"AGPAT1"
"397"	"RNF5"
"398"	"BRD2"
"399"	"BRD2-IT1"
"400"	"DCBLD1"
"401"	"RP1-92C8.3"
"402"	"RNU6-253P"
"403"	"REPS1"
"404"	"RP1-225E12.2"
"405"	"TXLNB"
"406"	"CAHM"
"407"	"QKI"
"408"	"KBTBD2"
"409"	"IGFBP3"
"410"	"AC073115.6"
"411"	"RNU7-76P"
"412"	"FGL1"
"413"	"DOK2"
"414"	"CA13"
"415"	"RP11-219B4.5"
"416"	"CA2"
"417"	"RP11-317J10.2"
"418"	"ATP6V0D2"
"419"	"PSKH2"
"420"	"CTD-2284J15.1"
"421"	"WWP1"
"422"	"YWHAZ"
"423"	"FAM135B"
"424"	"IFNA2"
"425"	"MTAP"
"426"	"RP11-145E5.5"
"427"	"TOR4A"
"428"	"EXD3"
"429"	"NOXA1"
