""	"x"
"1"	"MEGF6"
"2"	"RERE"
"3"	"RP5-1115A15.1"
"4"	"RNU6-291P"
"5"	"MTOR"
"6"	"RP3-340N1.2"
"7"	"PLA2G2C"
"8"	"CAMK2N1"
"9"	"RP3-329E20.2"
"10"	"CNR2"
"11"	"PNRC2"
"12"	"MYOM3"
"13"	"RP11-293P20.4"
"14"	"IL22RA1"
"15"	"IFNLR1"
"16"	"NCMAP"
"17"	"RP4-594I10.3"
"18"	"RP4-706G24.1"
"19"	"MAN1C1"
"20"	"PDIK1L"
"21"	"RP11-96L14.7"
"22"	"ZNF593"
"23"	"CD52"
"24"	"UBXN11"
"25"	"ZNF683"
"26"	"PPP1R8"
"27"	"RNU6-1245P"
"28"	"SCARNA1"
"29"	"EYA3"
"30"	"PTAFR"
"31"	"AL353354.1"
"32"	"AL353354.2"
"33"	"DNAJC8"
"34"	"ATPIF1"
"35"	"PHACTR4"
"36"	"ZNF362"
"37"	"SNORD112"
"38"	"GRIK3"
"39"	"RP5-864K19.4"
"40"	"RRAGC"
"41"	"RP11-420K8.1"
"42"	"KIAA0754"
"43"	"SMAP2"
"44"	"KDM4A-AS1"
"45"	"ST3GAL3"
"46"	"RNU6-1058P"
"47"	"DMAP1"
"48"	"TESK2"
"49"	"AL162430.1"
"50"	"AL162430.2"
"51"	"EPS15"
"52"	"RP11-191G24.1"
"53"	"NRD1"
"54"	"RP4-657D16.3"
"55"	"MYSM1"
"56"	"JUN"
"57"	"LINC01135"
"58"	"FGGY"
"59"	"HOOK1"
"60"	"RP5-833A20.1"
"61"	"EFCAB7"
"62"	"RNU7-123P"
"63"	"ROR1"
"64"	"DNAJC6"
"65"	"RNU2-15P"
"66"	"SGIP1"
"67"	"TCTEX1D1"
"68"	"INSL5"
"69"	"IL23R"
"70"	"ACADM"
"71"	"RP4-682C21.5"
"72"	"RABGGTB"
"73"	"MSH4"
"74"	"ST6GALNAC3"
"75"	"AC095030.1"
"76"	"DNASE2B"
"77"	"UOX"
"78"	"CLCA4"
"79"	"HS2ST1"
"80"	"SEP15"
"81"	"LRRC8C"
"82"	"RP11-302M6.4"
"83"	"RP5-1007M22.2"
"84"	"snoU13"
"85"	"LRRC8D"
"86"	"RP5-943J3.2"
"87"	"GEMIN8P4"
"88"	"ZNF326"
"89"	"SNORA51"
"90"	"MTF2"
"91"	"DR1"
"92"	"RP4-717I23.3"
