""	"x"
"1"	"FAM167B"
"2"	"C1orf87"
"3"	"FMOD"
"4"	"RP11-435P24.2"
"5"	"IRF6"
"6"	"RP11-634B7.4"
"7"	"RP11-978I15.10"
"8"	"TMEM72"
"9"	"RNU2-43P"
"10"	"CD3D"
"11"	"CD3G"
"12"	"PLCZ1"
"13"	"AL356019.1"
"14"	"OR11H6"
"15"	"CELF6"
"16"	"CSPG4"
"17"	"CMTM2"
"18"	"RP11-403P17.2"
"19"	"TTC39C"
"20"	"HMSD"
"21"	"ETV2"
"22"	"C3orf62"
"23"	"MIR4271"
"24"	"USP4"
"25"	"ABI3BP"
"26"	"MAATS1"
"27"	"ILDR1"
"28"	"Y_RNA"
"29"	"C4orf26"
"30"	"HIST1H1PS1"
"31"	"HIST1H4D"
"32"	"ECT2L"
"33"	"AC005083.1"
"34"	"MACC1"
"35"	"MTMR7"
"36"	"KB-1991G8.1"
"37"	"RNF19A"
"38"	"CDKN2B"
