""	"x"
"1"	"ERRFI1"
"2"	"RP11-431K24.1"
"3"	"RNU1-7P"
"4"	"RP11-431K24.3"
"5"	"RNU6-991P"
"6"	"SLC45A1"
"7"	"RP11-169K16.9"
"8"	"SPEN"
"9"	"CLCNKA"
"10"	"HSPB7"
"11"	"RP11-5P18.5"
"12"	"CAPZB"
"13"	"NBL1"
"14"	"HTR6"
"15"	"PDIK1L"
"16"	"RP11-96L14.7"
"17"	"ZNF593"
"18"	"AL136115.1"
"19"	"HDAC1"
"20"	"MARCKSL1"
"21"	"RP4-811H24.9"
"22"	"TSSK3"
"23"	"MACF1"
"24"	"PPAP2B"
"25"	"PRKAA2"
"26"	"DOCK7"
"27"	"RP11-230B22.1"
"28"	"ATG4C"
"29"	"RNU6-387P"
"30"	"ACADM"
"31"	"RP4-682C21.5"
"32"	"ST6GALNAC3"
"33"	"ZZZ3"
"34"	"CLCA2"
"35"	"CLCA1"
"36"	"RP4-612B15.3"
"37"	"SH3GLB1"
"38"	"HS2ST1"
"39"	"SEP15"
"40"	"LRRC8B"
"41"	"LRRC8C"
"42"	"RP11-302M6.4"
"43"	"RP5-1007M22.2"
"44"	"snoU13"
"45"	"LRRC8D"
"46"	"RP5-943J3.2"
"47"	"GEMIN8P4"
"48"	"ZNF326"
"49"	"FAM102B"
"50"	"AP4B1"
"51"	"DCLRE1B"
"52"	"HIPK1"
"53"	"RP5-1073O3.7"
"54"	"OLFML3"
"55"	"CSDE1"
"56"	"NRAS"
"57"	"FCRLA"
"58"	"FCRLB"
"59"	"DUSP12"
"60"	"ATF6"
"61"	"RP11-474I16.8"
"62"	"RP11-506O24.1"
"63"	"GPA33"
"64"	"RP11-492I21.1"
"65"	"RNU7-13P"
"66"	"PLA2G4A"
"67"	"RP5-1011O1.2"
"68"	"RGS1"
"69"	"RGS2"
"70"	"snoU109"
"71"	"TROVE2"
"72"	"UCHL5"
"73"	"KIF14"
"74"	"PFKFB2"
"75"	"YOD1"
"76"	"C4BPB"
"77"	"C4BPA"
"78"	"CAMK1G"
"79"	"LAMB3"
"80"	"ADORA2BP"
"81"	"TRAF3IP3"
"82"	"KCTD3"
"83"	"RP11-361K17.2"
"84"	"LEFTY2"
