""	"x"
"1"	"COL16A1"
"2"	"GJA9"
"3"	"MYCBP"
"4"	"TACSTD2"
"5"	"SGIP1"
"6"	"GFI1"
"7"	"HENMT1"
"8"	"TNR"
"9"	"PDC"
"10"	"G0S2"
"11"	"RP1-28O10.1"
"12"	"RP11-322F10.2"
"13"	"PROSER2-AS1"
"14"	"TRIM6"
"15"	"TRIM6-TRIM34"
"16"	"KCNE3"
"17"	"MIR3166"
"18"	"RAB38"
"19"	"IL18"
"20"	"CLEC9A"
"21"	"RP11-133L14.5"
"22"	"RACGAP1"
"23"	"PABPC3"
"24"	"C13orf45"
"25"	"RP11-829H16.3"
"26"	"GPR135"
"27"	"RDH12"
"28"	"GP1BA"
"29"	"ALOX12"
"30"	"RP11-589P10.5"
"31"	"CHRNB1"
"32"	"RP11-1094M14.7"
"33"	"SLFN13"
"34"	"RARA"
"35"	"RNU7-101P"
"36"	"ABCA10"
"37"	"ABCA5"
"38"	"SLC25A52"
"39"	"BTBD2"
"40"	"PAX8-AS1"
"41"	"PAX8"
"42"	"RP11-65I12.1"
"43"	"FIGN"
"44"	"SLC52A3"
"45"	"IGLL1"
"46"	"KB-208E9.1"
"47"	"NFAM1"
"48"	"RP11-362A9.3"
"49"	"SCHIP1"
"50"	"IGF2BP2"
"51"	"CYTL1"
"52"	"HOPX"
"53"	"GRIA2"
"54"	"RNU6-582P"
"55"	"RP11-392C20.1"
"56"	"CTD-2201I18.1"
"57"	"THBS4"
"58"	"CTD-2363C16.1"
"59"	"RANBP17"
"60"	"RNU6-190P"
"61"	"NHLRC1"
"62"	"SLC26A8"
"63"	"GLYATL3"
"64"	"SMIM11P1"
"65"	"AC005550.4"
"66"	"AC005550.5"
"67"	"MEOX2"
"68"	"HOTAIRM1"
"69"	"HOXA2"
"70"	"HOXA3"
"71"	"HOXA5"
"72"	"HOXA6"
"73"	"HOXA-AS3"
"74"	"RP1-170O19.22"
"75"	"RP1-170O19.23"
"76"	"RP4-778K6.3"
"77"	"RWDD4P1"
"78"	"RNU6-650P"
"79"	"ANGPT2"
"80"	"RP11-62H7.2"
"81"	"SNORA70"
"82"	"SLC7A2"
"83"	"COPS5"
"84"	"CSPP1"
"85"	"FAM83A"
"86"	"RP11-539E17.5"
"87"	"U3"
