TF	nes_1	pval_1	nes_2	pval_2	nes_3	pval_3	combine_nes	fisher_pval
PITX1	-3.10474901554314	0.00190440547499858	-3.10474901554314	0.00190440547499858	-3.10474901554314	0.00190440547499858	-3.10474901554314	4.90598048962074e-05
NR2C1	3.05538234818124	0.00224773771201289	3.05538234818124	0.00224773771201289	3.05538234818124	0.00224773771201289	3.05538234818124	6.66687709676049e-05
RUNX1	3.03815786345187	0.0023802922510915	3.03815786345187	0.0023802922510915	3.03815786345187	0.0023802922510915	3.03815786345187	7.41145773540527e-05
ZNF449	3.01932742577525	0.00253336576035926	3.01932742577525	0.00253336576035926	3.01932742577525	0.00253336576035926	3.01932742577525	8.31535084041762e-05
RFX7	3.01591267151828	0.00256207037837345	3.01591267151828	0.00256207037837345	3.01591267151828	0.00256207037837345	3.01591267151828	8.49006297235803e-05
ZNF626	3.00301310445088	0.00267320920373863	3.00301310445088	0.00267320920373863	3.00301310445088	0.00267320920373863	3.00301310445088	9.18192146238876e-05
KLF4	-2.99850548986702	0.0027130726838678	-2.99850548986702	0.0027130726838678	-2.99850548986702	0.0027130726838678	-2.99850548986702	9.43601793882349e-05
ZNF45	2.98028750484985	0.00287977959711534	2.98028750484985	0.00287977959711534	2.98028750484985	0.00287977959711534	2.98028750484985	0.000105323446309321
SP2	2.92519108243015	0.00344244772491656	2.92519108243015	0.00344244772491656	2.92519108243015	0.00344244772491656	2.92519108243015	0.000146271777774994
ZNF609	2.92232973095788	0.00347423522392246	2.92232973095788	0.00347423522392246	2.92232973095788	0.00347423522392246	2.92232973095788	0.000148763700510617
ZNF821	2.90196619217199	0.00370828557852925	2.90196619217199	0.00370828557852925	2.90196619217199	0.00370828557852925	2.90196619217199	0.000167689456268924
ZNF282	2.89415503532115	0.00380180397329979	2.89415503532115	0.00380180397329979	2.89415503532115	0.00380180397329979	2.89415503532115	0.000175533978528191
NFIA	-2.89024124042061	0.0038494629527641	-2.89024124042061	0.0038494629527641	-2.89024124042061	0.0038494629527641	-2.89024124042061	0.000179593297890733
ARNTL2	2.88826521721455	0.00387373097083892	2.88826521721455	0.00387373097083892	2.88826521721455	0.00387373097083892	2.88826521721455	0.00018167623458488
HSF4	2.88373763523862	0.00392986016582818	2.88373763523862	0.00392986016582818	2.88373763523862	0.00392986016582818	2.88373763523862	0.000186534905009934
NPAS1	2.87479617807639	0.00404288389857528	2.87479617807639	0.00404288389857528	2.87479617807639	0.00404288389857528	2.87479617807639	0.000196491874775678
GSC	2.83536211517623	0.00457737695048556	2.83536211517623	0.00457737695048556	2.83536211517623	0.00457737695048556	2.83536211517623	0.000246677779310509
TET1	-2.81977563873481	0.00480572374428553	-2.81977563873481	0.00480572374428553	-2.81977563873481	0.00480572374428553	-2.81977563873481	0.000269654575516663
ZNF773	2.78215886517273	0.00539986003978999	2.78215886517273	0.00539986003978999	2.78215886517273	0.00539986003978999	2.78215886517273	0.000333653716169445
ZNF641	2.73913360392381	0.00616013345589406	2.73913360392381	0.00616013345589406	2.73913360392381	0.00616013345589406	2.73913360392381	0.00042422414589465
PPARG	2.70187367573092	0.00689499533496419	2.70187367573092	0.00689499533496419	2.70187367573092	0.00689499533496419	2.70187367573092	0.000520759827058155
ZNF260	2.69307676985422	0.00707959655472612	2.69307676985422	0.00707959655472612	2.69307676985422	0.00707959655472612	2.69307676985422	0.000546369458032126
NR6A1	2.69274021315665	0.00708674644658503	2.69274021315665	0.00708674644658503	2.69274021315665	0.00708674644658503	2.69274021315665	0.000547372214236667
YBX2	2.68097544960229	0.00734079012486733	2.68097544960229	0.00734079012486733	2.68097544960229	0.00734079012486733	2.68097544960229	0.000583523878161883
SOX13	2.67866615261433	0.0073916049772117	2.67866615261433	0.0073916049772117	2.67866615261433	0.0073916049772117	2.67866615261433	0.000590876645718904
NFX1	2.67022813206839	0.00757997272722245	2.67022813206839	0.00757997272722245	2.67022813206839	0.00757997272722245	2.67022813206839	0.00061848447044136
PPARA	2.667094965915	0.00765100492347993	2.667094965915	0.00765100492347993	2.667094965915	0.00765100492347993	2.667094965915	0.00062903845138468
ELK1	2.64423587392628	0.00818755785808734	2.64423587392628	0.00818755785808734	2.64423587392628	0.00818755785808734	2.64423587392628	0.000711271778049583
FOXK1	2.63981980907408	0.0082950117907884	2.63981980907408	0.0082950117907884	2.63981980907408	0.0082950117907884	2.63981980907408	0.000728269512892313
KLF11	-2.63694565765361	0.00836562319942392	-2.63694565765361	0.00836562319942392	-2.63694565765361	0.00836562319942392	-2.63694565765361	0.000739534663995925
ZNF487	2.61128232523437	0.00902033918832867	2.61128232523437	0.00902033918832867	2.61128232523437	0.00902033918832867	2.61128232523437	0.000847558144366051
ZNF513	2.59438778210574	0.00947595417326053	2.59438778210574	0.00947595417326053	2.59438778210574	0.00947595417326053	2.59438778210574	0.000926491083996931
