"name"	"mIDH2_NR"	"mIDH2_R"	"distance"
"63"	"1-Lignocericylglycerophosphocholine"	0.480815941341031	0.492054546768861	0.000307271445468795
"64"	"1-Linoleoyl-Cholesterol,"	0.554331511287326	0.56300516181248	0.0011989691114366
"65"	"1-Linoleoylglycerophosphocholine"	0.480815941341031	0.492054546768861	0.000307271445468795
"66"	"1-Linoleoylglycerophosphoethanolamine"	0.480861081750923	0.491953885408814	0.000452045793358193
"67"	"1-Myristoylglycerophosphoethanolamine"	0.480861081750923	0.491953885408814	0.000452045793358193
"68"	"1-Nonadecanoylglycerophosphocholine,"	0.480815941341031	0.492054546768861	0.000307271445468795
"69"	"1-Octadeca-Trienoylglycerophosphocholine,"	0.480815941341031	0.492054546768861	0.000307271445468795
"70"	"1-Oleoylglycerophosphocholine"	0.480815941341031	0.492054546768861	0.000307271445468795
"71"	"1-Oleoylglycerophosphoethanolamine"	0.480861081750923	0.491953885408814	0.000452045793358193
"72"	"1-Palmitoleoylglycerophosphocholine"	0.480815941341031	0.492054546768861	0.000307271445468795
"73"	"1-Pentadecanoylglycerophosphocholine,"	0.480815941341031	0.492054546768861	0.000307271445468795
"74"	"1-Pentadecanoylglycerophosphoethanolamine"	0.480861081750923	0.491953885408814	0.000452045793358193
"75"	"1-Timnodnoyl-Cholesterol,"	0.554331511287326	0.56300516181248	0.0011989691114366
"76"	"1-Tridecanoylglycerophosphoethanolamine"	0.480861081750923	0.491953885408814	0.000452045793358193
"77"	"1-Vaccenoyl-Cholesterol,"	0.554331511287326	0.56300516181248	0.0011989691114366
"78"	"1-acyl-PE"	0	0	0.0224895280476119
"79"	"1-acylglycerol-3P"	0.562552895934676	0.571415162096963	0.000823229966087326
"80"	"1-acylglycerol-3P-bile-PC"	0	0	0.0224895280476119
"81"	"1-acylglycerol-LD-PC"	0	0	0.0224895280476119
"82"	"1-acylglycerol-LD-PE"	0	0	0.0224895280476119
"83"	"1-acylglycerol-LD-PI"	0	0	0.0224895280476119
"84"	"1-acylglycerol-LD-PS"	0	0	0.0224895280476119
"85"	"1-acylglycerol-LD-SM"	0	0	0.0224895280476119
"86"	"1-acylglycerol-LD-TG1"	0	0	0.0224895280476119
"87"	"1-acylglycerol-VLDL"	0.558170266099018	0.572450820462129	-0.00449530702429666
"88"	"1-acylglycerol-chylomicron"	0.55959846128818	0.572093162379148	-0.00274196030739824
"89"	"1-alpha,25-dihydroxyvitamin"	0.649311188829555	0.655747735738402	0.00127427988707409
"90"	"1-hydroxy"	0.678448358903691	0.682026786504789	0.0034692202149236
"91"	"10,11-epoxy-(4Z,7Z)-hexadecadienoic"	0	0	0.0224895280476119
"92"	"10,13,16,19-docosatetraenoic"	0.558608381024635	0.570745040680833	-0.00236138406854278
"93"	"10,13,16-docosatriynoic"	0.596700202015951	0.60646000968304	-0.00085152413539755
"94"	"11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic"	0.539078124783513	0.548080389418345	0.00121753097237945
"95"	"11-Eicosenoyl"	0	0	0.0224895280476119
"96"	"11-Octadecenoyl"	0.559818476226889	0.569673367220556	-0.000107157878385864
"97"	"11-dehydro-thromboxane"	0.590145286631479	0.598330771550877	0.000871992308418969
"98"	"12,13-epoxy-(6Z,9Z)-octadecadienoic"	0	0	0.0224895280476119
"99"	"12,13-epoxylinoleic"	0.479583031942791	0.491342111676561	-0.00018514112369503
"100"	"12,15,18,21-tetracosatetraenoic"	0.558867630343627	0.570994541186152	-0.00235753592053087
"101"	"12-Dehydrocholic"	0.574436819614185	0.590880347336849	-0.00702851662639656
"102"	"12-hydroxydodecanoic"	0.627728640097001	0.632105236371134	0.00382546191507884
"103"	"13,14-dihydro-15-oxo-lipoxin"	0	0	0.0224895280476119
